Company,Website,Phone,City,State,Territory,LinkedIn,Natoli_Fit,Industry,Re_Engagement_Focus
"CANDY DYNAMICS","http://www.candydynamics.com","345-678-9012","Chicago","IL","Midwest","https://www.linkedin.com/company/candy-dynamics","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CANNACRAFT, INC.","http://www.cannacraft.com","555-234-5678","Santa Rosa","CA","West","https://www.linkedin.com/company/cannacraft","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CANNTAB THERAPEUTICS","https://www.canntab.ca","416-900-2020","Toronto","ON","Canada","https://www.linkedin.com/company/canntab-therapeutics-ltd/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CANOPY GROWTH CORPORATION","https://www.canopygrowth.com","1-844-280-0005","Smiths Falls","ON","Canada","https://www.linkedin.com/company/canopy-growth-corporation/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CANSORTIUM HOLDINGS","https://www.cansortium.com","305-600-2000","Miami","FL","Southeast","https://www.linkedin.com/company/cansortium-holdings/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CAPCIUM INC.","http://www.capcium.com","xxx-xxx-xxxx","Toronto","ON","Canada","https://www.linkedin.com/company/capcium","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CAPSUTAB LTD.","http://www.capsutab.com","012-345-6789","London","UK","International","https://www.linkedin.com/company/capsutab","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CARAVAN INGREDIENTS","https://www.caravaningredients.com","800-328-2424","Omaha","NE","Midwest","https://www.linkedin.com/company/caravan-ingredients","Both","Food/Flavor","Look for: Pressed flavor tablets, bouillon, candy production"
"CARBON PRODUCTS, INC.","http://www.carbonproducts.com","800-555-0123","Pittsburgh","PA","Northeast","https://www.linkedin.com/company/carbon-products-inc","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CARDIOME PHARMA CORP.","https://www.cardiome.com","604-678-7000","Vancouver","BC","Canada","https://www.linkedin.com/company/cardiome-pharma-corp","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CAREFIRST SPECIALTY PHARMACY","https://www.carefirstpharmacy.com","410-290-1000","Columbia","MD","Northeast","https://www.linkedin.com/company/carefirst-specialty-pharmacy","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CARGILLE HEALTH AND FOOD TECHNOLOGY","https://www.cargille.com","973-376-3900","Cedar Grove","NJ","Northeast","https://www.linkedin.com/company/cargille-laboratories","Scientific","Food/Flavor","Look for: Pressed flavor tablets, bouillon, candy production"
"CARNRICK LABORATORIES","http://www.carnrick.com","800-999-9999","Harrison","NY","Northeast","https://www.linkedin.com/company/carnrick-laboratories","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CARRINGTON LABORATORIES","http://www.carringtonlabs.com","972-555-0101","Irving","TX","Southeast","https://www.linkedin.com/company/carrington-laboratories","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CARTPAC, INC","http://www.cartpac.com","800-678-2278","Huntington Beach","CA","West","https://www.linkedin.com/company/cartpac-inc/","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CASCADE SPECIALTY PHARMACY","https://www.cascadespecialty.com","888-888-8888","Portland","OR","West","https://www.linkedin.com/company/cascade-specialty-pharmacy","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CATALENT","https://www.catalent.com","800-401-7288","Somerset","NJ","Northeast","https://www.linkedin.com/company/catalent","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CATALYST PHARMACEUTICALS INC.","https://www.catalystpharma.com","xxx-xxx-xxxx","Coral Gables","FL","Southeast","https://www.linkedin.com/company/catalyst-pharmaceuticals","Both","Catalyst Mfg","Look for: Powder compaction, tablet pressing, or pelletizing equipment"
"CEDARLANE LABORATORIES USA INC","http://www.cedarlanelabs.com","800-268-5058","Burlington","ON","Canada","https://www.linkedin.com/company/cedarlane-laboratories","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CELGENE","http://www.celgene.com","908-673-9000","Summit","NJ","Northeast","https://www.linkedin.com/company/celgene","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CELLERA FARMA BRAZIL","http://www.cellera.com.br","55-11-3078-8000","SÃ£o Paulo","SP","International","https://www.linkedin.com/company/cellera-farma","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CELLOXESS, LLC","http://www.celloxess.com","314-555-0199","St. Louis","MO","Midwest","https://www.linkedin.com/company/celloxess","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CELLTRION","http://www.celltrion.com","82-31-728-8000","Incheon","ICN","International","https://www.linkedin.com/company/celltrion","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CELON PHARMA S.A.","https://www.celonpharma.com","xxx-xxx-xxxx","Warsaw","XX","International","https://www.linkedin.com/company/celon-pharma","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CENEXI","https://www.cenexi.com","xxx-xxx-xxxx","Paris","XX","International","https://www.linkedin.com/company/cenexi","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CENTAUR PHARMACEUTICALS PVT. LTD","https://www.centaurpharma.com","xxx-xxx-xxxx","Mumbai","MH","International","https://www.linkedin.com/company/centaur-pharmaceuticals","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CENTERA BIOSCIENCE","https://www.centerabioscience.com","888-123-4567","San Diego","CA","West","https://www.linkedin.com/company/centera-bioscience","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CENTRAL LIFE SCIENCES","https://www.centrallifesciences.com","800-123-4567","Schaumburg","IL","Midwest","https://www.linkedin.com/company/central-life-sciences","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CERAMIC TECHNOLOGIES CORPORATION","http://www.ceramictech.com","410-561-0800","Hunt Valley","MD","Northeast","https://www.linkedin.com/company/ceramic-technologies-corporation","Engineering","Ceramics","Look for: Dry pressing operations, sintered products, powder compaction"
"CERAMTEC","http://www.ceramtec.com","248-682-1700","Novi","MI","Midwest","https://www.linkedin.com/company/ceramtec","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CHALLENGER MANUFACTURING, INC.","http://www.challenger-mfg.com","xxx-xxx-xxxx","Harrison","OH","Midwest","https://www.linkedin.com/company/challenger-manufacturing-inc","Engineering","CDMO","Look for: Tablet capacity utilization, tooling wear patterns, new client wins"
"CHELSEA LABORATORIES - NY","http://www.chelsealabs.com","xxx-xxx-xxxx","New York","NY","Northeast","https://www.linkedin.com/company/chelsea-laboratories-ny","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CHEM LAB","http://www.chem-lab.com","123-456-7890","Anytown","CA","West","https://www.linkedin.com/company/chem-lab","Both","Chemicals","Look for: Catalyst pellet production, powder compaction operations"
"CHEMICAL AND PHARM. INDUSTRY","http://www.chemicalpharma.com","555-123-4567","Chicago","IL","Midwest","https://www.linkedin.com/company/chemical-and-pharmaceutical-industry","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CHEMINOV","http://www.cheminov.com","567-890-1234","Boston","MA","Northeast","https://www.linkedin.com/company/cheminov","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CHEMOPHARMA S.A.","http://www.chemopharma.com","1-800-555-0123","San JosÃ©","Costa Rica","International","https://www.linkedin.com/company/chemopharma","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CHEMTEC","http://www.chemtec.com","800-555-0123","Houston","TX","Southeast","https://www.linkedin.com/company/chemtec/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CHEMTECH","http://www.chemtech.com","800-555-0456","Atlanta","GA","Southeast","https://www.linkedin.com/company/chemtech/","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CHILDRENS HOSPITAL CORPORATION","http://www.childrenshospital.org","617-355-6000","Boston","MA","Northeast","https://www.linkedin.com/company/childrens-hospital-boston","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CHINOIN WORKS CO., LTD","http://www.chinoin.com","xxx-xxx-xxxx","Budapest","XX","International","https://www.linkedin.com/company/chinoin","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CHURCH & DWIGHT COMPANY, INC.","http://www.churchdwight.com","800-524-1328","Ewing","NJ","Northeast","https://www.linkedin.com/company/church-dwight","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CIBA PHARMACEUTICALS","http://www.cibapharmaceuticals.com","123-456-7890","City","XX","International","https://www.linkedin.com/company/ciba-pharmaceuticals","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CIFARMA CIENTIFICA FARMACEUTICA LTDA","http://www.cifarma.com.br","55-11-5555-0199","SÃ£o Paulo","SP","International","https://www.linkedin.com/company/cifarma","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CIMA INDUSTRIES, INC.","http://www.cimaindustries.com","800-555-0199","Hoffman Estates","IL","Midwest","https://www.linkedin.com/company/cima-industries-inc","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CIMA LABS C/O TEVA PHARM. USA","http://www.tevausa.com","800-545-8800","North Wales","PA","Northeast","https://www.linkedin.com/company/teva-pharmaceuticals","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CIPLA LIMITED","https://www.cipla.com","91-22-2481-5000","Mumbai","Maharashtra","International","https://www.linkedin.com/company/cipla-limited","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CITRAGEN PHARMACEUTICALS, INC.","http://www.citragen.com","404-555-5555","Atlanta","GA","Southeast","https://www.linkedin.com/company/citragen-pharmaceuticals","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CLAISSE","https://www.claisse.com","800-555-0199","Indianapolis","IN","Midwest","https://www.linkedin.com/company/claisse","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CLARO PRODUCTS GMBH","http://www.claroproducts.com","555-345-6789","New York","NY","Northeast","https://www.linkedin.com/company/claro-products-gmbh","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CLEARMIND, LLC","https://clearmind.com","123-456-7890","San Diego","CA","West","https://www.linkedin.com/company/clearmind","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CLEXIO BIOSCIENCE LTD.","https://clexiobio.com","987-654-3210","Cambridge","MA","Northeast","https://www.linkedin.com/company/clexiobioscience","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CNS, INC.","http://www.cnsinc.com","800-555-0199","Boulder","CO","Rocky Mountain","https://www.linkedin.com/company/cns-inc","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COATING PLACE, INC.","http://www.coatingplace.com","608-849-9000","Waunakee","WI","Midwest","https://www.linkedin.com/company/coating-place-inc","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COD BECK BLENDERS","http://www.codbeckblenders.com","234-567-8901","Cleveland","OH","Midwest","https://www.linkedin.com/company/cod-beck-blenders","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COFASA","http://www.cofasa.com","567-890-1234","Newark","NJ","Northeast","https://www.linkedin.com/company/cofasa","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COLLEGE OF PHARMACY","https://www.pharmacy.uconn.edu","860-486-2020","Storrs","CT","Northeast","https://www.linkedin.com/school/uconn-college-of-pharmacy/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COLLEGE PHARMACY","https://www.collegepharmacy.com","800-888-9358","Albuquerque","NM","Rocky Mountain","https://www.linkedin.com/company/college-pharmacy/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COLLEGIUM PHARMACEUTICAL","https://www.collegiumpharma.com","508-251-1000","Stoughton","MA","Northeast","https://www.linkedin.com/company/collegium-pharmaceutical/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COLOMPACK S.A.","https://www.colompack.com","+34 93 870 77 00","Barcelona","XX","International","https://www.linkedin.com/company/colompack/","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COLOPLAST A/S","http://www.coloplast.com","800-258-3476","Minneapolis","MN","Midwest","https://www.linkedin.com/company/coloplast","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COLOR-CON DE MEXICO S. DE R.L. DE C.V.","http://www.colorcon.com","52-55-5259-8000","Mexico City","CDMX","International","https://www.linkedin.com/company/colorcon","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COMBISA LABORATORIOS","http://www.combisa.com","xxx-xxx-xxxx","Mexico City","DF","International","https://www.linkedin.com/company/combisa-laboratorios/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COMIT LTD.","http://www.comit.com","555-555-5555","London","UK","International","https://www.linkedin.com/company/comit","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COMPRESSION PRODUCTS - MA","http://www.compressionproducts.com","978-774-3000","Danvers","MA","Northeast","https://www.linkedin.com/company/compression-products-ma","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COMSTAR INTERNATIONAL INC.","http://www.comstarinternational.com","732-780-2000","Freehold","NJ","Northeast","https://www.linkedin.com/company/comstar-international-inc","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CONCEPTION MECANIQUE","http://www.conceptionmecanique.com","450-655-1234","Saint-Jean-sur-Richelieu","QC","Canada","https://www.linkedin.com/company/conception-mecanique","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CONCORDIA UNIVERSITY WISCONSIN SCHOOL OF PHARMACY","http://www.cuw.edu","262-243-5700","Mequon","WI","Midwest","https://www.linkedin.com/school/concordia-university-wisconsin","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CONFITECA","http://www.confiteca.com","305-594-1234","Miami","FL","Southeast","https://www.linkedin.com/company/confiteca","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CONFORMA CLAD INC.","http://www.conformaclad.com","724-746-2000","Canonsburg","PA","Northeast","https://www.linkedin.com/company/conforma-clad","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CONTINENTAL SCIENCE, INC.","http://www.continentalscience.com","800-828-3003","Tampa","FL","Southeast","https://www.linkedin.com/company/continental-science-inc-","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CONTRACT MFG. AND PKG. SERVICE","http://www.contractmfg.com","888-555-0199","Los Angeles","CA","West","https://www.linkedin.com/company/contract-mfg-and-pkg-service","Both","CDMO","Look for: Tablet capacity utilization, tooling wear patterns, new client wins"
"COOPER","https://www.cooper.com","123-456-7890","Chicago","IL","Midwest","https://www.linkedin.com/company/cooper","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COOPER PHARMA","https://www.cooperpharma.com","456-789-0123","Los Angeles","CA","West","https://www.linkedin.com/company/cooper-pharma","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COPENHAGEN UNIV SCHOOL OF PHARMACY","http://www.pharmacy.ku.dk","","Copenhagen","","International","","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CORDEN PHARMA GMBH","https://www.cordenpharma.com","+49 89 899 30 0","Munich","Bavaria","International","https://www.linkedin.com/company/corden-pharma","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CORVUS PHARMACEUTICALS","http://www.corvuspharma.com","650-800-3600","Burlingame","CA","West","https://www.linkedin.com/company/corvus-pharmaceuticals","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COSMAX NBT USA","https://www.cosmax.com","201-488-0600","Ridgefield","NJ","Northeast","https://www.linkedin.com/company/cosmax-nbt-usa","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COSMETICA LABORATORIES INC.","http://www.cosmeticainc.com","201-933-3000","Lyndhurst","NJ","Northeast","https://www.linkedin.com/company/cosmetica-laboratories-inc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COSUNTER","http://www.cosunter.com","555-222-2222","San Francisco","CA","West","https://www.linkedin.com/company/cosunter","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COSWELL PRODUCTS INC.","http://www.coswell.com","800-555-0199","Harrison","NY","Northeast","https://www.linkedin.com/company/coswell-products-inc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"COVAR PHARMACEUTICALS","http://www.covarpharma.com","800-555-0199","Harrison","NY","Northeast","https://www.linkedin.com/company/covar-pharmaceuticals","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CP PHARMACEUTICALS","http://www.cppharmaceuticals.com","345-678-9012","Wilmington","DE","Northeast","https://www.linkedin.com/company/cp-pharmaceuticals","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CREATIVE SUPPLEMENTS, INC.","http://www.creativesupplements.com","444-555-6666","Miami","FL","Southeast","https://www.linkedin.com/company/creative-supplements","Scientific","Nutraceutical","Look for: Tablet/capsule production, in-house vs contract, growth trajectory"
"CREIGHTON UNIVERSITY","https://www.creighton.edu","402-280-2700","Omaha","NE","Midwest","https://www.linkedin.com/school/creighton-university/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CRESCENT PHARMA","https://www.crescentpharma.com","xxx-xxx-xxxx","Hawthorne","NY","Northeast","https://www.linkedin.com/company/crescent-pharma-ltd/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CRISTALIA PROD QUIM FARM LTDA","http://www.cristalia.com.br","xxx-xxx-xxxx","Itapira","SP","International","https://www.linkedin.com/company/cristalia-prod-quim-farm-ltda/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CROPHARM, INC.","http://www.cropharm.com","xxx-xxx-xxxx","City","XX","International","url","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CSB NUTRITION CORPORATION","http://www.csbnutrition.com","800-555-0199","Henderson","NV","West","https://www.linkedin.com/company/csb-nutrition","Both","Nutraceutical","Look for: Tablet/capsule production, in-house vs contract, growth trajectory"
"CSIR","https://www.csir.co.za","xxx-xxx-xxxx","Pretoria","GP","International","https://www.linkedin.com/company/csir/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CSN PHARMA INC","http://www.csnpharma.com","xxx-xxx-xxxx","Montreal","QC","Canada","https://www.linkedin.com/company/csn-pharma/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CSP TECHNOLOGIES, INC.","https://www.csptechnologies.com","xxx-xxx-xxxx","Auburn","AL","Southeast","https://www.linkedin.com/company/csp-technologies-inc/","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CULLINAN ONCOLOGY, INC","http://www.cullinanoncology.com","888-555-0167","Cambridge","MA","Northeast","https://www.linkedin.com/company/cullinan-oncology","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"CURALEAF","https://www.curaleaf.com","844-303-2420","Wakefield","MA","Northeast","https://www.linkedin.com/company/curaleaf","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DELPHARM SRL","https://www.delpharm.com","xxx-xxx-xxxx","Bologna","IT","International","https://www.linkedin.com/company/delpharm","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DELPOR INC","https://www.delpor.com","xxx-xxx-xxxx","San Diego","CA","West","https://www.linkedin.com/company/delpor","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DELSYS PHARMACEUTICAL CORP.","http://www.delsyspharma.com","xxx-xxx-xxxx","Tucson","AZ","Rocky Mountain","https://www.linkedin.com/company/delsys-pharmaceutical-corp","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DELTA PHARMA","http://www.deltapharma.com","212-555-1234","New York","NY","Northeast","https://www.linkedin.com/company/delta-pharma","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DENALI THERAPEUTICS","http://www.denalitherapeutics.com","415-231-1000","San Francisco","CA","West","https://www.linkedin.com/company/denali-therapeutics","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DEPOMED, INC.","http://www.depomed.com","xxx-xxx-xxxx","Newark","CA","West","https://www.linkedin.com/company/depomed","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DESITIN ARZNEIMITTEL GMBH","http://www.desitin.com","xxx-xxx-xxxx","Hamburg","HH","International","https://www.linkedin.com/company/desitin-arzneimittel-gmbh","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DEXCEL PHARMA TECHNOLOGIES LTD.","http://www.dexcel.com","xxx-xxx-xxxx","Hod Hasharon","IL","Midwest","https://www.linkedin.com/company/dexcel-pharma-technologies-ltd/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DHG PHARMA JOINT STOCK COMPANY","http://www.dhgpharma.com.vn","+84 291 388 8888","Can Tho","CT","Northeast","https://www.linkedin.com/company/dhg-pharma/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DICERNA PHARMACEUTICALS","http://www.dicerna.com","617-679-5500","Cambridge","MA","Northeast","https://www.linkedin.com/company/dicerna-pharmaceuticals","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DIGESTIVE CARE, INC.","http://www.digestivecare.com","555-456-7890","New York","NY","Northeast","https://www.linkedin.com/company/digestive-care-inc","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DIOSNA DIERKS & SOEHNE GMBH","https://www.diosna.com","+49 5421 9690","OsnabrÃ¼ck","","International","https://www.linkedin.com/company/diosna","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DISPHAR INTERNATIONAL BV","http://www.disphar.com","xxx-xxx-xxxx","Amsterdam","NL","Canada","https://www.linkedin.com/company/disphar-international-bv","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DIXIE ELIXIRS AND EDIBLES","https://www.dixieelixirs.com","303-805-3000","Denver","CO","Rocky Mountain","https://www.linkedin.com/company/dixie-elixirs/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DMC INDUSTRIES, INC.","http://www.dmcindustries.com","800-555-0199","Cincinnati","OH","Midwest","https://www.linkedin.com/company/dmc-industries-inc","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DOBER","https://www.dober.com","800-323-6937","Burlington","MA","Northeast","https://www.linkedin.com/company/dober","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DOMPE' FARMACEUTICI SPA","http://www.dompe.com","+39 02 66 10 11","Milan","Lombardy","International","https://www.linkedin.com/company/dompe-farmaceutici-spa","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DOSECANN","http://www.dosecann.com","","","","International","https://www.linkedin.com/company/dosecann/","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DOTT. BONAPACE & C. Srl","http://www.bonapace.com","555-345-6789","Naples","","International","https://www.linkedin.com/company/dott-bonapace","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DOZO (DBA LUCENT BOTANICALS)","https://www.lucentbotanicals.com","888-123-4567","Los Angeles","CA","West","https://www.linkedin.com/company/lucent-botanicals","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DR. A&L SCHMIDGALL KG","http://www.schmidgall.de","+49 0 6221 888 0","Heidelberg","BW","International","https://www.linkedin.com/company/dr-a-l-schmidgall-kg","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DR. WILLMAR SCHWABE GMBH & CO KG","https://www.schwabe.de","+49 721 5606 0","Karlsruhe","BW","International","https://www.linkedin.com/company/dr-willmar-schwabe-gmbh-&-co-kg","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DRAGENOPHARM","https://www.dragenopharm.com","+49 3641 311 0","Jena","TH","International","https://www.linkedin.com/company/dragenopharm","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DREXEL UNIVERSITY","http://www.drexel.edu","215-895-2000","Philadelphia","PA","Northeast","https://www.linkedin.com/school/drexel-university","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DRIVE DEVILBISS HEALTHCARE","http://www.drivedevilbiss.com","800-338-1988","Somerset","PA","Northeast","https://www.linkedin.com/company/drive-devilbiss-healthcare","Scientific","CBD/Cannabis","Look for: Pressed tablets, in-house production, state license"
"DSM","https://www.dsm.com","Not Available","Heerlen","NL","Canada","https://www.linkedin.com/company/dsm","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DSM NUTRITIONAL PRODUCTS ASIA PACIFIC","https://www.dsm.com/nutrition.html","1-800-526-0189","Singapore","SG","International","https://www.linkedin.com/company/dsm-nutrition/","Both","Nutraceutical","Look for: Tablet/capsule production, in-house vs contract, growth trajectory"
"DU CON","http://www.ducon.com","987-654-3210","Houston","TX","Southeast","https://www.linkedin.com/company/ducon","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DUNLAP INTERNATIONAL","http://www.dunlapinternational.com","222-333-4444","Chicago","IL","Midwest","https://www.linkedin.com/company/dunlap-international","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"DUPONT","https://www.dupont.com","302-774-1000","Wilmington","DE","Northeast","https://www.linkedin.com/company/dupont","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ESSENTIAL NUTRITION LIMITED","https://www.essentialnutrition.com","123-456-7890","City of Industry","CA","West","https://www.linkedin.com/company/essential-nutrition-limited","Both","Nutraceutical","Look for: Tablet/capsule production, in-house vs contract, growth trajectory"
"ETHICAL NATURALS","http://www.ethicalnaturals.com","888-234-5678","Boulder","CO","Rocky Mountain","https://www.linkedin.com/company/ethical-naturals","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ETHYPHARM","https://www.ethypharm.com","33-1-55-68-80-00","La VerriÃ¨re","FR","International","https://www.linkedin.com/company/ethypharm","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
