Company,Industry,Fit,Tier,Tier 1 Reason,Territory,Website,Phone,City,State,Country,Employees,Data Quality,Needs Research,Contact Count
"AXAR LABORATORIES","Pharmaceutical","Scientific","Tier 2","","International","https://axarpharma.com","'+1 951-272-2927","","","","","Complete","Yes","1"
"AXIOM LABORATORIES LLC","Research & Development","Scientific","Tier 3","","International","https://axiomlabsusa.com","770-846-1726","","","","","Complete","Yes","1"
"bellpharm.com","Pharmaceutical","Both","Tier 2","","Midwest","https://bellpharm.com","952-873-2288","","Minnesota","","","Complete","Yes","4"
"BENGOECHEA LABORATORIES","Research & Development","Scientific","Tier 3","","International","https://labbengoechea.com","505-270-0450","","Managua","","","Complete","Yes","1"
"BERLIN PHARMACEUTICAL INDUSTRY LTD.","Pharmaceutical","Scientific","Tier 3","","International","https://berlinpharm.com","'+66 82 698 4603","","Bangkok","","","Complete","Yes","1"
"BI Pharma Consultants","Pharmaceutical","Engineering","Tier 2","","International","https://bipharmaconsultants.com","","Mexico City","Federal District","Mexico","8","Complete","Yes","5"
"Biodeal Laboratories Limited","Research & Development","Scientific","Tier 3","","International","https://biodealkenya.com","","Nairobi","Nairobi County","Kenya","99","Complete","Yes","2"
"biogenidec.com","Pharmaceutical","Both","Tier 3","","International","https://biogenidec.com","086-156-1896","","","","","Complete","Yes","2"
"Biointelligentia","Pharmaceutical","Engineering","Tier 2","","International","https://biointelligentia-pharma.com","","Mexico City","Mexico City","Mexico","2","Partial","Yes",""
"BIOLAB CO., LTD.","Research & Development","Scientific","Tier 2","","International","https://biolab.co.th","'+66 2 324 0775","","Samut Prakan","","","Complete","Yes","2"
"BIOLAB INC","Research & Development","Scientific","Tier 3","","Southeast","https://chemtura.com","678-502-4816","","Georgia","","","Partial","Yes",""
"BIOLAB PHARMA","Pharmaceutical","Scientific","Tier 3","","International","https://biolab.com","","","","","","Partial","Yes","1"
"Biomar Group A/S","Biotechnology","Scientific","Tier 2","","International","https://biomar.co.uk","","","Scotland","","","Partial","Yes","2"
"bioplu.in","Biotechnology","Engineering","Tier 3","","International","https://bioplu.in","N/A","","","","","Complete","Yes","1"
"BIORITE NUTRITIONALS","Nutraceutical","Engineering","Tier 3","","Midwest","https://findtcn.com","405-527-3928","","Oklahoma","","","Complete","Yes","1"
"BIOSAN LABS","Research & Development","Scientific","Tier 3","","Northeast","https://biosan.net","603-432-5022 ext 214","","Massachusetts","","","Complete","Yes","2"
"BIOVAIL TECH. (IRELAND) LTD.","Biotechnology","Scientific","Tier 2","","International","https://biovail.ie","'+353 1 642 3320","","","","","Complete","Yes","3"
"BLUE CROSS LABORATORIES, INC.","Research & Development","Both","Tier 3","","International","https://bc-labs.com","661-255-0955 ext 113","","","","","Complete","Yes","1"
"BLUEPRINT MEDICINES","Pharmaceutical","Scientific","Tier 3","","Northeast","https://bluepriintmedicines.com","617-844-8286","","Massachusetts","","","Complete","Yes","6"
"BOGART BIOSCIENCES","Research & Development","Engineering","Tier 3","","International","https://bogartlabs.com","770-531-8472","","","","","Complete","Yes","1"
"BOTANICAL LABORATORIES, INC.","Nutraceutical","Both","Tier 2","","International","https://botlab.com","360-384-5656","","","","","Complete","Yes","3"
"BRAND PACKAGING/NUTRA GROUP","Nutraceutical","Engineering","Tier 2","","International","https://bpgpack.com","631-249-4811","","","","","Complete","Yes","4"
"BREAKWATER RESEARCH","Research & Development","Scientific","Tier 3","","International","https://breakwaterresearch.com","925-667-8007","","","","","Complete","Yes","1"
"BUCKSHORE LABORATORIES","Mining & Minerals","Scientific","Tier 2","","Midwest","https://buckshorelabs.net","734-794-4824","","Illinois","","","Complete","Yes","1"
"BUSHU PHARMACEUTICALS LTD","Pharmaceutical","Engineering","Tier 2","","International","https://bushu-seiyaku.co.jp","31153","","Saitama Prefecture","","","Complete","Yes","1"
"BV PHARMA PHARMACEUTICAL COMPANY LIMITED","Pharmaceutical","Scientific","Tier 3","","International","https://bvp.com.vn","'+84 942 942 168","","","","","Partial","Yes",""
"BWXT Medical","Pharmaceutical","Engineering","Tier 3","","International","https://bwxtmedical.com","","Ottawa","Ontario","Canada","150","Complete","Yes","1"
"C.J. LABS, INC.","Research & Development","Scientific","Tier 3","","International","https://cjlabs.com","305-234-9644","","","","","Complete","Yes","3"
"CANNABRANDZ MFG","Cannabis","Both","Tier 3","","International","https://dehydr8.com","248-977-7251","","","","","Complete","Yes","2"
"Canopus Medical AB","Pharmaceutical","Engineering","Tier 3","","International","https://canopusmedical.com","","Lund","Skane County","Sweden","8","Complete","Yes","1"
"CAN-VET ANIMAL HEALTH SUPPLIES LTD","Pharmaceutical","Engineering","Tier 3","","International","https://canvet.on.ca","519-822-5333","","","","","Complete","Yes","1"
"Carie Boyd Pharmaceuticals","Pharmaceutical","Scientific","Tier 3","","Midwest","http://www.carieboyd.com","","Irving","Texas","United States","47","Complete","Yes","3"
"catalyst.su","Catalyst","Both","Tier 2","","International","https://catalyst.su","715-574-8430","","","","","Complete","Yes","1"
"cclabs.com.ec","Research & Development","Scientific","Tier 3","","International","https://cclabs.com.ec","","","","","","Partial","Yes","1"
"cclpharma.net","Pharmaceutical","Engineering","Tier 2","","International","https://cclpharma.net","'+7 913 957-56-45","","","","","Complete","Yes","3"
"CELLTRION CHEMICAL RESEARCH INSTITUTE","Research & Development","Scientific","Tier 3","","International","https://celltrionchem.com","8.21E+11","","","","","Complete","Yes","1"
"cencolab.cr","Research & Development","Scientific","Tier 3","","International","https://cencolab.cr","'+506 2589 2222","","","","","Partial","Yes",""
"CHANELLE PHARMACEUTICAL GROUP LTD","Pharmaceutical","Engineering","Tier 2","","International","https://chanellegroup.ie","'+353 91 841 788","","","","","Complete","Yes","3"
"chemay.co.za","Chemical","Engineering","Tier 3","","International","https://chemay.co.za","937-218-8947","","","","","Complete","Yes","2"
"chemhub-tech.com","Biotechnology","Engineering","Tier 3","","International","https://chemhub-tech.com","987-972-4010","","","","","Complete","Yes","1"
"CHIESI FARMACEUTICI S.P.A.","Agriculture","Scientific","Tier 2","","International","https://chiesi.com","","Parma","Emilia-Romagna","Italy","190","Complete","Yes","31"
"CIMA LABS C/O TEVA PHARM.  USA","Pharmaceutical","Both","Tier 2","","International","https://cimalabs.com","763-488-4710","","","","","Complete","Yes","4"
"CISPHARMA, INC.","Pharmaceutical","Scientific","Tier 2","","International","https://cispharmausa.com","609-235-9807 ext 110","","","","","Complete","Yes","1"
"CLOROX SERVICES COMPANY","Pharmaceutical","Both","Tier 3","","International","https://colorx.com","925-321-8105","","","","","Complete","Yes","8"
"CODILAB","Research & Development","Scientific","Tier 3","","International","https://codilab.fr","'+33 2 51 43 34 78","","","","","Complete","Yes","1"
"COLORADO BIOLABS","Research & Development","Scientific","Tier 3","","International","https://coloradobiolabs.com","720-684-7274","","","","","Complete","Yes","1"
"COLUMBIA FOOD LABORATORIES","Food & Beverage","Scientific","Tier 3","","West Coast","https://columbiafoodlab.com","503-344-1931","","Oregon","","","Complete","Yes","1"
"COMBINO PHARM","Pharmaceutical","Both","Tier 3","","International","https://combinopharm.com.mt","","","","","","Partial","Yes","6"
"COMESTIBLES DEL PACAFICO","Biotechnology","Scientific","Tier 2","","International","https://generpac.com","'+593 2-285-0188","","Pichincha","","","Complete","Yes","1"
"Connecting Pharma","Pharmaceutical","Engineering","Tier 2","","International","https://connecting-pharma.com.mx","","","Mexico City","Mexico","3","Complete","Yes","1"
"cooperpharmaarabia.com","Pharmaceutical","Both","Tier 3","","International","https://cooperpharmaarabia.com","415-767-7012","","","","","Complete","Yes","2"
"cornelltherapeutics.com","Pharmaceutical","Scientific","Tier 2","","International","https://cornelltherapeutics.com","616-738-8500","","","","","Complete","Yes","1"
"COUNTY LINE PHARMACEUTICALS LLC","Pharmaceutical","Scientific","Tier 2","","Midwest","https://countylinepharma.com","439-810-9115","","Wisconsin","","","Complete","Yes","2"
"COVETRUS NORTH AMERICA LLC","Pharmaceutical","Scientific","Tier 3","","International","https://atlasdrugs.net","636-448-8841","","","","","Complete","Yes","5"
"cropmaine.me","Agriculture","Engineering","Tier 2","","International","https://cropmaine.me","'+91 99788 49845","","","","","Complete","Yes","1"
"CSC IV, LLC  / DBA: 24K LABS","Research & Development","Both","Tier 2","","International","https://24k-labs.com","918-984-4603","","","","","Complete","Yes","2"
"CyHLab","Research & Development","Both","Tier 2","","International","https://cyhlab.co","","Bogota","Bogota","Colombia","4","Complete","Yes","1"
"DANSOL PHARMA GROUP, LLC","Pharmaceutical","Engineering","Tier 3","","International","https://dansolpharma.com","314-725-7200","","","","","Complete","Yes","1"
"DECHRA PHARMACEUTICALS MANUFACTURING","Pharmaceutical","Engineering","Tier 2","","International","https://dechramanufacturing.com","'+44 1756 791311","Skipton","England","United Kingdom","","Complete","Yes","6"
"DELEXCEL PHARMA PVT. LTD.","Pharmaceutical","Engineering","Tier 3","","International","https://delexcelpharma.com","9.19E+11","","Telangana","","","Complete","Yes","1"
"DELOREAN INC.","Mining & Minerals","Scientific","Tier 2","","Midwest","https://deloreaninc.com","319-325-3119","","Iowa","","","Complete","Yes","1"
"DEWS RESEARCH","Research & Development","Scientific","Tier 3","","International","https://suddenlinkmail.com","940-325-0208","","","","","Complete","Yes","1"
"DIVI'S LABORATORIES LIMITED","Research & Development","Scientific","Tier 2","","International","https://divislaboratories.com","CHANDRA DIVI","","Andhra Pradesh","","","Complete","Yes","1"
"DOUGLAS PHARMACEUTICALS FIJI LTD.","Pharmaceutical","Engineering","Tier 3","","International","https://douglas.com.fj","603-343-3654","","","","","Complete","Yes","9"
"DR. F. FRIK PHARMACEUTICALS","Pharmaceutical","Scientific","Tier 3","","International","https://frik.com.tr","'+90 216 388 32 75","","","","","Complete","Yes","1"
"DR. PHARM","Pharmaceutical","Both","Tier 3","","International","https://bjhanlin.com","","Kanpur","Uttar Pradesh","India","7","Complete","Yes","5"
"DYNAMIC PHARMACEUTICALS, INC.","Pharmaceutical","Engineering","Tier 2","","International","https://dynamicpharm.com","352-797-9600 ext 12","","","","","Complete","Yes","4"
"EAGLE NUTRITIONALS","Nutraceutical","Scientific","Tier 2","","Northeast","https://eaglenutri.com","201-964-1441","","New Jersey","","","Complete","Yes","4"
"EDENBRIDGE PHARMACEUTICALS LLC","Pharmaceutical","Scientific","Tier 2","","International","https://edenbridgepharma.com","201-603-2502","","","","","Complete","Yes","7"
"Editas Medicine","Pharmaceutical","Engineering","Tier 2","","International","https://editasmed.com","'+1 617-401-9000","","","","","Complete","Yes","2"
"EEPL","Pharmaceutical","Both","Tier 2","","International","https://europcanpharm.eg","'+20 12 2145868","","","","","Complete","Yes","1"
"ELITE PHARMACEUTICAL SOLUTIONS, INC.","Pharmaceutical","Scientific","Tier 2","","West Coast","https://elitepharmasolutions.com","510-400-8290","","California","","","Complete","Yes","4"
"ELIZABETH CARBIDE NC","Powder Metallurgy","Scientific","Tier 3","","Southeast","https://eliznc.com","336-472-5555","","North Carolina","","","Complete","Yes","1"
"EL-KENDI PHARMACEUTICAL MANUFACTURING CO.","Pharmaceutical","Engineering","Tier 2","","International","https://elkendi.com","'+213 21 10 00 13","","","","","Complete","Yes","6"
"ElRazy Pharmaceuticals Co.","Pharmaceutical","Scientific","Tier 3","","International","https://elrazypharma.com","","Ismailia","Ismailia Governorate","Egypt","77","Partial","Yes",""
"EMI LTD","Defense & Energetics","Engineering","Tier 3","","International","https://explosives.co.il","9.73E+11","","","","","Partial","Yes",""
"EOS PHARM. CORP.","Pharmaceutical","Both","Tier 3","","Northeast","https://eospharm.com","781-935-1740","","Massachusetts","","","Complete","Yes","2"
"ESPRESSO AMORE","Mining & Minerals","Engineering","Tier 2","","Rocky Mountain","https://espressoamore.com","702-845-0753","","Nevada","","","Partial","Yes",""
"eVac Magnetics","Rare Earth & Magnets","Scientific","Tier 3","","Southeast","https://evacmagnetics.com","","Sumter","South Carolina","United States","29","Complete","Yes","2"
"EVEREST LIFE SCIENCE","Research & Development","Engineering","Tier 2","","International","https://everest-life.com","609-779-2940","","","","","Complete","Yes","2"
"EVIDENT TECHNOLOGIES","Biotechnology","Engineering","Tier 3","","International","https://evidenttech.com","518-720-3061","","","","","Complete","Yes","1"
"EVOLVED LABS LLC","Pharmaceutical","Scientific","Tier 2","","Northeast","https://evolvedbiotech.com","516-660-6074","","New York","","","Complete","Yes","1"
"Eyesthetic SOS "" Drs Rx""","Pharmaceutical","Both","Tier 2","","Southeast","https://doctorsoptimalformula.com","352-870-0926","Jacksonville","Florida","United States","13","Complete","Yes",""
"F.S.P. FILOFARM","Agriculture","Scientific","Tier 3","","International","https://filofarm.pl","'+48 52 342 67 88","","Kuyavian-Pomeranian Voivodeship","","","Complete","Yes","9"
"Fármacos Continentales S.A. de C.V.","Agriculture","Engineering","Tier 2","","International","https://farmacoscontinentales.com.mx","","Puebla","Puebla","Mexico","180","Complete","Yes","1"
"FABRICATION JAMP PHARMA INC","Pharmaceutical","Engineering","Tier 2","","International","https://jampfabrication.com","418-572-0453","","","","","Complete","Yes","4"
"Farmaco","Pharmaceutical","Engineering","Tier 2","","International","https://farmacomedicamentos.com.br","","Araguaina","Tocantins","Brazil","40","Complete","Yes","36"
"FARMASI COSMETICS","Cosmetics","Engineering","Tier 3","","International","https://farmasi.com.tr","532-577-6655","","","","","Partial","Yes",""
"FARMATECH S.A.","Biotechnology","Engineering","Tier 2","","International","https://farmatech.com.co","574-512-3068","","","","","Complete","Yes","1"
"FARMINDUSTRIA S.A.","Agriculture","Engineering","Tier 3","","International","https://drokasa.com.pe","'+51 1 4701111","","","","","Complete","Yes","8"
"FEMIGIN","Pharmaceutical","Engineering","Tier 3","","International","https://dac-pharma.nl","'+31 52 135 1522","","","","","Complete","Yes","1"
"FORGE LABS","Research & Development","Both","Tier 2","","International","https://scottlabs.us","","","","","","Partial","Yes","3"
"fournierpharma.com","Pharmaceutical","Scientific","Tier 3","","International","https://fournierpharma.com","'+353 21 488 1455","","County Cork","","","Partial","Yes",""
"galienpharma.tn","Pharmaceutical","Engineering","Tier 3","","International","https://galienpharma.tn","50728055","","","","","Complete","Yes","1"
"GCP LABORATORIES","Research & Development","Both","Tier 2","","International","https://gcplabs.com","BUDDY LADNER","","","","","Complete","Yes","8"
"GENERIFAR S.A. LABORATORIOS","Research & Development","Scientific","Tier 3","","Rocky Mountain","https://generifar.com","8659","","Arizona","","","Complete","Yes","1"
"GLATT AIR TECHNIQUES, INC.","Biotechnology","Engineering","Tier 3","","Midwest","https://glattair.com","201-818-3752","","Arkansas","","","Partial","Yes",""
"GLOBAL BLOOD THERAPEUTICS","Pharmaceutical","Scientific","Tier 2","","International","https://globalbloodtx.com","480-435-0962","","","","","Complete","Yes","13"
"GLOMED PHARMACEUTICAL","Pharmaceutical","Engineering","Tier 3","","International","https://glomedvn.com","23325654","","","","","Complete","Yes","2"
"GREEN FARMS","Agriculture","Engineering","Tier 3","","International","https://greenfarmsmissouri.com","'+1 336-931-2136","","","","","Complete","Yes","2"
"GREEN LABS LLC","Research & Development","Scientific","Tier 3","","International","https://greenlabsllc.com","425-922-0947","","","","","Complete","Yes","2"
"gx-novartis.com","Pharmaceutical","Both","Tier 2","","Midwest","https://gx-novartis.com","'+27 11 929 9014","","Minnesota","","","Complete","Yes","1"
"HACK TECHNOLOGIES LLC","Biotechnology","Engineering","Tier 3","","International","https://lipotx.com","702-379-9437","","","","","Complete","Yes","3"
"HALO LABS","Research & Development","Scientific","Tier 2","","Rocky Mountain","https://halolaboratories.com","480-372-0078","","Arizona","","","Complete","Yes","1"
"healthserver.org","Pharmaceutical","Scientific","Tier 3","","International","https://healthserver.org","'+27 11 314 3525","","","","","Complete","Yes","1"
"herabiopharm.com.vn","Biotechnology","Scientific","Tier 3","","International","https://herabiopharm.com.vn","","","","","","Partial","Yes","1"
"HI-TECH NUTRACEUTICALS, LLC","Nutraceutical","Engineering","Tier 3","","Southeast","https://hitechnutra.com","BRANDON SCHOPP","","Georgia","","","Complete","Yes","2"
"HUAHAI US, INC.","Pharmaceutical","Both","Tier 2","","International","https://huahaipharmus.com","'+86 546 501 6119","","","","","Complete","Yes","16"
"Hudi Pharma - Women's Wellness CDMO","Pharmaceutical","Engineering","Tier 2","","International","https://hudipharma.com","","Milan","Lombardy","Italy","3","Complete","Yes","1"
"HUMAN PHARMACEUTICAL WORKS CO. LTD.","Pharmaceutical","Engineering","Tier 3","","International","https://human.hu","3044","","","","","Complete","Yes","2"
"IDEA NATURA S.R.L.S.U.","Agriculture","Engineering","Tier 3","","International","https://setafarm.it","044-446-1943","","","","","Complete","Yes","1"
"IDRS LABS PRIVATE LIMITED","Research & Development","Scientific","Tier 3","","International","https://idrslabs.com","","Bengaluru","Karnataka","India","120","Complete","Yes","1"
"Infarma","Agriculture","Engineering","Tier 2","","International","https://infarma.hn","","","Departamento de Francisco Morazan","Honduras","98","Complete","Yes","3"
"INMENOL INDUSTRIAL LABORATORIOSS","Research & Development","Scientific","Tier 3","","International","https://inmenol.com.do","809-237-8989","","","","","Complete","Yes","1"
"innovalabs.ca","Research & Development","Scientific","Tier 3","","International","https://innovalabs.ca","514-731-8814","","","","","Complete","Yes","1"
"INNOVATIVE FORMULATIONS","Pharmaceutical","Both","Tier 2","","International","https://innovativesupps.com","866-673-7347","","","","","Complete","Yes","2"
"INNOVATIVE PHARMACEUTICALS","Pharmaceutical","Scientific","Tier 3","","International","https://mexicocompounding.com","664-540-2532","","","","","Complete","Yes","4"
"InQpharm","Pharmaceutical","Both","Tier 2","","International","https://inqpharm.com","","Kuala Lumpur","Wilayah Persekutuan Kuala Lumpur","Malaysia","33","Complete","Yes","1"
"INTERNATIONAL NUTRITION LTD.","Nutraceutical","Engineering","Tier 3","","International","https://sunnycrunch.com","905-475-0422 ext 300","","Ontario","","","Complete","Yes","1"
"INTREPID BIOSCIENCES","Biotechnology","Engineering","Tier 2","","International","https://intrepidbiosciences.com","801-739-3408","","","","","Complete","Yes","1"
"intrepidlabs.ai","Research & Development","Scientific","Tier 3","","International","https://intrepidlabs.ai","226-988-6674","","","","","Complete","Yes","1"
"ipc-pharma.com","Pharmaceutical","Engineering","Tier 2","","International","https://ipc-pharma.com","011 02-22706392","","","","","Complete","Yes","2"
"ITF-LABOMED FARMACEUTICA LTDA","Research & Development","Scientific","Tier 2","","International","https://labomed.cl","562-364-1132","","Region Metropolitana","","","Complete","Yes","2"
"IZEEN PHARMA, INC.","Pharmaceutical","Engineering","Tier 2","","Northeast","https://izeenpharma.com","301-695-1100","","Maryland","","","Complete","Yes","3"
"JAMAICA LABORATORY & INDUSTRIAL SUPPLIERS LTD.","Research & Development","Scientific","Tier 3","","Northeast","https://cwjamaica.com","30467","","New York","","","Complete","Yes","2"
"JEMO PHARM A/S","Pharmaceutical","Both","Tier 2","","International","https://jemopharm.dk","'+45 40 50 65 16","","Capital Region of Denmark","","","Complete","Yes","4"
"jepharm.com","Pharmaceutical","Both","Tier 3","","International","https://jepharm.com","858-281-7942","","","","","Complete","Yes","1"
"JUNIPER PHARMA","Pharmaceutical","Scientific","Tier 2","","International","https://juniperpharma.com","826-810-2345","","","","","Complete","Yes","5"
"KEM TECH INDUSTRIES, INC.","Biotechnology","Engineering","Tier 3","","Midwest","https://kem-tech.com","","Ixonia","Wisconsin","United States","6","Complete","Yes","2"
"KIRK PHARMACEUTICALS, INC.","Pharmaceutical","Engineering","Tier 3","","International","https://kirkpharma.com","954-607-7907","","","","","Complete","Yes","4"
"KNOLL LLC/ABBVIE","Pharmaceutical","Both","Tier 1","Humira tablets, Synthroid. High-volume solid dose.","Midwest","https://abbive.com","847-935-4174","","Illinois","","","Complete","Yes","1"
"KV PHARMACEUTICAL COMPANY","Pharmaceutical","Engineering","Tier 2","","Midwest","https://kvph.com","314-645-6600","","Missouri","","","Complete","Yes","3"
"LAB ALPHARMA","Pharmaceutical","Scientific","Tier 3","","International","https://alpharma.org","","","","","","Partial","Yes","1"
"labojuva.fr","Research & Development","Scientific","Tier 3","","International","https://labojuva.fr","","","","","","Partial","Yes","1"
"laboratiosamerica.com.co","Research & Development","Scientific","Tier 3","","International","https://laboratiosamerica.com.co","'+57 4 3512266","","","","","Complete","Yes","1"
"Laboratoiros Quimpharma, s.a. de c.v.","Pharmaceutical","Both","Tier 2","","International","https://quimpharma.com.mx","","Mexico City","Mexico City","Mexico","17","Partial","Yes",""
"Laboratorio Austral SA","Research & Development","Scientific","Tier 3","","International","https://laboratorioaustral.com.ar","","Neuquen","Neuquen","Argentina","120","Complete","Yes","1"
"LABORATORIO BOSTON S.A.","Research & Development","Both","Tier 2","","International","https://laboratorioboston.cl","562-445-8542","","Region Metropolitana","","","Complete","Yes","1"
"LABORATORIO FARMA-QRO S.A. DE C.V.","Research & Development","Scientific","Tier 3","","International","https://farmaqro.com","","Santiago de Queretaro","Queretaro","Mexico","31","Partial","Yes",""
"LABORATORIO GLOBO LTDA","Research & Development","Scientific","Tier 3","","International","https://laboratorioglobo.com.br","'+55 31 3623-3500","","","","","Complete","Yes","1"
"Laboratorio Infarma","Research & Development","Scientific","Tier 3","","International","https://infarmacr.com","","San Jose","San Jose","Costa Rica","52","Complete","Yes","1"
"LABORATORIO MEDIPHARM S.A.","Research & Development","Scientific","Tier 3","","International","https://medipharm.cl","'+56 22378290","","","","","Complete","Yes","1"
"Laboratorio RAVEN S.A.","Research & Development","Scientific","Tier 3","","International","https://corporacionraven.com","","San Jose","San Jose","Costa Rica","28","Partial","Yes",""
"LABORATORIO RAVEN, S.A.","Research & Development","Scientific","Tier 3","","International","https://costarricense.cr","17072","","","","","Partial","Yes",""
"Laboratorio STEIGEN","Research & Development","Scientific","Tier 3","","International","https://steigen.com.ar","","El Triangulo","Buenos Aires Province","Argentina","51","Complete","Yes","1"
"LABORATORIO THERFAM","Research & Development","Scientific","Tier 3","","International","https://intelnet.net.gt","'+502 2436 0217","","","","","Complete","Yes","3"
"Laboratorio Vita Pharma","Pharmaceutical","Scientific","Tier 3","","International","https://vitapharma.com.pe","","","","","72","Complete","Yes","1"
"LABORATORIO VOLTA","Research & Development","Scientific","Tier 3","","International","https://farmindustria.cl","562-438-1600","","","","","Complete","Yes","1"
"Laboratorios Best","Research & Development","Scientific","Tier 3","","International","https://laboratoriosbest.com.mx","","Mexico City","Mexico City","Mexico","190","Complete","Yes","1"
"Laboratorios Biológicos de El Salvador, LABIS S.A de C.V","Research & Development","Scientific","Tier 3","","International","https://labis.com","","San Salvador","San Salvador Department","El Salvador","12","Complete","Yes","1"
"Laboratorios Dermatológicos Darier, S.A. de C.V.","Research & Development","Scientific","Tier 3","","International","https://darier.com.mx","","","Federal District","Mexico","45","Complete","Yes","1"
"LABORATORIOS DIBA, S.A.","Research & Development","Scientific","Tier 3","","International","https://diba.com.mx","333-268-0636","","","","","Complete","Yes","1"
"LABORATORIOS DR. BENGOECHEA S.A.","Research & Development","Both","Tier 2","","International","https://ideay.net.ni","505-277-2145","","","","","Complete","Yes","2"
"LABORATORIOS ELMOR, S.A.","Mining & Minerals","Scientific","Tier 3","","International","https://elmore.com.ve","'+58 212-2638233","","","","","Complete","Yes","1"
"LABORATORIOS FUNAT S.A.","Research & Development","Scientific","Tier 3","","International","https://funat.com.co","'+57 3393820","","","","","Partial","Yes",""
"LABORATORIOS INDUQUIMICA SA","Research & Development","Scientific","Tier 3","","International","https://induquimica.com.pe","AUGUSTO COAGUILA CHAVEZ","","","","","Complete","Yes","4"
"Laboratorios Jaime Gutierrez","Research & Development","Scientific","Tier 3","","International","https://labjgutierrez.com.ec","","Quito","Pichincha","Ecuador","5","Partial","Yes",""
"LABORATORIOS LAMOSAN","Research & Development","Scientific","Tier 3","","International","https://lamosan.com","7470","","","","","Complete","Yes","2"
"Laboratorios Le Roy","Research & Development","Scientific","Tier 2","","International","https://leroy.com.mx","","La Paz","Baja California Sur","Mexico","890","Complete","Yes","2"
"LABORATORIOS LOPEZ S.A.","Research & Development","Scientific","Tier 2","","International","https://lablopez.com.sv","'+503 2251 5923","","","","","Complete","Yes","2"
"LABORATORIOS QUÍMICA SON'S","Research & Development","Scientific","Tier 3","","International","https://quimicasons.mx","","Puebla","Puebla","Mexico","580","Complete","Yes","2"
"LABORATORIOS RARPE S.A.","Research & Development","Scientific","Tier 3","","International","https://rarpe.com.ni","505-249-1580","","Guanajuato","","","Complete","Yes","2"
"LABORATORIOS STEIN S.A.","Research & Development","Both","Tier 2","","International","https://labstein.com","84342564","","","","","Complete","Yes","8"
"Laboratorios Torrent","Pharmaceutical","Both","Tier 2","","International","","","","Mexico City","Indonesia","39","Partial","Yes",""
"LABORATORIOS TRIFARMA S.A.","Research & Development","Scientific","Tier 3","","International","https://trifarma.com.pe","'+51 1 3261046 ext 121","","","","","Complete","Yes","1"
"LABORATORIOS VARTRAX","Research & Development","Scientific","Tier 3","","International","https://vartraxhealth.com","'+593 22 346 4193","","Pichincha","","","Complete","Yes","1"
"laboratoriosbets.com.mx","Research & Development","Scientific","Tier 3","","International","https://laboratoriosbets.com.mx","","","","","","Partial","Yes","1"
"labssac.com.pe","Research & Development","Scientific","Tier 3","","International","https://labssac.com.pe","511-476-1304","","","","","Complete","Yes","1"
"labtron.co.uk","Research & Development","Scientific","Tier 3","","International","https://labtron.co.uk","","","","","","Partial","Yes","1"
"LALLEMAND SOLUTIONS SANTE INC.","Research & Development","Engineering","Tier 3","","International","https://perfeclab.com","MARIE JOSEE LEBEL","","","","","Complete","Yes","1"
"LANCASTER TECHNOLOGIES INC.","Biotechnology","Engineering","Tier 2","","International","https://lancastertechnologies.ca","905-991-9393","","Ontario","","","Complete","Yes","4"
"LASER PHARMACEUTICALS","Pharmaceutical","Scientific","Tier 2","","Southeast","https://laserpharmaceuticals.com","770-754-9846","","Georgia","","","Complete","Yes","1"
"LES LABORATORRES SERVIER INDUST","Pharmaceutical","Both","Tier 2","","International","https://netgrs.com","'+86 22 6629 9458","","","","","Complete","Yes","6"
"LGM Pharma","Pharmaceutical","Engineering","Tier 3","","Southeast","https://lgmpharma.com","","Boca Raton","Florida","United States","190","Complete","Yes","7"
"Lithos Crop Protect","Agriculture","Scientific","Tier 3","","International","https://lithosprotect.at","","Enns","Upper Austria","Austria","14","Complete","Yes","1"
"LONZA, INC.","CDMO/CMO","Both","Tier 1","Global CDMO leader. Capsugel integration.","West Coast","https://lonza.co.uk","'+44 1753 716534","","California","","","Partial","Yes","78"
"Malviya Chemicals & Pharmaceuticals Pvt Ltd","Pharmaceutical","Engineering","Tier 2","","International","https://malviyapharma.com","","Ghaziabad","Uttar Pradesh","India","6","Complete","Yes","1"
"marjanfarma.com.br","Agriculture","Scientific","Tier 3","","International","https://marjanfarma.com.br","","","State of Sao Paulo","","","Partial","Yes","3"
"MASTIX MEDICA LLC","Pharmaceutical","Engineering","Tier 2","","Northeast","https://mastixmedica.com","410-316-1080 ext 101","","Maryland","","","Complete","Yes","2"
"MAXIMUM LABORATORIES, INC.","Research & Development","Scientific","Tier 3","","Southeast","https://metamaxzone.com","786-375-8049","","Florida","","","Complete","Yes","2"
"MEDICALLY CORRECT, LLC","Pharmaceutical","Engineering","Tier 2","","Rocky Mountain","https://medicallycorrect.com","","Denver","Colorado","United States","19","Complete","Yes","6"
"MEDIPURE PHARMACEUICALS","Pharmaceutical","Both","Tier 2","","International","https://medipurepharma.com","604-243-3584","","","","","Complete","Yes","2"
"MEDITOP PHARMACEUTICAL CO. LTD.","Pharmaceutical","Scientific","Tier 2","","International","https://meditop.hu","","Pilisborosjeno","Pest County","Hungary","21","Complete","Yes","5"
"MEDLAB SA DE CV","Research & Development","Both","Tier 2","","International","https://medlab.com.mx","","Ciudad Lopez Mateos","State of Mexico","Mexico","6","Partial","Yes",""
"meerabiotech.com","Pharmaceutical","Engineering","Tier 3","","International","https://meerabiotech.com","'+977 985-1322827","","","","","Complete","Yes","1"
