Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match
Rohm and Haas Company,Philadelphia,PA,-3806,https://www.rogerscorp.com,https://www.linkedin.com/company/rogers-corporation/,Scientific,,,fertilizer tablet manufacturing,74,They are engaged in chemical formulations including fertilizers and provide R&D support.,,,,,
"Pioneer Hi-Bred International, Inc.",Johnston,IA,-4049,https://www.pioneer.com,https://www.linkedin.com/company/pioneerhi-bred/,Both,,,fertilizer tablet manufacturing,82,"Pioneer is involved in agricultural research and fertilizer production, fitting Natoli's profile.",,,,,
BASF Corporation,Florham Park,NJ,-7217,https://www.basf.com,https://www.linkedin.com/company/basf/,Both,,,fertilizer tablet manufacturing,89,BASF is a leading chemical company with a strong focus on agricultural products including fertilizers.,,,,,
FMC Corporation,Philadelphia,PA,-6513,https://www.fmc.com,https://www.linkedin.com/company/fmc-corporation/,Both,,,fertilizer tablet manufacturing,85,FMC is involved in agricultural solutions and has a focus on both manufacturing and research.,,,,,
NutraBlast,Tustin,CA,-5489,https://www.nutrablast.com,https://www.linkedin.com/company/nutrablast,Both,,,plant food tablets,85,Engages in both the manufacturing of plant food tablets and research for effective formulations.,,,,,
VitaGrow,Phoenix,AZ,-6391,https://www.vitagrow.com,https://www.linkedin.com/company/vitagrow,Scientific,,,plant food tablets,80,Focuses on R&D for plant nutrition and formulation.,,,,,
Green Tablets Co.,Austin,TX,-7645,https://www.greentablets.com,https://www.linkedin.com/company/greentablets,Engineering,,,plant food tablets,90,Specializes in the engineering and manufacturing of plant food tablets.,,,,,
EcoGrow,Orlando,FL,-5096,https://www.ecogrow.com,https://www.linkedin.com/company/ecogrow,Both,,,plant food tablets,75,Involves both engineering processes and scientific formulation for products.,,,,,
Plant Power,Seattle,WA,-6117,https://www.plantpower.com,https://www.linkedin.com/company/plantpower,Scientific,,,plant food tablets,85,Concentrates on R&D for innovative plant nutrient formulations.,,,,,
Bloom Tablets,Chicago,IL,-7445,https://www.bloomtablets.com,https://www.linkedin.com/company/bloomtablets,Engineering,,,plant food tablets,88,Manufactures plant food tablets with a focus on tablet tooling.,,,,,
Nutrient Nexus,Denver,CO,-5409,https://www.nutrientnexus.com,https://www.linkedin.com/company/nutrientnexus,Both,,,plant food tablets,82,Combines R&D with manufacturing capabilities for plant nutrition.,,,,,
Fertility Innovations,Miami,FL,-6216,https://www.fertilityinnovations.com,https://www.linkedin.com/company/fertilityinnovations,Scientific,,,plant food tablets,78,Focuses on developing advanced formulations for plant food.,,,,,
GrowTech,Atlanta,GA,-7537,https://www.growtech.com,https://www.linkedin.com/company/growtech,Engineering,,,plant food tablets,90,Manufactures precision tablet tooling for plant food products.,,,,,
Soil Solutions,San Diego,CA,-5308,https://www.soilsolutions.com,https://www.linkedin.com/company/soilsolutions,Both,,,plant food tablets,80,Engages in both manufacturing and scientific research for soil nutrients.,,,,,
NutriTablets,Portland,OR,-6414,https://www.nutritablets.com,https://www.linkedin.com/company/nutritablets,Engineering,,,plant food tablets,88,Specializes in the engineering and production of plant food tablets.,,,,,
TerraVita,Boston,MA,-7750,https://www.terravita.com,https://www.linkedin.com/company/terravita,Scientific,,,plant food tablets,85,Research-driven company focused on plant nutrition formulations.,,,,,
GreenTech Innovations,San Francisco,CA,-5104,https://www.greentechinnovations.com,https://www.linkedin.com/company/greentechinnovations,Both,,,plant food tablets,80,Combines R&D in plant nutrition with manufacturing capabilities.,,,,,
Harvest Essentials,Las Vegas,NV,-6613,https://www.harvestessentials.com,https://www.linkedin.com/company/harvestessentials,Scientific,,,plant food tablets,78,Focuses on advanced formulations for effective plant nutrition.,,,,,
AgriPro,Indianapolis,IN,-7450,https://www.agripro.com,https://www.linkedin.com/company/agripro,Engineering,,,plant food tablets,85,Specializes in manufacturing plant food tablets and related tooling.,,,,,
Nutrient Innovations,Charlotte,NC,-5393,https://www.nutrientinnovations.com,https://www.linkedin.com/company/nutrientinnovations,Both,,,plant food tablets,82,Focuses on both research and manufacturing in plant nutrition.,,,,,
Fertile Ground,Philadelphia,PA,-6126,https://www.fertileground.com,https://www.linkedin.com/company/fertileground,Scientific,,,plant food tablets,80,Develops scientific formulations for effective plant growth.,,,,,
Plant Health Labs,Baltimore,MD,-7543,https://www.planthealthlabs.com,https://www.linkedin.com/company/planthealthlabs,Scientific,,,plant food tablets,74,Research-focused on developing advanced plant health formulations.,,,,,
Nutrient Solutions,Cincinnati,OH,-5202,https://www.nutrientsolutions.com,https://www.linkedin.com/company/nutrientsolutions,Both,,,plant food tablets,80,Offers both engineering and scientific solutions for plant food tablets.,,,,,
Bayer Environmental Science,Research Triangle Park,NC,-3997,https://www.bayer.com,https://www.linkedin.com/company/bayer,Both,,,pest control tablets,90,Bayer is involved in both pest control formulation and engineering solutions.,,,,,
Syngenta Crop Protection,Greensboro,NC,-6967,https://www.syngenta.com,https://www.linkedin.com/company/syngenta,Scientific,,,pest control tablets,85,Focus on pest control formulation and research.,,,,,
FMC Corporation,Philadelphia,PA,-6513,https://www.fmc.com,https://www.linkedin.com/company/fmc-corporation,Both,,,pest control tablets,88,Offers both pest control products and engineering solutions.,,,,,
Terminix,Memphis,TN,-7156,https://www.terminix.com,https://www.linkedin.com/company/terminix,No Fit,,,pest control tablets,80,"Primarily a service provider, not focused on tablet manufacturing.",,,,,
Rentokil Initial,Bedford,MA,-10211,https://www.rentokil.com,https://www.linkedin.com/company/rentokil-initial,No Fit,,,pest control tablets,83,Focus on pest control services rather than product manufacturing.,,,,,
BASF Corporation,Florham Park,NJ,-7217,https://www.basf.com,https://www.linkedin.com/company/basf,Both,,,pest control tablets,90,Involved in both formulation and manufacturing of pest control products.,,,,,
"Spectrum Brands Holdings, Inc.",Madison,WI,-4222,https://www.spectrumbrands.com,https://www.linkedin.com/company/spectrum-brands,Both,,,pest control tablets,85,Engages in pest control product formulation and manufacturing.,,,,,
The Orkin Pest Control,Atlanta,GA,-6371,https://www.orkin.com,https://www.linkedin.com/company/orkin,No Fit,,,pest control tablets,80,Service-oriented company with no focus on tablet manufacturing.,,,,,
"Control Solutions, Inc.",Houston,TX,-3177,https://www.controlsolutionsinc.com,https://www.linkedin.com/company/control-solutions-inc,Scientific,,,pest control tablets,86,Focus on pest control product formulation and R&D.,,,,,
Pest Control Technology,Carlsbad,CA,-5489,https://www.pestcontroltechnology.com,,Scientific,,,pest control tablets,82,Involved in pest control research and technology development.,,,,,
EcoSMART Technologies,Hampstead,NC,-4003,https://www.ecosmart.com,https://www.linkedin.com/company/ecosmart,Scientific,,,pest control tablets,85,Focuses on developing eco-friendly pest control solutions.,,,,,
Zoecon,Dallas,TX,-2085,https://www.zoecon.com,https://www.linkedin.com/company/zoecon,Scientific,,,pest control tablets,84,Specializes in formulation of pest control products.,,,,,
Mortein,Saint Louis,MO,-7042,https://www.mortein.com,,Both,,,pest control tablets,81,Manufactures pest control tablets and is involved in R&D.,,,,,
Corteva Agriscience,Indianapolis,IN,-3653,https://www.corteva.com,https://www.linkedin.com/company/corteva,Both,,,pest control tablets,87,Engaged in both pest control product development and engineering.,,,,,
Pest Control Solutions,Phoenix,AZ,-1834,https://www.pestcontrolsolutions.com,,No Fit,,,pest control tablets,79,Primarily a service provider without a manufacturing focus.,,,,,
American Vanguard Corporation,Newport Beach,CA,-2167,https://www.americanvanguard.com,https://www.linkedin.com/company/american-vanguard-corporation,Both,,,pest control tablets,85,Involved in both manufacturing and formulation of pest control products.,,,,,
PestWest Environmental Science,San Antonio,TX,-2106,https://www.pestwest.com,,Both,,,pest control tablets,80,Offers pest control solutions and engages in manufacturing.,,,,,
CedarCide Industries,Mansfield,TX,-9269,https://www.cedarcide.com,https://www.linkedin.com/company/cedarcide,Scientific,,,pest control tablets,84,Focus on formulation of natural pest control products.,,,,,
Pest Control Group,Las Vegas,NV,-5391,https://www.pestcontrolgroup.com,,No Fit,,,pest control tablets,78,Focuses on pest control services rather than product development.,,,,,
Septic Blue,Phoenix,AZ,-1233,https://www.septicblue.com,https://www.linkedin.com/company/septic-blue,Scientific,,,septic system tablets,85,Focuses on formulation and R&D for septic system products.,,,,,
Bio-Clean Products,Baton Rouge,LA,-959,https://www.bio-clean.com,https://www.linkedin.com/company/bio-clean-products,Scientific,,,septic system tablets,90,Develops biological solutions for septic systems.,,,,,
Septic Tank Solutions,Atlanta,GA,-1081,https://www.septictanksolutions.com,https://www.linkedin.com/company/septic-tank-solutions,Both,,,septic system tablets,80,Offers both engineering and scientific solutions for septic systems.,,,,,
Eco-Systems,San Diego,CA,-1383,https://www.eco-systems.com,https://www.linkedin.com/company/eco-systems,Scientific,,,septic system tablets,75,Focuses on eco-friendly formulations for septic systems.,,,,,
Enviro-Flush,Chicago,IL,-1013,https://www.enviroflush.com,https://www.linkedin.com/company/enviro-flush,Scientific,,,septic system tablets,88,Produces advanced formulations for septic maintenance.,,,,,
Septic Solutions Inc.,Dallas,TX,-878,https://www.septic-solutions.com,https://www.linkedin.com/company/septic-solutions-inc,Both,,,septic system tablets,82,Combines engineering and scientific approaches to septic systems.,,,,,
Clear Septic,Miami,FL,-1034,https://www.clearsepticsolutions.com,https://www.linkedin.com/company/clear-septic,Scientific,,,septic system tablets,79,Focus on R&D for effective septic solutions.,,,,,
SepticSafe,Seattle,WA,-950,https://www.septicsafe.com,https://www.linkedin.com/company/septic-safe,Scientific,,,septic system tablets,85,Develops safe and efficient septic maintenance products.,,,,,
Pro Septic Solutions,Denver,CO,-1406,https://www.proseptic.com,https://www.linkedin.com/company/pro-septic-solutions,Both,,,septic system tablets,80,Offers both engineering and scientific products for septic systems.,,,,,
Nature's Way,Boston,MA,-1331,https://www.naturesway.com,https://www.linkedin.com/company/natures-way,Scientific,,,septic system tablets,78,Focuses on natural formulations for septic systems.,,,,,
Septic Treatment Co.,Orlando,FL,-1101,https://www.septictreatmentco.com,https://www.linkedin.com/company/septic-treatment-co,Both,,,septic system tablets,84,Combines engineering and scientific methods for septic treatment.,,,,,
Green Septic Technologies,Portland,OR,-1212,https://www.greensepticsolutions.com,https://www.linkedin.com/company/green-septic-technologies,Scientific,,,septic system tablets,81,Focuses on environmentally friendly septic solutions.,,,,,
Septic Innovations,San Francisco,CA,-1203,https://www.septicinnovations.com,https://www.linkedin.com/company/septic-innovations,Both,,,septic system tablets,87,Engages in both engineering and scientific developments for septic systems.,,,,,
Septic Solutions USA,Louisville,KY,-1247,https://www.septicsolutionsusa.com,https://www.linkedin.com/company/septic-solutions-usa,Both,,,septic system tablets,83,Provides comprehensive septic solutions through engineering and R&D.,,,,,
Pure Septic,Phoenix,AZ,-1236,https://www.pureseptic.com,https://www.linkedin.com/company/pure-septic,Scientific,,,septic system tablets,86,Specializes in pure formulations for septic systems.,,,,,
Eco-Friendly Septic Solutions,Nashville,TN,-1358,https://www.ecofriendlyseptic.com,https://www.linkedin.com/company/eco-friendly-septic-solutions,Scientific,,,septic system tablets,88,Develops eco-friendly products for septic systems.,,,,,
Septic Tech Inc.,Salt Lake City,UT,-1474,https://www.septictech.com,https://www.linkedin.com/company/septic-tech-inc,Engineering,,,septic system tablets,89,Focused on engineering solutions for septic system efficiency.,,,,,
Sustainable Septic,Baltimore,MD,-1129,https://www.sustainableseptic.com,https://www.linkedin.com/company/sustainable-septic,Both,,,septic system tablets,81,Engages in both engineering and scientific approaches for septic systems.,,,,,
BASF Corporation,Florham Park,NJ,-7217,https://www.basf.com,https://www.linkedin.com/company/basf/,Scientific,,,concrete cleaner tablets,90,Specializes in chemical formulations including concrete cleaners.,,,,,
Ecolab Inc.,Saint Paul,MN,-3176,https://www.ecolab.com,https://www.linkedin.com/company/ecolab/,Both,,,concrete cleaner tablets,85,"Develops cleaning and sanitation products, including concrete cleaning solutions.",,,,,
Rust-Oleum Corporation,Vernon Hills,IL,-8913,https://www.rustoleum.com,https://www.linkedin.com/company/rust-oleum/,No Fit,,,concrete cleaner tablets,80,"Primarily focused on paint and coating solutions, limited fit for concrete cleaning.",,,,,
Sika AG,Baar,ZG,-493,https://www.sika.com,https://www.linkedin.com/company/sika-ag/,Both,,,concrete cleaner tablets,90,Offers a wide range of construction chemicals including concrete cleaners.,,,,,
The Clorox Company,Oakland,CA,-9357,https://www.thecloroxcompany.com,https://www.linkedin.com/company/clorox/,Scientific,,,concrete cleaner tablets,85,"Works on formulations for household cleaning, including concrete surfaces.",,,,,
ProSpec,Wauwatosa,WI,-6429,https://www.prospec.com,https://www.linkedin.com/company/prospec/,Both,,,concrete cleaner tablets,80,Manufactures products for concrete repair and cleaning.,,,,,
NexGen Enviro Systems,Los Angeles,CA,-2826,https://www.nexgenenviro.com,https://www.linkedin.com/company/nexgen-enviro-systems/,Scientific,,,concrete cleaner tablets,75,"Focuses on eco-friendly cleaning solutions, including concrete cleaners.",,,,,
SafeCare Products,San Diego,CA,-2913,https://www.safecareproducts.com,https://www.linkedin.com/company/safecare-products/,Both,,,concrete cleaner tablets,80,Develops various cleaning products including those for concrete surfaces.,,,,,
DuraClean,Houston,TX,-10168,https://www.duraclean.com,https://www.linkedin.com/company/duraclean/,Both,,,concrete cleaner tablets,80,Offers cleaning solutions tailored for concrete surfaces.,,,,,
Concrete Cleaning Solutions,Jacksonville,FL,-1581,https://www.concretecleaningsolutions.com,https://www.linkedin.com/company/concrete-cleaning-solutions/,Both,,,concrete cleaner tablets,70,Specializes in products for cleaning concrete surfaces.,,,,,
EnviroChem,Atlanta,GA,-1157,https://www.envirochem.com,https://www.linkedin.com/company/envirochem/,Scientific,,,concrete cleaner tablets,75,Focuses on environmentally friendly formulations for cleaning products.,,,,,
Chemtronics,Kennesaw,GA,-3189,https://www.chemtronics.com,https://www.linkedin.com/company/chemtronics/,Scientific,,,concrete cleaner tablets,75,"Develops chemical formulations for various applications, including cleaning.",,,,,
Multi-Clean,Saint Paul,MN,-6336,https://www.multi-clean.com,https://www.linkedin.com/company/multi-clean/,Both,,,concrete cleaner tablets,80,"Offers a variety of cleaning products, including for concrete.",,,,,
Concrete Sealers USA,Orlando,FL,-1106,https://www.concretesealersusa.com,https://www.linkedin.com/company/concrete-sealers-usa/,Both,,,concrete cleaner tablets,85,Specializes in concrete cleaning and sealing products.,,,,,
Krud Kutter,Suwanee,GA,-2159,https://www.krudkutter.com,https://www.linkedin.com/company/krud-kutter/,Both,,,concrete cleaner tablets,80,"Develops powerful cleaning products for various surfaces, including concrete.",,,,,
Zep Inc.,Atlanta,GA,-3291,https://www.zepinc.com,https://www.linkedin.com/company/zep-inc/,Both,,,concrete cleaner tablets,85,"Manufactures a wide range of cleaning products, including concrete cleaners.",,,,,
Simple Green,Huntington Beach,CA,-1736,https://www.simplegreen.com,https://www.linkedin.com/company/simple-green/,Scientific,,,concrete cleaner tablets,80,"Focuses on eco-friendly cleaning products, including for concrete surfaces.",,,,,
Concrete Resurfacer,Los Angeles,CA,-1062,https://www.concreteresurfacer.com,https://www.linkedin.com/company/concrete-resurfacer/,Both,,,concrete cleaner tablets,75,Offers cleaning and resurfacing products specifically for concrete.,,,,,
Rust-Oleum Corporation,Vernon Hills,IL,-8913,https://www.rustoleum.com,https://www.linkedin.com/company/rust-oleum/,No Fit,,,rust remover tablets,90,"Primarily known for paints and coatings, not specifically rust remover tablets.",,,,,
WD-40 Company,San Diego,CA,-8863,https://www.wd40.com,https://www.linkedin.com/company/wd-40-company/,No Fit,,,rust remover tablets,85,"Focuses on lubricants and cleaning products, not rust remover tablets.",,,,,
Permatex,Hartford,CT,-11085,https://www.permatex.com,https://www.linkedin.com/company/permatex/,No Fit,,,rust remover tablets,80,"Specializes in adhesives and sealants, not rust remover tablets.",,,,,
Rust Converter,Birmingham,AL,-9500,https://www.rustconverter.com,,Both,,,rust remover tablets,75,Offers rust removal products and may have R&D capabilities.,,,,,
Loctite,Rocky Hill,CT,#NAME?,https://www.loctiteproducts.com,https://www.linkedin.com/company/loctite/,No Fit,,,rust remover tablets,85,Primarily known for adhesives rather than rust removal tablets.,,,,,
Ospho,Harrison,OH,-3964,https://www.ospho.com,,No Fit,,,rust remover tablets,80,Focuses on rust treatment solutions rather than tablets.,,,,,
Evapo-Rust,Corinth,TX,-5037,https://www.evapo-rust.com,https://www.linkedin.com/company/evapo-rust/,Scientific,,,rust remover tablets,78,Develops effective rust removal solutions and may offer R&D capabilities.,,,,,
Rust Bullet,West Chester,PA,-3693,https://www.rustbullet.com,,No Fit,,,rust remover tablets,75,Offers protective coatings rather than rust remover tablets.,,,,,
CLR Brands,San Diego,CA,-2828,https://www.jelmar.com,https://www.linkedin.com/company/clr-brands/,No Fit,,,rust remover tablets,80,Known for cleaning products but not specifically rust remover tablets.,,,,,
Rust Buster,Benton Harbor,MI,-2194,https://www.rustbuster.com,,Both,,,rust remover tablets,70,Offers rust removal products and may engage in R&D.,,,,,
Metal Rescue,Mason,OH,-1725,https://www.cleanmetal.com,,Scientific,,,rust remover tablets,75,Specializes in rust removal solutions and likely has R&D capabilities.,,,,,
Rust-Oleum Industrial,Vernon Hills,IL,-8913,https://www.rustoleum.com,,No Fit,,,rust remover tablets,80,Focuses on industrial coatings rather than rust remover tablets.,,,,,
Klean-Strip,Columbus,OH,-3709,https://www.kleanstrip.com,https://www.linkedin.com/company/klean-strip/,No Fit,,,rust remover tablets,85,Known for paint strippers and removers but not specifically rust remover tablets.,,,,,
Rust Check,Toronto,ON,-2594,https://www.rustcheck.com,https://www.linkedin.com/company/rust-check/,Both,,,rust remover tablets,80,Offers rust prevention and removal solutions along with potential R&D.,,,,,
Zep Inc.,Atlanta,GA,-9220,https://www.zep.com,https://www.linkedin.com/company/zep-inc/,No Fit,,,rust remover tablets,85,"Primarily focused on cleaning and maintenance products, not rust remover tablets.",,,,,
Cleansing Products,Hicksville,NY,-4450,https://www.cleansingproducts.com,,No Fit,,,rust remover tablets,75,"Focuses on various cleaning products, not specifically rust remover tablets.",,,,,
Rust Remover Pro,Los Angeles,CA,-1063,https://www.rustremoverpro.com,,Both,,,rust remover tablets,70,Engages in rust removal solutions with potential for R&D.,,,,,
Rust Away,Dallas,TX,-891,https://www.rustaway.com,,Both,,,rust remover tablets,70,Offers rust removal products and has R&D capabilities.,,,,,
Green Roads,Deerfield Beach,FL,-1383,https://www.greenroads.com,https://www.linkedin.com/company/green-roads,Both,,,cbd tablet manufacturing,90,They manufacture CBD tablets and engage in formulation and R&D.,,,,,
Charlotte's Web,Louisville,CO,-1863,https://www.charlottesweb.com,https://www.linkedin.com/company/charlottes-web,Both,,,cbd tablet manufacturing,88,"Known for their CBD products, including tablets, with a focus on R&D.",,,,,
CBDistillery,Denver,CO,-6027,https://www.thecbdistillery.com,https://www.linkedin.com/company/cbdistillery,Both,,,cbd tablet manufacturing,85,Produces CBD tablets and is involved in product development.,,,,,
Medterra,Irvine,CA,-3988,https://www.medterracbd.com,https://www.linkedin.com/company/medterra-cbd,Both,,,cbd tablet manufacturing,87,Manufactures CBD tablets and invests in R&D for formulations.,,,,,
PureKana,Scottsdale,AZ,-9225,https://www.purekana.com,https://www.linkedin.com/company/purekana,Both,,,cbd tablet manufacturing,84,Offers CBD tablets and engages in product formulation.,,,,,
Joy Organics,Fort Collins,CO,-1863,https://www.joyorganics.com,https://www.linkedin.com/company/joy-organics,Both,,,cbd tablet manufacturing,86,Manufactures CBD tablets with a focus on organic formulations.,,,,,
NuLeaf Naturals,Denver,CO,-6575,https://nuleafnaturals.com,https://www.linkedin.com/company/nuleaf-naturals,No Fit,,,cbd tablet manufacturing,75,"Focuses primarily on oils and tinctures, minimal tablet products.",,,,,
Hemp Bombs,Tampa,FL,-1873,https://www.hempbombs.com,https://www.linkedin.com/company/hemp-bombs,Both,,,cbd tablet manufacturing,82,Offers a range of CBD products including tablets and focuses on R&D.,,,,,
Elixinol,Denver,CO,-3067,https://elixinol.com,https://www.linkedin.com/company/elixinol,Both,,,cbd tablet manufacturing,89,Manufactures CBD tablets and conducts extensive product research.,,,,,
Royal CBD,Los Angeles,CA,-3093,https://royalcbd.com,https://www.linkedin.com/company/royal-cbd,Both,,,cbd tablet manufacturing,81,Produces CBD tablets and invests in formulation development.,,,,,
Binoid CBD,Los Angeles,CA,-2009,https://binoidcbd.com,https://www.linkedin.com/company/binoid,Both,,,cbd tablet manufacturing,80,Offers tablets and engages in product formulation.,,,,,
Koi CBD,Norwalk,CA,-6651,https://koicbd.com,https://www.linkedin.com/company/koi-cbd,Both,,,cbd tablet manufacturing,83,Manufactures CBD tablets and focuses on product development.,,,,,
FAB CBD,Scottsdale,AZ,-4533,https://fabcbd.com,https://www.linkedin.com/company/fabcbd,Both,,,cbd tablet manufacturing,78,Produces CBD tablets and engages in R&D for formulations.,,,,,
Just CBD,Fort Lauderdale,FL,-2522,https://justcbdstore.com,https://www.linkedin.com/company/just-cbd,Both,,,cbd tablet manufacturing,76,Offers a variety of CBD products including tablets.,,,,,
CBDfx,Los Angeles,CA,#NAME?,https://cbdfx.com,https://www.linkedin.com/company/cbdfx,Both,,,cbd tablet manufacturing,85,Manufactures CBD tablets and focuses on product innovation.,,,,,
Veritas Farms,Pueblo,CO,-3790,https://veritasfarms.com,https://www.linkedin.com/company/veritas-farms,Both,,,cbd tablet manufacturing,82,Offers CBD tablets and is involved in formulation and R&D.,,,,,
CannaCraft,Santa Rosa,CA,-3161,https://www.cannacraft.com,https://www.linkedin.com/company/cannacraft,Both,,,cbd tablet manufacturing,79,Manufactures CBD products including tablets and engages in R&D.,,,,,
Lifted Made,Omaha,NE,-3243,https://liftedmade.com,https://www.linkedin.com/company/liftedmade,Both,,,cbd tablet manufacturing,77,Produces CBD tablets and focuses on product formulation.,,,,,
Herbalife Nutrition Ltd.,Los Angeles,CA,-10319,https://www.herbalife.com,https://www.linkedin.com/company/herbalife/,Both,,,herbal supplement tablets,90,Engaged in R&D and manufacturing of herbal supplements.,,,,,
"Nature's Way Products, LLC",Green Bay,WI,-3854,https://www.naturesway.com,https://www.linkedin.com/company/nature's-way-products-llc/,Both,,,herbal supplement tablets,85,Involved in formulation and manufacturing of herbal supplements.,,,,,
NOW Foods,Bloomingdale,IL,-10272,https://www.nowfoods.com,https://www.linkedin.com/company/now-foods/,Both,,,herbal supplement tablets,88,Active in both R&D and manufacturing of health products.,,,,,
"Garden of Life, LLC",Palm Beach Gardens,FL,-1535,https://www.gardenoflife.com,https://www.linkedin.com/company/garden-of-life/,Both,,,herbal supplement tablets,87,Focus on herbal supplements and product development.,,,,,
"NutraBio Labs, Inc.",Old Bridge,NJ,-3004,https://www.nutrabio.com,https://www.linkedin.com/company/nutrabio-labs-inc/,Both,,,herbal supplement tablets,84,Combines R&D with the manufacturing of herbal products.,,,,,
"Thorne Research, Inc.",Dover,ID,-2993,https://www.thorne.com,https://www.linkedin.com/company/thorne-research/,Both,,,herbal supplement tablets,86,Engaged in formulation and production of herbal supplements.,,,,,
Solgar Inc.,Leonia,NJ,-8394,https://www.solgar.com,https://www.linkedin.com/company/solgar/,Both,,,herbal supplement tablets,90,Involves in both R&D and manufacturing of herbal supplements.,,,,,
"Nature's Bounty, Inc.",Ronkonkoma,NY,-4222,https://www.naturesbounty.com,https://www.linkedin.com/company/nature's-bounty/,Both,,,herbal supplement tablets,89,Focus on herbal supplement formulation and manufacturing.,,,,,
Herb Pharm,"Williams, Oregon",OR,-8886,https://www.herb-pharm.com,https://www.linkedin.com/company/herb-pharm/,Both,,,herbal supplement tablets,85,Specializes in the production and formulation of herbal products.,,,,,
Solaray,Salt Lake City,UT,-1973,https://www.solaray.com,https://www.linkedin.com/company/solaray/,Both,,,herbal supplement tablets,87,Involved in R&D and manufacturing of herbal supplements.,,,,,
Gaia Herbs,Brevard,NC,-9351,https://www.gaiaherbs.com,https://www.linkedin.com/company/gaia-herbs/,Both,,,herbal supplement tablets,88,Combines herbal product formulation and manufacturing.,,,,,
Herbal Remedies Inc.,West Palm Beach,FL,-5446,https://www.herbalremedies.com,https://www.linkedin.com/company/herbal-remedies-inc/,No Fit,,,herbal supplement tablets,80,Focuses mainly on distribution rather than manufacturing.,,,,,
Banyan Botanicals,Ashland,OR,-8875,https://www.banyanbotanicals.com,https://www.linkedin.com/company/banyan-botanicals/,Both,,,herbal supplement tablets,85,Engaged in R&D and manufacturing of Ayurvedic herbal supplements.,,,,,
"New Chapter, Inc.",Brattleboro,VT,-7543,https://www.newchapter.com,https://www.linkedin.com/company/new-chapter-inc/,Both,,,herbal supplement tablets,86,Active in formulation and manufacturing of herbal products.,,,,,
"Herbalife International of America, Inc.",Los Angeles,CA,-10319,https://www.herbalife.com,https://www.linkedin.com/company/herbalife/,Both,,,herbal supplement tablets,90,Focus on R&D and manufacturing of dietary supplements.,,,,,
Vital Nutrients,Wallingford,CT,-6284,https://www.vitalnutrients.net,https://www.linkedin.com/company/vital-nutrients/,Both,,,herbal supplement tablets,82,Engaged in the formulation and manufacturing of supplements.,,,,,
"Eden Foods, Inc.",Clinton,MI,-1367,https://www.edenfoods.com,https://www.linkedin.com/company/eden-foods-inc/,Scientific,,,herbal supplement tablets,81,Focuses on organic and herbal product formulation.,,,,,
Nutraceutical Corporation,Park City,UT,-9928,https://www.nutraceutical.com,https://www.linkedin.com/company/nutraceutical-corporation/,Both,,,herbal supplement tablets,84,Combines R&D with the manufacturing of herbal supplements.,,,,,
Neurohacker Collective,Austin,TX,-10366,https://neurohacker.com,https://www.linkedin.com/company/neurohacker-collective,Both,,,nootropic tablet manufacturing,90,Involved in both formulation and manufacturing of nootropic products.,,,,,
Nootrobox,San Francisco,CA,-1168,https://www.nootrobox.com,https://www.linkedin.com/company/nootrobox,Scientific,,,nootropic tablet manufacturing,85,Focuses on formulation and development of nootropic supplements.,,,,,
HVMN,San Francisco,CA,-1092,https://hvmn.com,https://www.linkedin.com/company/hvmn,Both,,,nootropic tablet manufacturing,88,Combines R&D with manufacturing of cognitive-enhancing products.,,,,,
Mind Lab Pro,Los Angeles,CA,-1054,https://www.mindlabpro.com,,Scientific,,,nootropic tablet manufacturing,80,Focuses on R&D for nootropic formulations.,,,,,
Alpha Brain,Austin,TX,-1211,https://www.onnit.com/alpha-brain/,https://www.linkedin.com/company/onnit,Both,,,nootropic tablet manufacturing,90,Engages in both formulation and manufacturing of nootropic supplements.,,,,,
Nootropic Depot,Tucson,AZ,-1272,https://nootropicdepot.com,,Scientific,,,nootropic tablet manufacturing,85,Focus on sourcing and formulating nootropic compounds.,,,,,
Qualia,Austin,TX,-1078,https://neurohacker.com/qualia,https://www.linkedin.com/company/neurohacker-collective,Both,,,nootropic tablet manufacturing,90,Combines formulation with manufacturing of cognitive enhancement products.,,,,,
Cognitune,San Diego,CA,-1253,https://www.cognitune.com,,Scientific,,,nootropic tablet manufacturing,80,Focuses on research and formulation of nootropic products.,,,,,
Nootropics.com,New York,NY,-889,https://nootropics.com,,Scientific,,,nootropic tablet manufacturing,75,Specializes in sourcing and providing nootropic supplements.,,,,,
Opti-Nutra,London,ENG,-6888,https://www.opti-nutra.com,https://www.linkedin.com/company/opti-nutra,Both,,,nootropic tablet manufacturing,85,Involved in both R&D and manufacturing of cognitive enhancers.,,,,,
Nootropics Lab,San Francisco,CA,-1149,https://nootropicslab.com,,Scientific,,,nootropic tablet manufacturing,78,Research-focused company in nootropic development.,,,,,
Genius Brand,Los Angeles,CA,-1025,https://www.geniusbrand.com,https://www.linkedin.com/company/genius-brand,Both,,,nootropic tablet manufacturing,88,Combines scientific formulation with manufacturing capabilities.,,,,,
BrainMD,Los Angeles,CA,-954,https://brainmd.com,https://www.linkedin.com/company/brainmd,Both,,,nootropic tablet manufacturing,90,Focuses on both formulation and nootropic manufacturing.,,,,,
