Company Name,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Annual Revenue,SIC Codes,NAICS Codes,Founded Year,Subsidiary of,Tier_Engineering,Tier_Scientific,Why_Fit
vivo,1100,electrical/electronic manufacturing,,http://www.linkedin.com/company/ini-international,https://facebook.com/Anker.fans/,https://twitter.com/ankerofficial,,Guangzhou,,China,510170,"Guangzhou, China, 510170","consumer immersion, communication strategies, brand orientation, product orientation, channel & shopper research, graphic design, advertising, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",'+44 160 493 6200,462000000,1731,33411,2011,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Strix Group plc,1000,electrical/electronic manufacturing,http://www.strixplc.com,http://www.linkedin.com/company/strix-group-plc-ketl,,https://twitter.com/strixplc,,Ballasalla,Malew,Isle of Man,IM9 2,"Ballasalla, Malew, Isle of Man, IM9 2","design, manufacture & supply of kettle safety controls, water heating & temperature control, steam management, water filtration, computers & electronics manufacturing, sustainable innovation, kettle safety controls, temperature controls, water conservation, manufacturing, safety by design, sustainable water solutions, sustainability, iso standards compliance, water temperature management, water filtration innovation, water filtration technologies, water purification patents, appliance safety testing, water control components, water safety controls, consumer electronics, advanced water filtration, water quality standards, safety standards, appliance components, b2b, metal valve manufacturing, distribution, large-scale water purification, water quality improvement, water purification, supply chain management, water management solutions, product development, international safety standards, innovation, customer service, water safety technology, product safety, eco-friendly water products, water quality, controls engineering, safety controls, energy efficiency, water purification products, services, water filtration systems, e-commerce, electrical/electronic manufacturing, mechanical or industrial engineering, environmental services, renewables & environment, consumers, hardware, logistics & supply chain, consumer internet, internet, information technology & services",'+44 162 482 9829,177981000,3631,33324,1951,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Microtex Energy Private Limited,64,electrical/electronic manufacturing,http://www.microtexindia.com,http://www.linkedin.com/company/microtex-energy-private-limited,,,42-43 2nd Main Road,Bengaluru,Karnataka,India,560058,"42-43 2nd Main Road, Bengaluru, Karnataka, India, 560058","industrial batteries, traction battery, tubular gel battery, vrla battery, opzs battery, opzv battery, stationary cells, automotive battery, erickshaw battery, inverter battery, golf cart batteries, forklift batteries, 2v flooded battery, solar battery, ev battery, diesel loco battery, signaling battery, train lighting battery, mining locomotive battery, appliances, electrical, & electronics manufacturing, railway batteries, battery quality assurance, battery assembly, lead alloy development, custom battery solutions, battery testing, energy & utilities, industrial power backup batteries, battery quality control, renewable energy storage batteries, b2b, battery components, high energy density batteries, battery innovation, gel batteries, vrla batteries, e-commerce, lead-acid batteries, global battery export, custom battery design for railways, solar battery solutions, waste recycling, distribution, sustainable batteries, battery research and development, patented pt bags, battery manufacturing, traction batteries, high durability batteries, battery export, in-house component manufacturing, railway, biodegradable packaging, renewable energy, state-of-the-art manufacturing, battery performance optimization, advanced battery technology, battery recycling programs, opzs batteries, flooded batteries, green manufacturing practices, battery testing facilities, long life lead-acid batteries, manufacturing, battery maintenance, battery for nuclear industry, environmental sustainability, large capacity traction batteries, opzv batteries, industrial equipment, customer satisfaction, environmentally friendly batteries, battery safety standards, battery design, government, green energy storage, sustainability, automotive lead-acid batteries, raw material sourcing, non-profit, energy&utilities, electrical/electronic manufacturing, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services, clean energy & technology, environmental services, renewables & environment, nonprofit organization management",'+91 96864 48899,,3691,33591,1969,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Zunax Energy Product LLP,160,electrical/electronic manufacturing,http://www.zunax.in,http://www.linkedin.com/company/zunax-energy-private-limited,https://www.facebook.com/zunaxbatteries,,,Zahirabad,Telangana,India,502220,"Zahirabad, Telangana, India, 502220","appliances, electrical, & electronics manufacturing, global energy projects, pv industry experience, power backup, b2b, energy innovation, hydropower efficiency, battery solutions, wind energy yield enhancement, solar industry expertise, distribution, off-grid solar solutions, hydropower technology, battery technology, industrial batteries, energy independence, sustainable energy, wind turbines, manufacturing, wind energy, solar energy, renewable energy financing, solar module efficiency, battery materials, hydropower, sustainable power solutions, high-performance batteries, solar energy performance, advanced lead acid batteries, wind turbine technology, energy project sourcing, high capacity batteries, vrla batteries, electric vehicles, cost-effective energy, ups and inverters, self-sustainable energy, traction batteries, energy transition, energy consulting, clean energy technology, automotive batteries, hydropower project sourcing, hydropower plants, mono n-type silicon, fossil resource transition, energy system maintenance, environmentally friendly batteries, energy efficiency, energy & utilities, energy solutions, solar energy solutions, low self-discharge batteries, fossil fuel alternatives, charge controllers, services, battery manufacturing, wind energy innovation, long-lasting batteries, maintenance-free batteries, solar panels, power storage, power system integration, energy system design, solar project supply chain, wind energy project sourcing, solar material financing, solar supply chain, factory charged batteries, energy system installation, energy storage systems, battery recycling, energy project management, renewable energy, power grid support, off-grid energy, lead acid batteries, energy infrastructure, solar material sourcing, reliable energy systems, wind energy challenges, energy storage, fossil resources, solar energy yield optimization, solar programs, renewable energy systems, electrical/electronic manufacturing, mechanical or industrial engineering, clean energy & technology, environmental services, renewables & environment, oil & energy",,10000000000,3691,33591,2018,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Exide Group,1100,electrical/electronic manufacturing,http://www.exidegroup.com,http://www.linkedin.com/company/exidegroup,,,5 Allee des Pierres-Mayettes,Gennevilliers,Ile-de-France,France,92230,"5 Allee des Pierres-Mayettes, Gennevilliers, Ile-de-France, France, 92230","appliances, electrical, & electronics manufacturing, battery integration, energy solutions, battery efficiency, battery r&d, automotive batteries, ups systems, defense & aerospace, compliance, services, battery innovation, battery distribution, off-grid energy storage, start-stop agm batteries, battery life cycle, industrial batteries, energy storage, energy storage systems, battery management systems, battery monitoring, military-grade batteries, battery safety, military batteries, lithium-ion batteries, power management, lead-acid batteries, battery manufacturing, battery technology, power solutions, renewable energy, automotive, battery reliability, remote power solutions, renewable energy integration, battery applications, government, battery performance, marine batteries, power backup, renewable energy solutions, battery testing, high vibration batteries, electric vehicles, logistics, advanced batteries, b2b, battery design, marine applications batteries, innovation, submarine batteries, battery systems, battery solutions, lithium-ion technology, lead agm technology, battery management, uninterruptible power supply, ups solutions, telecom energy solutions, battery charging solutions, material handling batteries, forklift batteries, very narrow aisle truck batteries, pallet truck batteries, ground support equipment batteries, electric wheelchair batteries, energy management systems, renewable energy storage, battery energy storage systems, customized energy systems, smart energy solutions, sustainable energy storage, data center energy solutions, railway batteries, oil and gas energy solutions, heavy duty batteries, powersport batteries, lawn and garden batteries, golf cart batteries, charging systems, energy independence, high-power battery solutions, tco optimization, battery finder tool, emergency energy solutions, security and backup systems, efficiency and reliability, electric utility solutions, mobility solutions, energy generation and trading, battery technology innovations, forklift electrification solutions, data backup solutions, battery cycling, power optimization solutions, dynamic automotive solutions, battery performance analytics, battery life extension, e-commerce, manufacturing, distribution, energy & utilities, electrical/electronic manufacturing, mechanical or industrial engineering, defense & space, oil & energy, clean energy & technology, environmental services, renewables & environment, consumer internet, consumers, internet, information technology & services",'+47 22 07 47 77,465100000,3691,33591,,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
QH Technology-LiFePO4 Battery,130,electrical/electronic manufacturing,http://www.lifepo4-energy.com,http://www.linkedin.com/company/qhtechnology,,,,Guangzhou,Guangdong Province,China,511450,"Guangzhou, Guangdong Province, China, 511450","portable backup outdoor power station, 384v high voltage battery, golf cart battery, agv battery, solar energy storage battery, electric boat battery, all in one lithium battery battery packs, leadacid battery replacement, powerwall battery, solar inverter, battery pack, 192v high voltage battery, 15kwh solar energy storage system, lifepo4 batteries, 12kwh solar energy storage system, forklift battery, lithium polymer battery, lithium iron phosphate battery, rack mount battery cabinet, 32v lithium battery cell, 10kwh solar energy storage system, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",,500000,,,2010,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
SAMSUNG SDI Europe GmbH,81,electrical/electronic manufacturing,http://www.samsungsdieurope.com,http://www.linkedin.com/company/samsung-sdi-eu,,,,Ismaning,Bavaria,Germany,,"Ismaning, Bavaria, Germany","battery technology, battery manufacturing, ev, phev, energy storage system, smallsized battery, green energy, appliances, electrical, & electronics manufacturing, digital transformation, wearable device batteries, electronic materials, automotive batteries, battery r&d, flexible batteries, lithium-ion batteries, sustainable energy solutions, innovation, energy & utilities, non-it batteries, electric tools batteries, battery design, automotive industry, advanced materials, e-mobility, fast charging batteries, supply chain, battery lifecycle management, display materials, tablet batteries, market leadership, b2b, manufacturing, oled materials, high reliability batteries, electric vehicle batteries, high energy density, supply chain management, small-sized batteries, high-efficiency batteries, eco-friendly energy solutions, product development, energy storage, battery safety, transportation & logistics, super-gap technology, global battery market, non-automotive ev batteries, rechargeable batteries, sustainable development, energy efficiency, customized battery solutions, high-capacity batteries, energy storage systems, semiconductor materials, customer-specific solutions, battery supply chain, battery quality control, battery innovation, sustainability, battery for smart devices, iot batteries, renewable energy, battery safety standards, renewable energy integration, services, smartphones batteries, fast charging technology, distribution, transportation_and_logistics, energy_and_utilities, electrical/electronic manufacturing, mechanical or industrial engineering, material science, logistics & supply chain, oil & energy, environmental services, renewables & environment, clean energy & technology",,,3691,33591,2012,Samsung SDI,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Triathlon Batterien GmbH,68,electrical/electronic manufacturing,http://www.triathlon-batterien.de,http://www.linkedin.com/company/triathlon-batterien-gmbh,,https://twitter.com/TRIATHLON_Group,1 Siemensstrasse,Glauchau,Sachsen,Germany,8371,"1 Siemensstrasse, Glauchau, Sachsen, Germany, 08371","appliances, electrical, & electronics manufacturing, industrial battery systems, lead-acid batteries, lithium-ion batteries, motive power batteries, heavy-duty applications, multi-shift operations, energy storage solutions, electric forklifts, intralogistics, high-performance batteries, resource-saving production, customer satisfaction, quality assurance, innovative technology, global reach, strategic partnerships, safety components, charging systems, ups solutions, b2b clients, electrical manufacturing, sustainable practices, technical support, industrial vehicles, battery technology, performance endurance, customer-centric approach, lithium-ion technology, battery solutions, battery management systems, battery testing, battery reliability, industrial energy storage, battery for forklifts, battery production, battery development, battery for heavy machinery, battery safety, tailored battery solutions, distribution, battery quality control, german engineering, manufacturing, erp system, b2b, battery quality, battery automation, industrial batteries, battery durability, custom batteries, battery manufacturing, automated warehouse logistics, smart battery monitoring, high capacity batteries, long-lasting batteries, energy management, battery service, energy storage, battery service and support, battery certification, resource-efficient production, heavy-duty batteries, industry 4.0 in batteries, battery for industrial vehicles, energy storage systems, sustainable battery production, battery rental, fast charging batteries, custom battery solutions, battery lifecycle management, automated logistics, multi-shift batteries, services, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy",'+49 3763 77850,,3691,33591,2014,SUNLIGHT VSD LTD (the-sunlight-group.com),Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
AllWatt,500,electrical/electronic manufacturing,http://www.allwatt.de,http://www.linkedin.com/company/allwatt,,,,Itzehoe,Schleswig-Holstein,Germany,,"Itzehoe, Schleswig-Holstein, Germany","herstellung von hochleistungsbatterien, turnkeyspeichersysteme, hard und software batterieentwicklung, blechverarbeitung, stationaere batteriespeicherloesungen, appliances, electrical, & electronics manufacturing, netzstabilisierung, energieunabhängigkeit, services, modulares design, construction, battery manufacturing, energieeffizienz, kundenspezifische module, energy storage, langzeitzyklen, einsatz in abgelegenen gebieten, skalierbare energiespeicher, hochautomatisierte produktion, smart bms, batteriesysteme, hybridlösungen, automatisierte fertigung, distribution, notstromversorgung, if design award 2025, hochleistungsspeicher, b2b, energieoptimierung, energie-management-systeme, renewable energy, wetterfest, manufacturing, prototypenfertigung für module, energy efficiency, stationäre energiespeicher, sicherheitszertifizierung, schutz vor thermischen risiken, langlebige zelltechnologie, zyklenfestigkeit, made in germany, energiespeicherlösungen, mobile energiesysteme, bidirektionales laden, co2-reduktion, flexibles zellverbinder-system, wartungsarm, industrial equipment, kundenspezifische folierung, hybrid- und peak-shaving-anwendungen, schnellladefähigkeit, microgrid, lithium-ionen-batterien, integration erneuerbarer energien, nachhaltige batteriesysteme, sicherheitsmanagement, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy, clean energy & technology, environmental services, renewables & environment",'+49 703 3466170,0,3621,33591,2004,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Olin,7700,chemicals,http://www.olin.com,http://www.linkedin.com/company/olin-corporation,,https://twitter.com/olincareers,190 Carondelet Plaza,Clayton,Missouri,United States,63105,"190 Carondelet Plaza, Clayton, Missouri, United States, 63105","chemicals, manufacturing, ammunition, basic industries, chemical manufacturing, b2b, industrial logistics, safety standards, defense manufacturing logistics, metals industry, metal products, chemical resource management, metal alloy manufacturing, chemical innovation, chemical company, epoxy, firearm ammunition, chemical process automation, global chemical markets, metal alloy precision manufacturing, epoxy for construction, ammunition market, chemical processing, product stewardship, logistics, metal fabrication for defense, regulatory compliance, safety and compliance, ammunition manufacturing, industrial chemical innovation, metal alloy development, epoxy resin applications, chemical business, industrial chemical solutions, chemical safety standards, chemical process sustainability, chlorine, chemical plants, brass for aerospace, industrial chemicals, chlorinated organics manufacturing, defense and military supplies, brass alloy manufacturing, metal fabrication, logistics and distribution, industrial supply, other basic inorganic chemical manufacturing, product innovation, chemical resource efficiency, ammunition for sporting use, global supply chain, chlorinated organics, industrial chemical logistics, defense industry supplier, environmental stewardship, logistics network, chemical industry, logistics efficiency, firearms and ammunition supply chain, water treatment, retail, government, chemical solutions, high-performance metal alloys, metal supply chain, defense manufacturing, metal alloys, global manufacturing, chemical industry leadership, global operations, brass, metal manufacturing processes, chemical plant operations, chemical industry innovation, brass product innovation, brass component manufacturing, chemical industry supply chain, advanced manufacturing technology, industrial materials, chlorine and caustic soda production, defense products, services, chlor-alkali process, sustainable manufacturing practices, defense industry, environmental responsibility, epoxy materials, chemical production, caustic soda, chemical process optimization, metals, chemical process technology, small caliber ammunition, firearms accessories, sustainability, ammunition production, sustainable chemical solutions, chemical product development, chemical process engineering, chemical industry growth, brass products, sustainable manufacturing, chlor alkali, defense and security products, ammunition manufacturing technology, epoxy resin technology, epoxy composite materials, ammunition for law enforcement, chemical logistics, safety culture, vinyls, bleach, hydrochloric acid, chemical products, chlorine production, small arms ammunition, military ammunition, reloading components, industrial cartridges, corporate responsibility, sustainability initiatives, investor relations, financial reports, integrated supply chain, community involvement, employee engagement, workplace safety, research and development, product responsibility, global distribution, vinyl chloride monomer, chemical engineering, business governance, diversity and inclusion, u.s. college recruiting, shareholder services, stock dividends, market positioning, pb&l calculation, corporate ethics, safety protocols, business expansion, strategic acquisitions, cost management, environmental, health, and safety standards, innovation in chemicals, lithium-ion batteries, business growth strategies, education, distribution, mechanical or industrial engineering, environmental services, renewables & environment, research & development",'+1 844-238-3445,6549000000,2812,32518,1892,,Tier-1,Tier-2,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Powersafe Baterias Especiais,120,electrical/electronic manufacturing,http://www.powersafe.com.br,http://www.linkedin.com/company/powersafe,https://www.facebook.com/PowersafeBaterias,,Alameda Terracota,Sao Caetano do Sul,Sao Paulo,Brazil,09531-190,"Alameda Terracota, Sao Caetano do Sul, Sao Paulo, Brazil, 09531-190","baterias estacionarias ups baterias automotivas baterias seladas vrla energia condicionada, baterias ventiladas, baterias estacionarias, ups, baterias vrla freedom, bateria ev, energia condicionada, baterias seladas vrla, bateria ventilada, baterias automotivas, bateria em gel, baterias estacionarias freedom, bateria agm, baterias de alta performance optima, getpower baterias especiais, appliances, electrical, & electronics manufacturing, certified batteries, agm vs gel comparison, industrial batteries, battery safety, consulting, baterias para telecomunicações, micro-porous separators, gel batteries, services, solar energy batteries, vrla, energy storage, baterias estacionárias, telecom batteries, powerframe technology, lead-acid batteries, opzv and opzs batteries, batteries for high temperature, battery maintenance, reliable energy storage, homologated by anatel, batteries for electric vehicles, batteries for data centers, agm technology, baterias de lítio, stationary batteries, high temperature resistant batteries, renewable energy equipment, b2b, long lifespan batteries, baterias de ciclo profundo, energy efficiency, carbon additive batteries, lithium batteries, low resistance internal batteries, low self-discharge batteries, e-commerce, electrical equipment manufacturing, baterias industriais, deep cycle batteries, vrla batteries, energia confiável, environmentally friendly batteries, backup power batteries, battery manufacturing, baterias vrla agm, batteries for critical systems, baterias para energia solar, industrial equipment & components, renewable energy, sistemas de backup, telecommunications equipment, healthcare, manufacturing, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy, environmental services, renewables & environment, consumer internet, consumers, internet, information technology & services, clean energy & technology, health care, health, wellness & fitness, hospital & health care",'+55 11 4227-2477,,3621,33591,2004,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Highpower International Inc.,160,electrical/electronic manufacturing,http://www.highpowertech.com,http://www.linkedin.com/company/highpower-international-inc.,,https://twitter.com/highpowerHPJ,68 Xinxia Avenue,Shenzhen Shi,Guangdong Sheng,China,523702,"68 Xinxia Avenue, Shenzhen Shi, Guangdong Sheng, China, 523702","rechargeable batteries, battery solutions, clean energy, green technology, battery recycling, nimh batteries, lithium ion batteries, lithium polymer batteries, custom battery solutions, research & development, industrial machinery/components, appliances, electrical, & electronics manufacturing, liquid-cooled battery pack, battery management system, energy storage cell solutions, energy storage system, li-ion batteries, renewable energy, energy & utilities, battery for smart wearables, 314ah liquid-cooled battery pack, intelligent fault diagnosis in batteries, battery for medical devices, b2b, manufacturing, energy storage solutions, electronics manufacturing, energy storage, battery system integration, consumer electronics batteries, battery for uavs, ni-mh batteries, wide temperature batteries, high safety batteries, battery for portable devices, conflict-free metals in batteries, electrical equipment & components, modular energy storage systems, battery safety, battery recycling & re-utilization, energy storage systems, high-air-tight structural components, supply chain management, battery testing & verification, vehicle backup power, services, fast charge batteries, ai-based battery health management, battery r&d, high-temperature batteries, consumer electronics, battery manufacturing, smart energy storage, system integration, remote monitoring energy storage, battery for robotic cleaners, self-developed 314ah battery cell, custom battery design, solar street lamp batteries, advanced materials, high rate batteries, e-commerce, healthcare, energy, renewable_energy, energy_storage, battery_recycling, smart_energy, environmental services, renewables & environment, electrical/electronic manufacturing, mechanical or industrial engineering, clean energy & technology, oil & energy, logistics & supply chain, consumers, hardware, material science, consumer internet, internet, information technology & services, health care, health, wellness & fitness, hospital & health care",'+86 755 8968 6533,313145000,3694,33591,2001,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
"Shenzhen PKCELL Battery Co.,Ltd",68,electrical/electronic manufacturing,,http://www.linkedin.com/company/shenzhen-pkcell-battery-co-ltd,https://facebook.com/PkcellCompany,,Min Tang Lu,Shen Zhen Shi,Guang Dong Sheng,China,,"Min Tang Lu, Shen Zhen Shi, Guang Dong Sheng, China","batteries, chargers, power banks, consumer electronics, rechargeable batteries, primary batteries, lithium battery, lithium polymer battery, button cell battery, primary dry cell battery, computers & electronics manufacturing, smart home, retail, services, e-commerce, battery design and development, battery manufacturing, lithium batteries, alkaline batteries, energy storage, automated manufacturing, battery safety and reliability, green energy batteries, battery pack assembly, specialized energy solutions, oem/odm services, medical device batteries, low self-discharge batteries, battery solutions, distribution, quality certification, b2b, smart home batteries, portable power solutions, electronics, custom battery packs, medical devices, environmentally friendly batteries, manufacturing, rohs compliance, custom batteries, long cycle life, leak-proof technology, custom lithium packs, ce certification, supply chain logistics, long shelf life batteries, healthcare, battery r&d, energy storage batteries, un38.3 certification, battery production, disposable and rechargeable batteries, battery safety testing, high-drain device batteries, global export, industrial batteries, battery certification, transportation & logistics, power management batteries, high energy density, energy storage solutions, consumer_products_retail, transportation_logistics, energy_utilities, hardware, consumers, electrical/electronic manufacturing, mechanical or industrial engineering, internet of things, consumer internet, internet, information technology & services, oil & energy, computer hardware, hospital & health care, health care, health, wellness & fitness",'+86 755 3322 5299,105000000,3691,33591,2006,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Unionbat S.A.,150,chemicals,http://www.unionbat.com.ar,http://www.linkedin.com/company/unionbat-sa,https://www.facebook.com/UnionBat-SA-1594251937497270,,4669 Avenida Presidente Juan Domingo Peron,Buenos Aires,'-,Argentina,1653,"4669 Avenida Presidente Juan Domingo Peron, Buenos Aires, -, Argentina, 1653","chemical manufacturing, battery supplier, baterías willard, solar batteries, baterías de ciclo profundo, soluciones energéticas, battery innovation, baterías de alta potencia, lead-acid batteries, battery wholesale, renewable energy solutions, baterías de alta duración, b2b, industrial batteries, energy efficiency, solar panel batteries, energía solar, energy storage systems, energy solutions, automotive, automotive batteries, battery testing, baterías de plomo-ácido, baterías de automoción, battery supply chain, electric vehicle batteries, battery technology, battery performance testing, baterías de respaldo, baterías blindadas, automotive energy storage, battery manufacturing argentina, deep cycle batteries, solar battery systems, energy storage, baterías de ciclo profundo solar, baterías, battery certification, off-grid energy solutions, solar power batteries, battery maintenance, reciclaje de energía, battery sales network, battery retail, e-commerce, long life batteries, battery distributor, distribution, manufacturing, energy independence batteries, online shopping, recycling energy, solar energy, power backup, eco-friendly batteries, off-grid batteries, renewable energy, high capacity batteries, solar energy storage, energy, environmentally friendly batteries, batteries, battery manufacturing, baterías dynasty, baterías para autos, battery recycling programs, battery recycling, b2c, chemicals, environmental services, renewables & environment, oil & energy, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering, clean energy & technology, hardware",'+54 9 11 5263-5900,,3691,33591,1997,,Tier-1,Tier-2,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Okaya Power Group,1200,electrical/electronic manufacturing,http://www.okaya.in,http://www.linkedin.com/company/okayapowergroup,https://www.facebook.com/OkayaPower,https://twitter.com/OkayaPowerGroup,Rohtak RD,New Delhi,Delhi,India,110041,"Rohtak RD, New Delhi, Delhi, India, 110041","batteries, inverter batteries, smf batteries, solar batteries, erickshaw batteries, inverters, hardware, information technology, appliances, electrical, & electronics manufacturing, retail, consumer products & retail, customer service, battery manufacturing, advanced electrolyte management system, certified backup hours, sustainability, renewable energy, on-grid solar inverters, transportation & logistics, b2c, super jumbo tubular batteries, e-rickshaw batteries, advanced battery technology, construction & real estate, power backup systems, energy & utilities, manufacturing, b2b, e-commerce, ups systems, d2c, energy storage, in-house manufacturing, off-grid solar pcus, innovation, services, solar energy solutions, electric vehicles, solar rooftop solutions, quality assurance, government, solar inverters, energy efficiency, battery manufacturer, vrla batteries, e rickshaw batteries, home ups, hi-capacity ups, power backup solutions, eco-friendly batteries, reliable power solutions, long-lasting batteries, high performance batteries, battery technology, energy solutions, power storage, durable battery design, advanced tubular technology, fast recharge batteries, spill-free maintenance, certified backup hour, battery warranty, automotive batteries, industrial batteries, renewable energy solutions, battery life enhancement, maintenance-free batteries, customer support, innovative battery design, iso certified manufacturing, battery capacity, low maintenance batteries, environmentally sustainable, customizable power solutions, battery performance optimization, rugged body design, dealer network, international business expansion, cutting-edge technology, experienced leadership team, state-of-the-art plants, battery storage solutions, lithium batteries, eco-conscious design, trusted partner, after-sale services, customer testimonials, technical support, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, environmental services, renewables & environment, clean energy & technology, consumer internet, consumers, internet, information technology & services, oil & energy",'+91 93131 41414,386900000,3621,33591,2002,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Kung Long Batteries Industrial Co Ltd,3900,electrical/electronic manufacturing,http://www.klb.com.tw,http://www.linkedin.com/company/kung-long-batteries-industrial-co-ltd,,,,,,Taiwan,,Taiwan,"appliances, electrical, & electronics manufacturing, lithium battery, power management systems, smart battery management, esg, iso certifications, energy sector, battery safety standards, energy efficiency, energy storage & power systems, global presence, energy storage, battery manufacturing, power systems integration, environmental sustainability, services, battery management, energy management, power backup, vrla battery for telecom, b2b, industrial batteries, battery testing and certification, energy storage solutions, high cycle life batteries, lithium-ion for evs, battery solutions, green energy, battery technology, industrial applications, agm for renewable energy, ups system, renewable energy, battery innovation, industrial equipment & components, energy storage for grid, electrical equipment manufacturing, battery supply chain, power supply systems, vrla battery, power solutions, battery recycling, agm battery, energy infrastructure, renewable energy support, ups for data centers, battery distribution, manufacturing, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, environmental services, renewables & environment, oil & energy, clean energy & technology",'+886 4 9225 4777,247840000,3621,33591,1990,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Nichicon (America) Corporation,5400,electrical/electronic manufacturing,http://www.nichicon.com,http://www.linkedin.com/company/nichicon-america,,,927 E State Pkwy,Schaumburg,Illinois,United States,60173,"927 E State Pkwy, Schaumburg, Illinois, United States, 60173","capacitors, ev charging stations, aluminum electrolytic capacitors, electronic components, lto batteries, appliances, electrical, & electronics manufacturing, iot applications, automotive electronics, chip aluminum electrolytic capacitors, semiconductor and other electronic component manufacturing, film capacitors, electrical components manufacturing, lithium titanate batteries, energy storage, energy harvesting, noise filter capacitors, conductive polymer hybrid capacitors, energy storage & battery manufacturing, low esr capacitors, rechargeable batteries, dc link capacitors, environmentally responsible batteries, advanced capacitor technology, long lifespan capacitors, wireless sensors, high-frequency characteristics capacitors, pulsed discharge capacitors, high-performance components, high reliability, custom capacitor solutions, rfid, vehicle-to-home systems, automotive capacitors, self-healing film capacitors, smart pallet, power management, film capacitor modules, power supply capacitors, space-constrained batteries, high ripple current, b2b, manufacturing, energy & utilities, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy",,1176411000,3671,33441,1970,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
