Company Name,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Annual Revenue,SIC Codes,NAICS Codes,Founded Year,Subsidiary of
Ion Storage Systems,57,semiconductors,http://www.ionstoragesystems.com,http://www.linkedin.com/company/ion-storage-systems,https://facebook.com/IonStorageSystems/,https://twitter.com/Ion_Storage,12500 Baltimore Ave,Beltsville,Maryland,United States,20705-6306,"12500 Baltimore Ave, Beltsville, Maryland, United States, 20705-6306","renewable energy semiconductor manufacturing, battery integration, battery safety technology, battery for aerospace, battery safety certification, solid-state batteries, nonflammable battery, recyclable batteries, low-cost materials, energy, us military battery tech, battery performance testing, battery scalability, us-based battery manufacturing, ceramic separator, ceramic electrolyte, battery safety innovation, battery supply chain, consumer electronics, battery industry, battery innovation, battery cell stacking, high-voltage stability, battery cost reduction, self-discharge prevention, energy storage, end-of-life recyclability, extreme environment batteries, arpa-e funded batteries, battery cycle life, transportation & logistics, bi-layer cell design, battery safety, electric vehicle batteries, aerospace, no compression required, consumer electronics batteries, battery for defense applications, performance, battery manufacturing, ceramic architecture, high cycle life, battery for consumer electronics, battery materials, safety-enhanced batteries, government, multilayer cell design, solid electrolyte innovation, battery performance, cathode-agnostic architecture, battery thermal management, dendrite suppression, battery testing, li-metal anode, electric vehicles, manufacturing, energy efficiency, solid-state lithium metal batteries, energy dense anode, aerospace battery solutions, grid storage batteries, b2b, battery design, thermal stability, defense, next-generation energy storage, cathode compatibility, ceramic sponge structure, high energy density, scalable manufacturing, fast charging batteries, battery safety standards, solid-state battery, lithium metal anode, fast charging technology, energy density, nonflammable materials, safe battery design, grid storage solutions, low cost per kwh, ceramic structure, recyclable materials, ambient temperature performance, high voltage stability, anodeless battery, compressionless battery, dendrite growth prevention, custom cell design, extreme temperature operation, sustainable battery technology, military applications, patented battery technology, simple manufacturing processes, lightweight battery design, consumer safety, scalable production, integrated energy storage, innovative battery solutions, battery lifecycle management, investment in energy storage, arpa-e funding, advanced manufacturing, military-grade batteries, safety protocols, battery technology partnerships, electrochemical properties, innovative energy solutions, high-performance batteries, future battery technology, bi-layer battery design, next-generation batteries, energy storage systems, battery commercialization, industrial energy storage, lithium recycling, environmentally friendly battery technology, smart battery systems, energy transition technology, b2c, consumer products & retail, energy & utilities, semiconductors, hardware, consumers, oil & energy, clean energy & technology, environmental services, renewables & environment, mechanical or industrial engineering",'+1 301-405-8329,15700000,3691,33591,2019,
Okaya Power Group,1200,electrical/electronic manufacturing,http://www.okaya.in,http://www.linkedin.com/company/okayapowergroup,https://www.facebook.com/OkayaPower,https://twitter.com/OkayaPowerGroup,Rohtak RD,New Delhi,Delhi,India,110041,"Rohtak RD, New Delhi, Delhi, India, 110041","batteries, inverter batteries, smf batteries, solar batteries, erickshaw batteries, inverters, hardware, information technology, appliances, electrical, & electronics manufacturing, retail, consumer products & retail, customer service, battery manufacturing, advanced electrolyte management system, certified backup hours, sustainability, renewable energy, on-grid solar inverters, transportation & logistics, b2c, super jumbo tubular batteries, e-rickshaw batteries, advanced battery technology, construction & real estate, power backup systems, energy & utilities, manufacturing, b2b, e-commerce, ups systems, d2c, energy storage, in-house manufacturing, off-grid solar pcus, innovation, services, solar energy solutions, electric vehicles, solar rooftop solutions, quality assurance, government, solar inverters, energy efficiency, battery manufacturer, vrla batteries, e rickshaw batteries, home ups, hi-capacity ups, power backup solutions, eco-friendly batteries, reliable power solutions, long-lasting batteries, high performance batteries, battery technology, energy solutions, power storage, durable battery design, advanced tubular technology, fast recharge batteries, spill-free maintenance, certified backup hour, battery warranty, automotive batteries, industrial batteries, renewable energy solutions, battery life enhancement, maintenance-free batteries, customer support, innovative battery design, iso certified manufacturing, battery capacity, low maintenance batteries, environmentally sustainable, customizable power solutions, battery performance optimization, rugged body design, dealer network, international business expansion, cutting-edge technology, experienced leadership team, state-of-the-art plants, battery storage solutions, lithium batteries, eco-conscious design, trusted partner, after-sale services, customer testimonials, technical support, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, environmental services, renewables & environment, clean energy & technology, consumer internet, consumers, internet, information technology & services, oil & energy",'+91 93131 41414,386900000,3621,33591,2002,
Associated Battery Manufacturers EA (ABM Group),220,mechanical or industrial engineering,http://www.abmeastafrica.com,http://www.linkedin.com/company/associated-battery-manufacturers-abm-group,,,Kampala Rd,Nairobi,Nairobi,Kenya,,"Kampala Rd, Nairobi, Nairobi, Kenya","maintenance free batteries, lead acid batteries, solar panels, solar water heaters, power inverters, deep cycle batteries, power backup systems, industrial equipment, battery testing, industrial batteries, government, manufacturing, product reliability, regional market presence, reliable power solutions, solar batteries, battery grid casting, plastic injection molding, environmental standards, renewable energy storage, battery casing manufacturing, supply chain management, environmental sustainability, strategic partnerships, battery warranty programs, energy storage solutions, distribution, dry formed batteries, automated manufacturing, custom battery solutions, quality control, regional energy infrastructure, automotive, battery assembly automation, industrial applications, automotive industry, renewable energy, battery production, automotive batteries, iso 14001 certified, regional distribution network, battery performance testing, b2b, off-grid solar batteries, recycling lead and plastics, customer service, product innovation, sustainable energy, lead recycling, off-grid energy, environmental responsibility, battery formation process, iso 9001 certified, battery design, off-grid solar energy storage, custom oem battery solutions, advanced manufacturing technology, safety standards, battery manufacturing, lead smelting, automotive start-stop batteries, product quality assurance, market expansion, b2b partnerships, white label manufacturing, environmental services, mechanical or industrial engineering, logistics & supply chain, clean energy & technology, renewables & environment",'+254 722 206887,100000000,3694,33591,1963,
Peláez Hermanos S.A,180,automotive,http://www.pelaezhermanos.com,http://www.linkedin.com/company/pelaezhermanos,,,9 Carrera 32 17,Bogota,Bogota,Colombia,111611,"9 Carrera 32 17, Bogota, Bogota, Colombia, 111611","baterias para carro, autopartes, baterias willard, serviteca pelaez hermanos, motor vehicle manufacturing, distribution, battery tips, battery safety features, battery for passenger cars, battery safety tips, total electrolyte sealing, automotive parts, accessories, and tire retailers, battery warranty, automotive parts and accessories, battery replacement, transportation & logistics, automotive parts, sustainability, automotive batteries, battery collection, battery for light trucks, battery for specific vehicle models, car batteries, battery distribution, environmental responsibility in batteries, battery collection campaign, battery durability, vehicle maintenance, battery for commercial vehicles, retail, vehicle brands, battery online purchase, b2c, battery for suvs, battery sealing, battery for trucks, battery longevity, battery for different vehicle brands, battery guarantee, e-commerce, battery for colombian market, consumer products & retail, automotive, environmental services, renewables & environment, consumer internet, consumers, internet, information technology & services",,4600000,5099,42312,1927,
Zhejiang Hangke Technology Incorporated Company,3900,machinery,http://www.chr-group.net,http://www.linkedin.com/company/hangketech-inc,,,,Hangzhou,Zhejiang,China,,"Hangzhou, Zhejiang, China","mes, automation machinery manufacturing, intelligent factory solutions, factory automation, li-ion cell post-processing, battery system testing, industrial automation, cylindrical lithium-ion battery system, energy & utilities, battery testing systems, services, lithium-ion battery solutions, battery manufacturing, high-end equipment, logistics software, global service network, li-ion battery test system, energy storage solutions, battery logistics software, battery post-processing, b2b, distribution, polymer lithium-ion battery system, battery manufacturing equipment, battery system integration, manufacturing, li-ion battery systems, post-processing systems, prismatic lithium-ion battery system, mechanical or industrial engineering",,408416000,3699,33591,2011,
Hankook & Company ES America Corp.,130,automotive,,http://www.linkedin.com/company/hankookcompany,,,1325 International Blvd,Clarksville,Tennessee,United States,37040,"1325 International Blvd, Clarksville, Tennessee, United States, 37040","automotive batteries, marine, rv batteries, commercial batteries, oe, oes verified supplier, battery specialist, agm battery, efb battery, smf battery, motor vehicle manufacturing, e-commerce, battery r&d, high-performance batteries, battery technology innovation, x-frame grid technology, battery production, b2c, battery design, d2c, energy & utilities, advanced grid structure, deep discharge cycle, eco-friendly production, 6-valve system, leak-proof design, industrial batteries, battery durability, battery safety, thicker grid x-frame, battery technology, transportation & logistics, vibration resistance, battery performance, agm separator, distribution, vrla technology, long cycle life, b2b, automotive, lead acid batteries, industrial equipment, battery manufacturing, manufacturing, deep cycle batteries, battery capacity, carbon plus technology, sealed maintenance-free batteries, agm technology, carbon black technology, eco-friendly batteries, pressure relief system, battery lifespan, european cover design, services, homogeneous 4bs-particle structure, ultra micro fiber, battery safety features, fast charging, battery maintenance, transportation_logistics, energy_utilities, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",,,3691,33591,2017,
Microtek International Pvt  Ltd.,1800,consumer electronics,http://www.microtek.in,http://www.linkedin.com/company/microtekofficial,https://www.facebook.com/MicrotekOfficial,https://twitter.com/MicrotekOfcl,H-56,New Delhi,Delhi,India,110041,"H-56, New Delhi, Delhi, India, 110041","technology, solar power, solar energy, inverters, ups, stabilizers, innovations, energy, power, healthcare, wires & cables, circuits, microtek is a pioneer in the power back up industry in india that has provided brilliant innovations, health care, health, wellness & fitness, hospital & health care",'+91 72838 38383,22000000,,,1986,
Kung Long Batteries Industrial Co Ltd,3900,electrical/electronic manufacturing,http://www.klb.com.tw,http://www.linkedin.com/company/kung-long-batteries-industrial-co-ltd,,,,,,Taiwan,,Taiwan,"appliances, electrical, & electronics manufacturing, lithium battery, power management systems, smart battery management, esg, iso certifications, energy sector, battery safety standards, energy efficiency, energy storage & power systems, global presence, energy storage, battery manufacturing, power systems integration, environmental sustainability, services, battery management, energy management, power backup, vrla battery for telecom, b2b, industrial batteries, battery testing and certification, energy storage solutions, high cycle life batteries, lithium-ion for evs, battery solutions, green energy, battery technology, industrial applications, agm for renewable energy, ups system, renewable energy, battery innovation, industrial equipment & components, energy storage for grid, electrical equipment manufacturing, battery supply chain, power supply systems, vrla battery, power solutions, battery recycling, agm battery, energy infrastructure, renewable energy support, ups for data centers, battery distribution, manufacturing, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, environmental services, renewables & environment, oil & energy, clean energy & technology",'+886 4 9225 4777,247840000,3621,33591,1990,
Firefly Energies,270,construction,http://www.firefly-energies.com,http://www.linkedin.com/company/fireflyenergies,,,Rua do Monte,Vila Verde,Braga,Portugal,4730-325,"Rua do Monte, Vila Verde, Braga, Portugal, 4730-325","instalacao de aerogeradores, aplicacao de grout, bop civil, instalacao eletrica, manutencao e recuperacao de fundacoes, manutencao eletromecanica, protensao de torres eolicas de concreto, bop electrico, full bop, full bos, battery development, advanced battery r&d, renewable energy financing, battery corrosion reduction, battery corrosion prevention, solar support services, venture-backed batteries, web design, industrial batteries, solar education and guidance, solar energy systems, battery manufacturing, battery technology, responsive design, residential solar installation, energy efficiency, federal funding batteries, carbon-graphite battery technology, battery life extension, solar system design, battery technology r&d, advanced energy storage, caterpillar battery solutions, project management, customer engagement, solar project financing, sulfation prevention, residential solar, lead generation, solar installer network, military energy storage, military contracts, renewable energy, email marketing, advanced battery technology, solar financing, renewable energy adoption, battery r&d, digital advertising, energy storage systems, microcell carbon foam technology, heavy machinery batteries, solar project support, military energy solutions, energy storage for heavy machinery, energy conversion efficiency, solar financing options, solar project design and permitting, solar panel installation, industrial energy solutions, solar energy, conversion rate optimization, microcell carbon foam, software development, venture capital funding, military batteries, user experience, heavy equipment energy storage, graphic design, heavy equipment batteries, solar permits, caterpillar batteries, battery performance enhancement, carbon-graphite batteries, solar support, electric power generation, residential solar support, solar education, online presence, solar panels, industrial energy storage innovation, energy storage solutions, solar projects, energy management, energy storage, website development, digital marketing, sulfation reduction in batteries, solar installation, battery innovation, federal government support, seo optimization, e-commerce solutions, content management, brand development, social media integration, website maintenance, custom web applications, cms integration, mobile optimization, site analytics, ui/ux design, cloud hosting, website security, performance optimization, video integration, web hosting, digital strategy, web accessibility, site redesign, website analytics, search engine marketing, content strategy, traffic analysis, business websites, online branding, website performance, data-driven marketing, branding strategy, web traffic optimization, pay-per-click advertising, b2b, b2c, finance, education, manufacturing, consumer products & retail, energy & utilities, environmental services, renewables & environment, productivity, clean energy & technology, marketing & advertising, sales, information technology & services, ux, oil & energy, web development, consumer internet, consumers, internet, cloud computing, enterprise software, enterprises, computer software, marketing, sem, financial services, mechanical or industrial engineering",'+351 253 286 417,60000000,,,2008,
Generac,5400,environmental services,http://www.generac.com,http://www.linkedin.com/company/generac-power-systems,https://www.facebook.com/neuriohome,http://twitter.com/@NeurioHome,S45W29290 Wisconsin 59,Waukesha,Wisconsin,United States,53189,"S45W29290 Wisconsin 59, Waukesha, Wisconsin, United States, 53189","power generation, generators, pressure washers, industrial solutions, energy storage solutions, back up power, mobile products, inverters, portable power, power tools, clean energy, big data, internet of things, smart home, enterprise software, software, information technology, metal fabrications, consumer discretionary, electric power generation, residential generators, energy & utilities, generator installation, remote monitoring, generator awards, distribution, energy automation, solar battery storage, services, renewable energy microgrids, power system design, energy management, retail, construction & real estate, d2c, energy industry leader, energy system integration, energy system scalability, microgrid project support, energy infrastructure modernization, generator accessories, power management, energy system optimization tools, microgrid site analysis, generator automation, energy infrastructure, home backup systems, energy storage innovation, generator maintenance, energy modeling tools, manufacturing, pwrcell solar battery, energy efficiency, electrical equipment manufacturing, solar power, generator technology, power system reliability, bi-fuel engines, advanced power control, sustainable energy, power equipment, power system digitalization, energy ecosystem, energy ecosystem development, custom energy solutions, energy monitoring, industrial generators, microgrid control systems, fuel efficiency, microgrid controllers, government, power outage solutions, energy system integration services, backup power, energy solutions provider, portable generators, power system upgrades, power system innovation, pwrmicro inverter, smart home energy management, generator controls, solar inverter storage, microgrid solutions, advanced energy analytics, energy system automation, energy storage, energy market participation, power system optimization, energy project customization, industrial power systems, reliable power, renewable energy integration, energy market programs, consumer goods & retail, b2b, power system automation, automatic transfer switches, transportation & logistics, microgrid design and build, power resilience solutions, grid independence solutions, solar inverter, power grid support, b2c, energy system monitoring, energy storage systems, energy consulting, home standby generators, smart home energy, energy project management, energy resilience systems, energy resilience, energy solutions, fuel-powered generators, modular power systems, power generation equipment, e-commerce, generator remote control, energy management systems, power system integration, backup power solutions, emergency power systems, electric vehicle chargers, water pumps, reconditioned generators, natural gas generators, propane powered generators, energy technology solutions, mobile generators, home energy management, power outage preparedness, self-installable generators, commercial generators, industrial power solutions, sustainable energy solutions, decoupled energy sources, customer support services, outdoor generator options, power generation systems, multi-fuel generators, clean energy products, backup battery systems, renewable energy applications, electrical grid technologies, energy as a service, telemetry systems, energy-efficient power generation, mobile power solutions, home maintenance equipment, power restoration technology, green energy solutions, peak demand management, distributed energy resources, eco-friendly generators, emergency preparedness accessories, consumer products & retail, environmental services, renewables & environment, enterprises, computer software, information technology & services, consumers, oil & energy, mechanical or industrial engineering, electrical/electronic manufacturing, consumer internet, internet",'+1 888-436-3722,4348682000,3621,33531,1959,Generac International (generacinternational.com)
Heitkamp & Thumann Group,1800,machinery,http://www.ht-group.com,http://www.linkedin.com/company/heitkamp-thumann-group,,,4 Koenigsallee,Duesseldorf,North Rhine-Westphalia,Germany,40212,"4 Koenigsallee, Duesseldorf, North Rhine-Westphalia, Germany, 40212","components for consumer batteries, components for rechargeable batteries, pharmaceutical packaging, machinery, machinery manufacturing, energy & utilities, industrial components, metal forming, battery components, quality standards, precision formed components, b2b, product development, manufacturing, international presence, drug delivery devices, cylindrical battery cans, global manufacturing, metal pressings, sustainability, industrial manufacturing, healthcare, pharmaceutical manufacturing, precision components, family-owned business, decentralized structure, sustainable manufacturing, healthcare devices, high-volume metal parts, deep-drawing technology, industrial press manufacturing, precision metal forming, supply chain management, device manufacturing, services, metal pressings for mobility, innovation culture, pharmaceutical components, supply chain, continuous improvement, customized metal components, metal components, automotive parts, technological innovation, forging and stamping, alkaline battery components, transportation & logistics, automotive, strategic acquisitions, distribution, transportation_logistics, energy_utilities, mechanical or industrial engineering, environmental services, renewables & environment, health care, health, wellness & fitness, hospital & health care, pharmaceuticals, medical, logistics & supply chain",'+49 29 91980400,45000000,3599,33211,1978,
ETNA,620,semiconductors,http://www.etna.com.pe,http://www.linkedin.com/company/etnaperu,https://www.facebook.com/ETNA/,https://twitter.com/ETNA_oficial,501 Avenida El Pacifico,Independencia,Lima,Peru,15311,"501 Avenida El Pacifico, Independencia, Lima, Peru, 15311","energia & baterias, renewable energy semiconductor manufacturing, baterías de ciclo profundo, baterías para embarcaciones, productos de polipropileno para empresas, baterías para golf cart, renewable energy, energy & utilities, reciclaje ecológico, productos plásticos, baterías para vehículos con sistema start stop, manufacturing, b2b, energy storage, baterías marinas, distribution, soluciones de energía para comunidades aisladas, operational efficiency, normas iso 9001 y 14001, customer service, materia prima reciclada, baterías automotrices, recycling, logística inversa, soluciones energéticas, services, producción sostenible, battery manufacturing, plásticos inyectados, electric vehicles, vehículos eléctricos, soluciones de energía solar, baterías marinas de alta capacidad, energía renovable, baterías para vehículos eléctricos de uso industrial, automotive, semiconductors, hardware, clean energy & technology, environmental services, renewables & environment, mechanical or industrial engineering, oil & energy, hardware stores, heating & air conditioning/hvac, home & garden, home services, shopping",'+51 1 5216000,,3691,33591,1933,
GOAL ZERO,93,mechanical or industrial engineering,http://www.goalzero.com,http://www.linkedin.com/company/goal-zero-llc,http://www.facebook.com/goalzero,http://www.twitter.com/GoalZeroSolar,675 West 14600 South,Riverton,Utah,United States,84065,"675 West 14600 South, Riverton, Utah, United States, 84065","solar power, empowering people, alternative energy, changing the world, portable power, home energy system, clean technology, consumer goods, hardware + software, solar, consumers, clean energy, manufacturing, li-ion batteries, portable power stations, solar power for rvs, consumer electronics, solar chargers, reliable energy solutions, solar panel charging, solar power for disaster zones, off-grid living solutions, power system accessories, outdoor power solutions, outdoor recreation equipment manufacturing, durable outdoor gear, solar accessories, customer journey, automatic power switching, emergency backup power, safety-first power stations, solar recharge, disaster relief solutions, solar charging, wi-fi compatible, remote power control, off-grid power, solar lighting, rechargeable batteries, lifepo4 batteries, safety protection, portable refrigeration, reliable energy, solar energy products, solar power integration, premium quality materials, renewable energy, solar power for outdoor, safety features, safety protection systems, long lifespan batteries, disaster relief power, all other electrical equipment and component manufacturing, safety-first design, home backup, off-grid energy, lighting solutions, rugged power stations, humanitarian energy solutions, rv and van power, solar energy, e-commerce, outdoor adventure gear, solar charging stations, power banks, vehicle power systems, power stations, environmentally friendly, solar panel accessories, solar power for vehicles, solar power for humanitarian aid, off-grid community support, solar power for homes, rugged outdoor power, solar generators, b2c, plug-and-play cables, solar power for remote locations, lifepo4 (lfp) batteries, solar power for mobile homes, long-term power solutions, d2c, emergency power, long-lasting power stations, sustainable power, tier 1 batteries, off-grid living, solar power for emergencies, solar power accessories, electrical equipment manufacturing, durable design, solar power kits, solar panels, emergency power systems, home backup systems, solar solutions, solar power for camping, retail, solar power for outdoor activities, lighting and lanterns, renewable energy equipment manufacturing, humanitarian power aid, premium build quality, camping power, rv power systems, compact power stations, mid-size power stations, large power stations, yeti gear, vehicle integration kits, emergency backup solutions, lights and lanterns, flashlights, powerful inverters, lithium battery technology, sustainable power solutions, portable refrigerators, haven ecosystem, escape ecosystem, adventure power, solar panel kits, utility vehicle power, light-a-life lantern, area lighting, custom temperature control, charging accessories, durable power stations, rugged power banks, user-friendly designs, customer support, eco-friendly products, wireless charging, smart features, corrosion resistant, multi-port charging, easy setup, remote monitoring, portable solar panels, tsa approved power banks, flexible solar solutions, emergency response power, vehicle bundles, trackless backup solutions, non-profit, distribution, consumer products & retail, energy & utilities, clean energy & technology, environmental services, renewables & environment, computer hardware, computer software, information technology & services, mechanical or industrial engineering, hardware, consumer internet, internet, electrical/electronic manufacturing, nonprofit organization management",'+1 888-794-6250,121125000,3621,33599,2008,BioLite (bioliteenergy.com)
AESC,1800,mechanical or industrial engineering,,http://www.linkedin.com/company/aesc-group,,,,Yokohama,Kanagawa,Japan,,"Yokohama, Kanagawa, Japan","manufacturing, mechanical or industrial engineering",,,,,2007,
Phonak Global,930,medical devices,http://www.phonak.com,http://www.linkedin.com/company/phonak,https://www.facebook.com/PhonakDanmark/,https://twitter.com/phonak,28 Laubisruetistrasse,Staefa,Zuerich,Switzerland,8712,"28 Laubisruetistrasse, Staefa, Zuerich, Switzerland, 8712","innovative hearing solutions, research, development, hearing manufacturer, fitting software, hearing aids, hearing protection, hccp, audiology, healthcare, medical equipment manufacturing, hearing aids with bluetooth streaming, medical equipment and supplies manufacturing, hearing aid design, manufacturing, government, paradise platform, invisible hearing aids, roger wireless technology, hearing aid support, customer experience, hearing health, services, noise cancellation, custom-fit hearing aids, hearing care products, hearing aid platform, b2c, swiss hearing solutions, tinnitus management, rechargeable batteries, bluetooth streaming, hearing aids for all levels of hearing loss, hearing technology, hearing loss support, custom hearing devices, ai in audiology, hearing aids with rechargeable lithium-ion batteries, healthcare equipment and supplies, in-the-ear hearing aids, rechargeable hearing aids, swiss-engineered hearing aids, hearing aid accessories, autosense os, b2b, medical devices, global hearing solutions, hearing aid innovation, ai-driven sound processing, e-commerce, hearing aids supporting remote programming, bluetooth connectivity, digital hearing solutions, d2c, hearing aids with noise reduction, speech understanding, hearing aids with tinnitus support, hearing aid features, hearing aids with ai, hearing aid research, wellness, retail, wireless hearing aids, phonak infinio, ai sound processing, exceptional sound quality, spheric speech clarity, universal connectivity, hearing loss solutions, roger wireless microphones, audiological insights, hearing care professionals, mobile hearing apps, hearing therapy, cros technology, digital signal processing, environmental noise control, health monitoring, user-friendly design, hearing test tools, hearing device customization, binaural hearing, pediatric hearing aids, hearing aid maintenance, patient support resources, telecoil feature, hearing aid trials, advanced microphone technology, online hearing assessment, user guides for hearing aids, multi-device compatibility, user-friendly interface, sound experience enhancement, lifestyle adaptations, hearing aid fitting services, family-centered hearing care, cognitive health support, veteran hearing solutions, ergonomic hearing devices, dynamic feedback management, hearing loss awareness, phonak store, patient-centric solutions, digital health, custom hearing aids, support for all hearing loss levels, global distribution, professional support, sustainable practices, health care, health, wellness & fitness, hospital & health care, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",'+41 58 928 01 01,4608000000,3621,33911,1947,Phonak AG (phonakpro.com)
Voltz,190,financial services,http://www.voltz-power.com,http://www.linkedin.com/company/contavoltz,,,,Rio de Janeiro,State of Rio de Janeiro,Brazil,,"Rio de Janeiro, State of Rio de Janeiro, Brazil","fintech, digital banking, banco digital, inclusao financeira, utilities, embedded finance, high-density power solutions, power system scalability, power system quality, power system standards, power manufacturing, power panels, iso certification, power system for high-density loads, power system durability, scalable power distribution, power system design, power system for edge sites, breaker-agnostic rpps, power system solutions, power system certification, distribution, power system manufacturing, power system safety, military power systems, industrial power transformers, power system upgrades, scalable power infrastructure, high reliability power products, modular power systems, power distribution, edge computing power systems, colocation power infrastructure, power system automation, high-density power, power system efficiency, power quality, configurable power panels, remote power panels, power automation, u.s. manufacturing, power system innovation, power system performance, energy & utilities, mission-critical power equipment, all other electrical equipment and component manufacturing, colocation facility power systems, high-density data center power, power system certifications, breaker-agnostic power panels, hyperscale data center power, power system for crypto farms, power system compliance, transportation & logistics, transformers, u.s.-based power equipment manufacturer, advanced automation, manufacturing, power system integration, power system technology, power system customization, high reliability industrial power, power scalability, power system maintenance, military-grade power, power certifications, power system oem supplier, power distribution units, military power solutions, energy storage, custom power system design, power system safety standards, mission-critical power design, power system deployment, power system reliability, ul 508a certified panels, ul certification, power system engineering, u.s. navy power systems, power reliability, crypto mining power equipment, edge site power solutions, mission-critical power solutions, b2b, power customization, custom power solutions, crypto mining power solutions, power infrastructure for data centers, advanced automation manufacturing, iso 9001 certified manufacturing, data center power systems, u.s. military power solutions, power system for colocation facilities, u.s. navy power equipment, power system for defense applications, modular power distribution, powersport batteries, automotive batteries, sla batteries, high performance batteries, battery specialists, industry distributors, battery supply chain, quality management system, iso9001 certified, iso14001 certified, battery applications, battery specifications, battery recycling, maintenance free batteries, conventional batteries, factory activated batteries, ul certified batteries, ce certified batteries, battery warranty, wholesale batteries, oem battery supplier, powersports market, global battery sales, battery charging solutions, dynavolt batteries, voltz power brand, mission critical applications, reliable power sources, battery engineering solutions, batteries for powersports, international battery distribution, safety data sheets, product brochures, battery performance testing, high voltage life, battery delivery services, efficient shipping, automotive power solutions, battery features, battery types, battery maintenance tips, lean manufacturing, renewable energy technology, battery market trends, battery safety tips, battery specifications sheets, battery environmental management, transportation_logistics, energy_utilities, finance technology, information technology & services, financial services, mechanical or industrial engineering, oil & energy",,,3621,33599,2020,
Nichicon (America) Corporation,5400,electrical/electronic manufacturing,http://www.nichicon.com,http://www.linkedin.com/company/nichicon-america,,,927 E State Pkwy,Schaumburg,Illinois,United States,60173,"927 E State Pkwy, Schaumburg, Illinois, United States, 60173","capacitors, ev charging stations, aluminum electrolytic capacitors, electronic components, lto batteries, appliances, electrical, & electronics manufacturing, iot applications, automotive electronics, chip aluminum electrolytic capacitors, semiconductor and other electronic component manufacturing, film capacitors, electrical components manufacturing, lithium titanate batteries, energy storage, energy harvesting, noise filter capacitors, conductive polymer hybrid capacitors, energy storage & battery manufacturing, low esr capacitors, rechargeable batteries, dc link capacitors, environmentally responsible batteries, advanced capacitor technology, long lifespan capacitors, wireless sensors, high-frequency characteristics capacitors, pulsed discharge capacitors, high-performance components, high reliability, custom capacitor solutions, rfid, vehicle-to-home systems, automotive capacitors, self-healing film capacitors, smart pallet, power management, film capacitor modules, power supply capacitors, space-constrained batteries, high ripple current, b2b, manufacturing, energy & utilities, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy",,1176411000,3671,33441,1970,
H&T Recharge,120,mining & metals,http://www.ht-recharge.com,http://www.linkedin.com/company/htrecharge,,,,Marsberg,North Rhine-Westphalia,Germany,34431,"Marsberg, North Rhine-Westphalia, Germany, 34431","battery components, rechargeable, battery housings, battery cans, cylindrical cans, ev battery components, ev batteries, 4680, 2170, rca, cylindrical, 46xxx, fabricated metal products, raw material sourcing, electronics, lithium-ion battery components, tooling and prototyping, high-volume battery can manufacturing, cutlery and handtool manufacturing, automotive, customized battery components, manufacturing, cylindrical battery cans, innovation, process optimization, continuous process improvement, product development, global manufacturing capabilities, sustainability, greenfield operation support, supply chain management, b2b, quality inspection, leak and high voltage testing, automated production lines, nickel-plated steel sourcing, sustainable manufacturing practices, energy storage, custom can design variations, services, mass production support, battery can process development, project management, automotive battery solutions, industrial equipment, deep drawing technology, distribution, mining & metals, computer hardware, hardware, cutlery & handtool manufacturing, mechanical or industrial engineering, environmental services, renewables & environment, logistics & supply chain, oil & energy, productivity",'+49 29 91980400,,3621,3322,2015,
AutoX,290,consumer goods,http://www.auto-x.co.za,http://www.linkedin.com/company/auto-x,,,North Reef Rd,Germiston,Gauteng,South Africa,1401,"North Reef Rd, Germiston, Gauteng, South Africa, 1401","b2c, battery export, leisure batteries, battery supply chain, battery environmental management, european battery standards, battery distribution, battery recycling, d2c, motorcycle batteries, e-commerce, services, recycling lead-acid batteries, retail, oem supply, oem batteries, battery manufacturing, battery brand management, sustainable batteries, deep cycle batteries, battery product range, auto-x retail battery outlets, battery standards and accreditation, auto-x battery standards, auto-x battery innovation, auto-x battery quality assurance, auto-x deep cycle batteries, auto-x export batteries, battery quality control, iatf 16949, battery quality, auto-x battery certification, battery innovation, distribution, battery quality standards, renewable energy batteries, battery standards, b2b, automotive lead acid batteries, retail battery network, battery logistics, varta, auto-x oem batteries, manufacturing, battery testing, auto-x brands, auto-x battery research, battery distribution network, automotive batteries, battery warranty, auto-x motorcycle batteries, willard, auto-x battery recycling, retail battery outlets, lead-acid batteries, battery technical support, iso 9001, battery supply chain management, auto-x renewable batteries, auto-x industrial batteries, auto-x battery brands, distributor, industrial batteries, automotive, sabat, battery research and development, battery sustainability, battery certification, battery export markets, battery brands, auto-x sustainable batteries, iso 14001, battery quality assurance, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",'+27 11 776 4300,,3691,33591,1954,
