Company Name,Lists,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Company Phone,Annual Revenue,Number of Retail Locations,SIC Codes,NAICS Codes,Founded Year,Tier_Engineering,Tier_Scientific,Industry_Category,Why_Fit
Spangler Candy Company,Midwest,650,food production,http://www.spanglercandycompany.com,http://www.linkedin.com/company/spangler-candy,https://www.facebook.com/spanglercandy/,https://twitter.com/dum_dums,400 North Portland Street,Bryan,Ohio,United States,43506,"400 North Portland Street, Bryan, Ohio, United States, 43506",'+1 419-636-4221,180000000,2,2099,31134,1906,Tier-1,Tier-2,Confectionery,Solid confectionery/food production → strong Engineering fit
Pecan Deluxe Candy Company,Midwest,220,food & beverages,http://www.pecandeluxe.com,http://www.linkedin.com/company/pecandeluxecandycompany,https://www.facebook.com/Pecandeluxecandycompany/,https://twitter.com/sweetpdtweets,2570 Lone Star Drive,Dallas,Texas,United States,75212,"2570 Lone Star Drive, Dallas, Texas, United States, 75212",'+1 214-631-3669,3106000,,2099,31199,1950,Tier-1,Tier-2,Confectionery,Solid confectionery/food production → strong Engineering fit
Hostess Brands,Midwest,2800,food & beverages,http://www.hostesscakes.com,http://www.linkedin.com/company/hostessbrands,https://www.facebook.com/Hostess,https://twitter.com/hostesslove,7905 Quivira Rd,Lenexa,Kansas,United States,66215-2732,"7905 Quivira Rd, Lenexa, Kansas, United States, 66215-2732",'+1 816-701-4600,1358207000,,2099,31181,2013,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
GOLD MEDAL PRODUCTS COMPANY,,500,food & beverages,http://www.gmpopcorn.com,http://www.linkedin.com/company/gold-medal-products-company,https://www.facebook.com/gmcincinnati,https://twitter.com/gmpopcornfan,10700 Medallion Dr,Cincinnati,Ohio,United States,45241,"10700 Medallion Dr, Cincinnati, Ohio, United States, 45241",'+1 800-543-0862,210900000,,,33999,1931,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Philly Pretzel Factory,,540,food & beverages,http://www.phillypretzelfactory.com,http://www.linkedin.com/company/soft-pretzel-franchise-systems-inc-,https://facebook.com/PhillyPretzelFactory/,https://twitter.com/PPFpretzels,1525 Ford Rd,Bensalem,Pennsylvania,United States,19020,"1525 Ford Rd, Bensalem, Pennsylvania, United States, 19020",'+1 215-338-4606,10000000,40,2099,3113,1998,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Hu,,900,food & beverages,http://www.hukitchen.com,http://www.linkedin.com/company/hu-kitchen,https://www.facebook.com/HuKitchen,https://twitter.com/hukitchen,78 5th Avenue,New York,New York,United States,10011,"78 5th Avenue, New York, New York, United States, 10011",'+1 212-510-8919,20000000,1,2099,31111,2012,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Just Desserts,,190,food & beverages,http://www.justdesserts.com,http://www.linkedin.com/company/just-desserts,https://www.facebook.com/JustDesserts/,https://twitter.com/justdessertssf,351 California Street,San Francisco,California,United States,94104,"351 California Street, San Francisco, California, United States, 94104",'+1 415-780-6860,30000000,1,2099,31134,1974,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Green Jeeva LLC,,220,food & beverages,http://www.greenjeeva.com,http://www.linkedin.com/company/green-jeeva-llc,,,16200 Carmenita Rd,Cerritos,California,United States,90703-2255,"16200 Carmenita Rd, Cerritos, California, United States, 90703-2255",'+1 833-870-2350,,,2099,42421,2018,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
European Imports,,110,food & beverages,http://www.eiltd.com,http://www.linkedin.com/company/european-imports-a-sysco-company,https://www.facebook.com/europeanimportssysco/,,600 E Brook Dr,Arlington Heights,Illinois,United States,60005-4622,"600 E Brook Dr, Arlington Heights, Illinois, United States, 60005-4622",'+1 800-323-3464,8725000,,5149,42445,1978,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Mahaska,,280,food & beverages,http://www.mahaska.com,http://www.linkedin.com/company/mahaska-bottling,https://facebook.com/mahaska,https://twitter.com/MahaskaBottling,1407 17th Ave E,Oskaloosa,Iowa,United States,52577,"1407 17th Ave E, Oskaloosa, Iowa, United States, 52577",'+1 641-673-3481,25000000,,2086,31192,1889,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
"Faygo Beverages, Inc",,160,food & beverages,http://www.faygo.com,http://www.linkedin.com/company/faygo-beverages-inc,https://www.facebook.com/faygo,https://twitter.com/faygo,3579 Gratiot Avenue,Detroit,Michigan,United States,48207,"3579 Gratiot Avenue, Detroit, Michigan, United States, 48207",'+1 313-925-1600,8181000,1,2086,31211,1907,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Flavorchem Corporation,,400,food & beverages,http://www.flavorchem.com,http://www.linkedin.com/company/flavorchem,https://facebook.com/Flavorchem,https://twitter.com/flavorchem01,1525 Brook Dr,Downers Grove,Illinois,United States,60515,"1525 Brook Dr, Downers Grove, Illinois, United States, 60515",'+1 630-932-8100,50000000,,2899,31193,1971,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
