Company,City,State,Territory,Phone,Website,LinkedIn,Natoli Fit
"BARR LABORATORIES, INC.",West Caldwell,NJ,Northeast,973-227-2100,http://www.barrlabs.com,https://www.linkedin.com/company/barr-laboratories-inc-,Scientific
BASF,Florham Park,NJ,Northeast,800-832-HELP,https://www.basf.com,https://www.linkedin.com/company/basf,Both
BASF CORPORATION,Florham Park,NJ,Northeast,973-245-6000,https://www.basf.com/us/en.html,https://www.linkedin.com/company/basf/,Both
BATTERJEE PHARMA,Jeddah,,International,,http://www.batterjee.com,,Both
BAUSCH & LOMB,Rochester,NY,Northeast,800-338-2020,https://www.bausch.com,https://www.linkedin.com/company/bausch-lomb,Both
BAUSCH HEALTH COMPANIES,Laval,QC,Canada,800-321-4576,https://www.bauschhealth.com,https://www.linkedin.com/company/bausch-health,Both
BAXTER HEALTHCARE CORP - CA,Los Angeles,CA,West,800-422-9837,http://www.baxter.com,https://www.linkedin.com/company/baxter-healthcare,Both
BAZELET NEHUSHTAN LTD,Kiryat Shmona,IL,Midwest,972-4-636-4444,http://www.bazelet.com,https://www.linkedin.com/company/bazelet-nehushtan-ltd/,Both
BDD PHARMA,Nashua,NH,Northeast,603-883-2020,http://www.bddpharma.com,https://www.linkedin.com/company/bdd-pharma/,Scientific
BECTON DICKINSON DIAGNOSTICS,Franklin Lakes,NJ,Northeast,201-847-6800,https://www.bd.com,https://www.linkedin.com/company/bd,Scientific
"BEIGENE (SUZHOU) CO., LTD.",Suzhou,Jiangsu,International,xxx-xxx-xxxx,http://www.beigene.com,https://www.linkedin.com/company/beigene,Scientific
BEIT JALA PHARMACEUTICAL CO,Beit Jala,XX,International,972-2-274-2222,http://www.beitjalapharma.com,https://www.linkedin.com/company/beit-jala-pharmaceutical-co,Both
BELEAF MEDICAL LLC (PHYTOS),Los Angeles,CA,West,888-123-4567,http://www.beleafmedical.com,https://www.linkedin.com/company/beleaf-medical,Scientific
"BELIEVE PHARMACEUTICAL, LLC",Houston,TX,Southeast,800-555-0199,http://www.believepharmaceutical.com,https://www.linkedin.com/company/believe-pharmaceutical,Both
BELMAN LABORATORIES INC.,Hauppauge,NY,Northeast,800-555-0199,http://www.belmanlabs.com,https://www.linkedin.com/company/belman-laboratories-inc/,Scientific
BELUPO D.D. PHARM./COSMETICS,Zagreb,XX,International,385-1-610-2000,http://www.belupo.hr,https://www.linkedin.com/company/belupo-d.d./,Both
BENEO PALATINIT GMBH,Mannheim,XX,International,49-621-421-0,https://www.beneo.com,https://www.linkedin.com/company/beneo/,Scientific
BENUVIA,San Diego,CA,West,987-654-3210,http://www.benuvia.com,https://www.linkedin.com/company/benuvia,Scientific
BETA PHARMACEUTICAL CORP.,Newark,NJ,Northeast,123-456-7890,http://www.betapharma.com,https://www.linkedin.com/company/beta-pharmaceutical-corp,Both
BETTA PHARMA,Los Angeles,CA,West,321-654-9870,http://www.bettapharma.com,https://www.linkedin.com/company/betta-pharma,Both
BGP PRODUCTS LTD.,City,XX,International,xxx-xxx-xxxx,http://www.bgpproducts.com,https://www.linkedin.com/company/bgp-products-ltd/,Engineering
"BGS PHARMA, S.R.O.",Bratislava,BRATISLAVA,International,xxx-xxx-xxxx,http://www.bgspharma.com,https://www.linkedin.com/company/bgs-pharma-sro/,Scientific
"BIAL-PORTELA & C, S.A.",Sao Mamede de Infesta,PT,International,351-22-010-2000,https://www.bial.com,https://www.linkedin.com/company/bial-portela,Both
"BICOR TECHNOLOGIES, S.A. de C.V.",Mexico City,DF,International,52-55-1234-5678,http://www.bicor.com.mx,https://www.linkedin.com/company/bicor-technologies,Engineering
BIENA INC.,Los Angeles,CA,West,123-456-7890,http://www.biena.com,https://www.linkedin.com/company/biena-inc,Scientific
BIO DATA,San Diego,CA,West,888-765-4321,http://www.biodata.com,https://www.linkedin.com/company/bio-data,Scientific
Bio Essence Pharmaceutical,Cleveland,OH,Midwest,877-555-1234,http://www.bioessencepharma.com,https://www.linkedin.com/company/bio-essence-pharmaceutical,Both
BIO PHARMA SERVICES,Toronto,ON,Canada,888-654-3210,http://www.biopharmaservices.com,https://www.linkedin.com/company/bio-pharma-services,Both
BIO SYENT PHARMA INC.,Mississauga,ON,Canada,905-602-2000,http://www.biosyent.com,https://www.linkedin.com/company/biosyent-pharma-inc/,Both
BIOBERSA S.A. DE C.V.,Mexico City,MX,International,345-678-9012,http://www.biobersa.com,https://www.linkedin.com/company/biobersa,Both
BIOCAD,St. Petersburg,RU,International,456-789-0123,http://www.biocad.com,https://www.linkedin.com/company/biocad,Scientific
"BIOCALTH INTERNATIONAL, INC.",Newark,NJ,Northeast,567-890-1234,http://www.biocalth.com,https://www.linkedin.com/company/biocalth-international,Engineering
BIOCRYST PHARMACEUTICALS,Durham,NC,Southeast,919-859-1300,https://www.biocryst.com,https://www.linkedin.com/company/biocryst-pharmaceuticals,Both
BIOFARM,Phoenix,AZ,Rocky Mountain,555-123-4567,http://www.biofarm.com,https://www.linkedin.com/company/biofarm,Both
BIOFARMA ILAC SANAYI VE TICARET A.S.,Istanbul,XX,International,0212-123-4567,http://www.biofarma.com.tr,https://www.linkedin.com/company/biofarma-ilac,Engineering
BIOFORMX NUTRITION INC.,Los Angeles,CA,West,123-456-7890,http://www.bioformx.com,https://www.linkedin.com/company/bioformx-nutrition,Both
BIOGAIA AB,Stockholm,XX,International,46-8-555-1234,http://www.biogaia.com,https://www.linkedin.com/company/biogaia,Scientific
BIOGRUND GMBH,Berlin,BE,International,+49 30 577 00 50,https://www.biogrund.com,https://www.linkedin.com/company/biogrund,Scientific
BIOMEDICAL RESEARCH INSTITUTE,Rockville,MD,Northeast,301-555-0199,http://www.bri.org,https://www.linkedin.com/company/biomedical-research-institute,Scientific
"BIOMEP, S.A. DE C.V.",Mexico City,DF,International,55-5555-5555,http://www.bimep.com.mx,https://www.linkedin.com/company/bimep,Both
"BIOMIN INDUSTRIES, INC.",Tampa,FL,Southeast,800-555-0199,http://www.biomin.com,https://www.linkedin.com/company/biomin,Both
BIONUTREC,Los Angeles,CA,West,888-123-4567,http://www.bionutrec.com,https://www.linkedin.com/company/bionutrec,Both
BIOQUIM- ARGENTINA,Buenos Aires,BA,International,xxx-xxx-xxxx,http://www.bioquim.com.ar,https://www.linkedin.com/company/bioquim-argentina,Scientific
BIORESEARCH DE MEXICO S.A.,Mexico City,DF,International,xxx-xxx-xxxx,http://www.bioresearch.com.mx,https://www.linkedin.com/company/bioresearch-de-mexico,Both
BIOSPHERA INDUSTRIA FARMACEUTICA EIRELI,Ṣo Paulo,SP,International,xxx-xxx-xxxx,http://www.biosphera.com.br,https://www.linkedin.com/company/biosphera-industria-farmaceutica-eireli/,Both
BIOTECH,San Diego,CA,West,xxx-xxx-xxxx,http://www.biotech.com,https://www.linkedin.com/company/biotech/,Both
BIOTECH PHARMACAL,Bentonville,AR,Southeast,987-654-3210,http://www.biotechpharmacal.com,https://www.linkedin.com/company/biotech-pharmacal,Scientific
BIOTECH PHARMACEUTICALS PTY,Sydney,NSW,International,02-1234-5678,http://www.biotechpharmaceuticals.com.au,https://www.linkedin.com/company/biotech-pharmaceuticals-pty-ltd,Both
BIOTEST LABORATORIES,Houston,TX,Southeast,800-555-0199,http://www.biotest.com,https://www.linkedin.com/company/biotest-laboratories,Both
BISCOL,Newark,NJ,Northeast,xxx-xxx-xxxx,http://www.biscol.com,https://www.linkedin.com/company/biscol,Engineering
"BLESSTIA, LTD",Boulder,CO,Rocky Mountain,xxx-xxx-xxxx,http://www.blesstia.com,https://www.linkedin.com/company/blesstia-ltd/,Scientific
"BLUE CROSS LABORATORIES, INC.",Bronx,NY,Northeast,718-299-1000,http://www.bluecrosslabs.com,https://www.linkedin.com/company/blue-cross-laboratories-inc,Scientific
BLUE PHARMA S.A.,Coimbra,,International,-588,http://www.bluepharma.pt,https://www.linkedin.com/company/blue-pharma,Both
BLUEBONNET NUTRACEUTICALS LTD.,Sugar Land,TX,Southeast,800-443-4925,http://www.bluebonnetnutrition.com,https://www.linkedin.com/company/bluebonnet-nutraceuticals,Scientific
BMS MANUFACTURING COMPANY,San Diego,CA,West,800-555-0123,http://www.bmsmanufacturing.com,https://www.linkedin.com/company/bms-manufacturing,Engineering
BMS PHARMA LIMITED,London,UK,International,44-20-7946-0958,http://www.bmspharma.com,https://www.linkedin.com/company/bms-pharma-limited,Scientific
BOEHRINGER INGELHEIM,Ridgefield,CT,Northeast,800-243-0127,https://www.boehringer-ingelheim.com,https://www.linkedin.com/company/boehringer-ingelheim,Both
BOEHRINGER INGELHEIM (CAN) LTD,Burlington,ON,Canada,800-263-5102,https://www.boehringer-ingelheim.ca,https://www.linkedin.com/company/boehringer-ingelheim-canada,Both
"BOEHRINGER INGELHEIM PHILIPPINES, INC.",Makati,NCR,International,,https://www.boehringer-ingelheim.com.ph,https://www.linkedin.com/company/boehringer-ingelheim-philippines,Both
BOEHRINGER INGELHEIM VETMEDICA INC.,St. Joseph,MO,Midwest,800-325-9167,https://www.boehringer-ingelheim.com/vetmedica,https://www.linkedin.com/company/boehringer-ingelheim-vetmedica,Both
BOEHRINGER MANNHEIM,Indianapolis,IN,Midwest,800-428-2336,https://www.roche.com,https://www.linkedin.com/company/roche,Scientific
BOL PHARMA,Lisbon,OH,Midwest,123-456-7890,http://www.bolpharma.com,https://www.linkedin.com/company/bol-pharma,Engineering
BONUSAN BV,Haarlem,NH,Northeast,xxx-xxx-xxxx,http://www.bonusan.com,https://www.linkedin.com/company/bonusan-bv,Scientific
BORDEAUX UNIVERSITY,Bordeaux,France,International,33-5-56-84-10-00,https://www.u-bordeaux.fr,https://www.linkedin.com/school/universite-bordeaux/,Scientific
BOSCH RESEARCH AND TECHNOLOGY CENTER,Palo Alto,CA,West,,http://www.bosch.com,https://www.linkedin.com/company/bosch-research-and-technology-center/,Scientific
"BOSCOGEN, INC.",St. Louis,MO,Midwest,314-432-1010,http://www.boscogen.com,https://www.linkedin.com/company/boscogen-inc/,Scientific
BOSTON AMERICA CORP.,Boston,MA,Northeast,800-423-1002,http://www.bostonamerica.com,https://www.linkedin.com/company/boston-america-corp,Engineering
BOSTON BIOPHARMA INC.,Cambridge,MA,Northeast,617-864-9000,http://www.bostonbiopharma.com,https://www.linkedin.com/company/boston-biopharma,Both
"BOSTON LIFE SCIENCES, INC.",Boston,MA,Northeast,617-555-0123,http://www.bostonlifesciences.com,https://www.linkedin.com/company/boston-life-sciences,Both
BOUNDLESS BIO,San Diego,CA,West,888-123-4567,https://www.boundlessbio.com,https://www.linkedin.com/company/boundlessbio,Scientific
BPI,Newark,DE,Northeast,800-555-1234,https://www.bpi.com,https://www.linkedin.com/company/bpi,Engineering
"BPS, INC.",Henderson,NV,West,800-555-0199,http://www.bpsinc.com,https://www.linkedin.com/company/bps-inc,Both
BRAINERD CHEMICAL CO.,Brainerd,MN,Midwest,800-776-1234,http://www.brainerdchemical.com,https://www.linkedin.com/company/brainerd-chemical-co,Scientific
BRANT PHARMACAL,Harrison,OH,Midwest,800-555-0123,http://www.brantpharmacal.com,https://www.linkedin.com/company/brant-pharmacal,Both
BRENNTAG PTE LTD,Singapore,SG,International,555-345-6789,http://www.brenntag.com,https://www.linkedin.com/company/brenntag,Scientific
BREWER MACHINE & GEAR,Chicago,IL,Midwest,555-456-7890,http://www.brewermachine.com,https://www.linkedin.com/company/brewer-machine-gear,Engineering
BRIDGEBIO,Burlingame,CA,West,650-388-2020,https://www.bridgebio.com,https://www.linkedin.com/company/bridgebio,Scientific
Bristol Extracts,City,XX,International,987-654-3210,http://www.bristolextracts.com,https://www.linkedin.com/company/bristol-extracts,Scientific
BRISTOL MYERS - CANADA,City,ON,Canada,111-222-3333,http://www.bms.com,https://www.linkedin.com/company/bristol-myers-squibb,Both
BRISTOL MYERS INT,New York,NY,Northeast,212-546-4000,https://www.bms.com,https://www.linkedin.com/company/bristol-myers-squibb/,Both
BRISTOL MYERS SQUIBB de MEXICO,Mexico City,DF,International,55-5259-8000,https://www.bms.com/mx,https://www.linkedin.com/company/bristol-myers-squibb,Both
BROWN UNIVERSITY MPPB,Providence,RI,Northeast,401-863-1000,https://www.brown.edu,https://www.linkedin.com/school/brown-university,Scientific
BRST LABS,San Diego,CA,West,888-555-0199,https://www.brstlabs.com,https://www.linkedin.com/company/brst-labs,Both
"BRULIN HOLDING COMPANY, INC.",Indianapolis,IN,Midwest,800-555-1010,http://www.brulin.com,https://www.linkedin.com/company/brulin-holding-company-inc,Scientific
BSC TEVA,North Wales,PA,Northeast,800-123-4567,https://www.tevausa.com,https://www.linkedin.com/company/teva-pharmaceuticals,Both
BUCKEYE RELIEF,Columbus,OH,Midwest,614-123-4567,https://www.buckeyerelief.com,https://www.linkedin.com/company/buckeye-relief,Scientific
BUDENHEIM,Bristol,PA,Northeast,610-123-4567,https://www.budenheim.com,https://www.linkedin.com/company/budenheim,Both
BULLIVANTS NATURAL HEALTH PRODUCTS,Melbourne,VIC,International,555-234-5678,http://www.bullivants.com,https://www.linkedin.com/company/bullivants,Scientific
BURROUGHS-WELLCOME CANADA,Mississauga,ON,Canada,905-819-3000,https://www.gsk.com/en-gb/home/,https://www.linkedin.com/company/gsk/,Both
BUSHU PHARMACEUTICALS LTD,Markham,ON,Canada,905-477-8888,http://www.bushu.com/,https://www.linkedin.com/company/bushu-pharmaceuticals-ltd/,Scientific
BUZZ EQUIPMENT,Chicago,IL,Midwest,800-555-0199,http://www.buzzequipment.com/,https://www.linkedin.com/company/buzz-equipment/,Engineering
C. HEDENKAMP GMBH & CO. KG,Hamburg,HH,International,+49 40 736 790,https://www.hedenkamp.de,https://www.linkedin.com/company/hedenkamp,Engineering
CAD-LOGIC SYSTEMS,Phoenix,AZ,Rocky Mountain,800-555-6789,http://www.cadlogic.com,https://www.linkedin.com/company/cad-logic-systems,Engineering
CADILA HEALTHCARE LTD.,Ahmedabad,GJ,International,-8601,https://www.cadilapharma.com,https://www.linkedin.com/company/cadila-healthcare-ltd,Both
CALIFORNIA NORTHSTATE COLLEGE OF PHARMACY,Sacramento,CA,West,916-686-7300,https://www.cnsu.edu,https://www.linkedin.com/school/california-northstate-university/,Scientific
CALOX,Burlington,NC,Southeast,800-999-2256,http://www.calox.com,https://www.linkedin.com/company/calox/,Scientific
CAMILO LABS. S.R.L.,Buenos Aires,XX,International,XXX-XXX-XXXX,http://www.camilolabs.com,https://www.linkedin.com/company/camilo-labs,Scientific
CAMS,San Diego,CA,West,XXX-XXX-XXXX,http://www.cams.com,https://www.linkedin.com/company/cams,Both
CANA LABORATORIES,San Francisco,CA,West,XXX-XXX-XXXX,http://www.canalabs.com,https://www.linkedin.com/company/cana-laboratories,Scientific
CANDY DYNAMICS,Chicago,IL,Midwest,345-678-9012,http://www.candydynamics.com,https://www.linkedin.com/company/candy-dynamics,Both
"CANNACRAFT, INC.",Santa Rosa,CA,West,555-234-5678,http://www.cannacraft.com,https://www.linkedin.com/company/cannacraft,Both
CANNTAB THERAPEUTICS,Toronto,ON,Canada,416-900-2020,https://www.canntab.ca,https://www.linkedin.com/company/canntab-therapeutics-ltd/,Both
CANOPY GROWTH CORPORATION,Smiths Falls,ON,Canada,1-844-280-0005,https://www.canopygrowth.com,https://www.linkedin.com/company/canopy-growth-corporation/,Both
CANSORTIUM HOLDINGS,Miami,FL,Southeast,305-600-2000,https://www.cansortium.com,https://www.linkedin.com/company/cansortium-holdings/,Both
CAPCIUM INC.,Toronto,ON,Canada,xxx-xxx-xxxx,http://www.capcium.com,https://www.linkedin.com/company/capcium,Both
CAPSUTAB LTD.,London,UK,International,012-345-6789,http://www.capsutab.com,https://www.linkedin.com/company/capsutab,Engineering
CARAVAN INGREDIENTS,Omaha,NE,Midwest,800-328-2424,https://www.caravaningredients.com,https://www.linkedin.com/company/caravan-ingredients,Both
"CARBON PRODUCTS, INC.",Pittsburgh,PA,Northeast,800-555-0123,http://www.carbonproducts.com,https://www.linkedin.com/company/carbon-products-inc,Engineering
CARDIOME PHARMA CORP.,Vancouver,BC,Canada,604-678-7000,https://www.cardiome.com,https://www.linkedin.com/company/cardiome-pharma-corp,Scientific
CAREFIRST SPECIALTY PHARMACY,Columbia,MD,Northeast,410-290-1000,https://www.carefirstpharmacy.com,https://www.linkedin.com/company/carefirst-specialty-pharmacy,Scientific
CARGILLE HEALTH AND FOOD TECHNOLOGY,Cedar Grove,NJ,Northeast,973-376-3900,https://www.cargille.com,https://www.linkedin.com/company/cargille-laboratories,Scientific
CARNRICK LABORATORIES,Harrison,NY,Northeast,800-999-9999,http://www.carnrick.com,https://www.linkedin.com/company/carnrick-laboratories,Scientific
CARRINGTON LABORATORIES,Irving,TX,Southeast,972-555-0101,http://www.carringtonlabs.com,https://www.linkedin.com/company/carrington-laboratories,Scientific
"CARTPAC, INC",Huntington Beach,CA,West,800-678-2278,http://www.cartpac.com,https://www.linkedin.com/company/cartpac-inc/,Engineering
CASCADE SPECIALTY PHARMACY,Portland,OR,West,888-888-8888,https://www.cascadespecialty.com,https://www.linkedin.com/company/cascade-specialty-pharmacy,Scientific
CATALENT,Somerset,NJ,Northeast,800-401-7288,https://www.catalent.com,https://www.linkedin.com/company/catalent,Both
CATALYST PHARMACEUTICALS INC.,Coral Gables,FL,Southeast,xxx-xxx-xxxx,https://www.catalystpharma.com,https://www.linkedin.com/company/catalyst-pharmaceuticals,Both
CEDARLANE LABORATORIES USA INC,Burlington,ON,Canada,800-268-5058,http://www.cedarlanelabs.com,https://www.linkedin.com/company/cedarlane-laboratories,Scientific
CELGENE,Summit,NJ,Northeast,908-673-9000,http://www.celgene.com,https://www.linkedin.com/company/celgene,Scientific
CELLERA FARMA BRAZIL,Ṣo Paulo,SP,International,55-11-3078-8000,http://www.cellera.com.br,https://www.linkedin.com/company/cellera-farma,Both
"CELLOXESS, LLC",St. Louis,MO,Midwest,314-555-0199,http://www.celloxess.com,https://www.linkedin.com/company/celloxess,Engineering
CELLTRION,Incheon,ICN,International,82-31-728-8000,http://www.celltrion.com,https://www.linkedin.com/company/celltrion,Both
CELON PHARMA S.A.,Warsaw,XX,International,xxx-xxx-xxxx,https://www.celonpharma.com,https://www.linkedin.com/company/celon-pharma,Scientific
CENEXI,Paris,XX,International,xxx-xxx-xxxx,https://www.cenexi.com,https://www.linkedin.com/company/cenexi,Both
CENTAUR PHARMACEUTICALS PVT. LTD,Mumbai,MH,International,xxx-xxx-xxxx,https://www.centaurpharma.com,https://www.linkedin.com/company/centaur-pharmaceuticals,Scientific
CENTERA BIOSCIENCE,San Diego,CA,West,888-123-4567,https://www.centerabioscience.com,https://www.linkedin.com/company/centera-bioscience,Scientific
CENTRAL LIFE SCIENCES,Schaumburg,IL,Midwest,800-123-4567,https://www.centrallifesciences.com,https://www.linkedin.com/company/central-life-sciences,Both
CERAMIC TECHNOLOGIES CORPORATION,Hunt Valley,MD,Northeast,410-561-0800,http://www.ceramictech.com,https://www.linkedin.com/company/ceramic-technologies-corporation,Engineering
CERAMTEC,Novi,MI,Midwest,248-682-1700,http://www.ceramtec.com,https://www.linkedin.com/company/ceramtec,Both
"CHALLENGER MANUFACTURING, INC.",Harrison,OH,Midwest,xxx-xxx-xxxx,http://www.challenger-mfg.com,https://www.linkedin.com/company/challenger-manufacturing-inc,Engineering
CHELSEA LABORATORIES - NY,New York,NY,Northeast,xxx-xxx-xxxx,http://www.chelsealabs.com,https://www.linkedin.com/company/chelsea-laboratories-ny,Both
CHEM LAB,Anytown,CA,West,123-456-7890,http://www.chem-lab.com,https://www.linkedin.com/company/chem-lab,Both
CHEMICAL AND PHARM. INDUSTRY,Chicago,IL,Midwest,555-123-4567,http://www.chemicalpharma.com,https://www.linkedin.com/company/chemical-and-pharmaceutical-industry,Both
CHEMINOV,Boston,MA,Northeast,567-890-1234,http://www.cheminov.com,https://www.linkedin.com/company/cheminov,Scientific
CHEMOPHARMA S.A.,San Jos̩,Costa Rica,International,1-800-555-0123,http://www.chemopharma.com,https://www.linkedin.com/company/chemopharma,Both
CHEMTEC,Houston,TX,Southeast,800-555-0123,http://www.chemtec.com,https://www.linkedin.com/company/chemtec/,Scientific
CHEMTECH,Atlanta,GA,Southeast,800-555-0456,http://www.chemtech.com,https://www.linkedin.com/company/chemtech/,Engineering
CHILDRENS HOSPITAL CORPORATION,Boston,MA,Northeast,617-355-6000,http://www.childrenshospital.org,https://www.linkedin.com/company/childrens-hospital-boston,Scientific
"CHINOIN WORKS CO., LTD",Budapest,XX,International,xxx-xxx-xxxx,http://www.chinoin.com,https://www.linkedin.com/company/chinoin,Scientific
"CHURCH & DWIGHT COMPANY, INC.",Ewing,NJ,Northeast,800-524-1328,http://www.churchdwight.com,https://www.linkedin.com/company/church-dwight,Both
CIBA PHARMACEUTICALS,City,XX,International,123-456-7890,http://www.cibapharmaceuticals.com,https://www.linkedin.com/company/ciba-pharmaceuticals,Scientific
CIFARMA CIENTIFICA FARMACEUTICA LTDA,Ṣo Paulo,SP,International,55-11-5555-0199,http://www.cifarma.com.br,https://www.linkedin.com/company/cifarma,Both
"CIMA INDUSTRIES, INC.",Hoffman Estates,IL,Midwest,800-555-0199,http://www.cimaindustries.com,https://www.linkedin.com/company/cima-industries-inc,Engineering
CIMA LABS C/O TEVA PHARM. USA,North Wales,PA,Northeast,800-545-8800,http://www.tevausa.com,https://www.linkedin.com/company/teva-pharmaceuticals,Scientific
CIPLA LIMITED,Mumbai,Maharashtra,International,91-22-2481-5000,https://www.cipla.com,https://www.linkedin.com/company/cipla-limited,Both
"CITRAGEN PHARMACEUTICALS, INC.",Atlanta,GA,Southeast,404-555-5555,http://www.citragen.com,https://www.linkedin.com/company/citragen-pharmaceuticals,Scientific
CLAISSE,Indianapolis,IN,Midwest,800-555-0199,https://www.claisse.com,https://www.linkedin.com/company/claisse,Scientific
CLARO PRODUCTS GMBH,New York,NY,Northeast,555-345-6789,http://www.claroproducts.com,https://www.linkedin.com/company/claro-products-gmbh,Engineering
"CLEARMIND, LLC",San Diego,CA,West,123-456-7890,https://clearmind.com,https://www.linkedin.com/company/clearmind,Scientific
CLEXIO BIOSCIENCE LTD.,Cambridge,MA,Northeast,987-654-3210,https://clexiobio.com,https://www.linkedin.com/company/clexiobioscience,Scientific
"CNS, INC.",Boulder,CO,Rocky Mountain,800-555-0199,http://www.cnsinc.com,https://www.linkedin.com/company/cns-inc,Scientific
"COATING PLACE, INC.",Waunakee,WI,Midwest,608-849-9000,http://www.coatingplace.com,https://www.linkedin.com/company/coating-place-inc,Engineering
COD BECK BLENDERS,Cleveland,OH,Midwest,234-567-8901,http://www.codbeckblenders.com,https://www.linkedin.com/company/cod-beck-blenders,Engineering
COFASA,Newark,NJ,Northeast,567-890-1234,http://www.cofasa.com,https://www.linkedin.com/company/cofasa,Engineering
COLLEGE OF PHARMACY,Storrs,CT,Northeast,860-486-2020,https://www.pharmacy.uconn.edu,https://www.linkedin.com/school/uconn-college-of-pharmacy/,Scientific
COLLEGE PHARMACY,Albuquerque,NM,Rocky Mountain,800-888-9358,https://www.collegepharmacy.com,https://www.linkedin.com/company/college-pharmacy/,Both
COLLEGIUM PHARMACEUTICAL,Stoughton,MA,Northeast,508-251-1000,https://www.collegiumpharma.com,https://www.linkedin.com/company/collegium-pharmaceutical/,Both
COLOMPACK S.A.,Barcelona,XX,International,+34 93 870 77 00,https://www.colompack.com,https://www.linkedin.com/company/colompack/,Engineering
COLOPLAST A/S,Minneapolis,MN,Midwest,800-258-3476,http://www.coloplast.com,https://www.linkedin.com/company/coloplast,Both
COLOR-CON DE MEXICO S. DE R.L. DE C.V.,Mexico City,CDMX,International,52-55-5259-8000,http://www.colorcon.com,https://www.linkedin.com/company/colorcon,Both
COMBISA LABORATORIOS,Mexico City,DF,International,xxx-xxx-xxxx,http://www.combisa.com,https://www.linkedin.com/company/combisa-laboratorios/,Scientific
COMIT LTD.,London,UK,International,555-555-5555,http://www.comit.com,https://www.linkedin.com/company/comit,Scientific
COMPRESSION PRODUCTS - MA,Danvers,MA,Northeast,978-774-3000,http://www.compressionproducts.com,https://www.linkedin.com/company/compression-products-ma,Engineering
COMSTAR INTERNATIONAL INC.,Freehold,NJ,Northeast,732-780-2000,http://www.comstarinternational.com,https://www.linkedin.com/company/comstar-international-inc,Scientific
CONCEPTION MECANIQUE,Saint-Jean-sur-Richelieu,QC,Canada,450-655-1234,http://www.conceptionmecanique.com,https://www.linkedin.com/company/conception-mecanique,Both
CONCORDIA UNIVERSITY WISCONSIN SCHOOL OF PHARMACY,Mequon,WI,Midwest,262-243-5700,http://www.cuw.edu,https://www.linkedin.com/school/concordia-university-wisconsin,Scientific
CONFITECA,Miami,FL,Southeast,305-594-1234,http://www.confiteca.com,https://www.linkedin.com/company/confiteca,Engineering
CONFORMA CLAD INC.,Canonsburg,PA,Northeast,724-746-2000,http://www.conformaclad.com,https://www.linkedin.com/company/conforma-clad,Engineering
"CONTINENTAL SCIENCE, INC.",Tampa,FL,Southeast,800-828-3003,http://www.continentalscience.com,https://www.linkedin.com/company/continental-science-inc-,Scientific
CONTRACT MFG. AND PKG. SERVICE,Los Angeles,CA,West,888-555-0199,http://www.contractmfg.com,https://www.linkedin.com/company/contract-mfg-and-pkg-service,Both
COOPER,Chicago,IL,Midwest,123-456-7890,https://www.cooper.com,https://www.linkedin.com/company/cooper,Both
COOPER PHARMA,Los Angeles,CA,West,456-789-0123,https://www.cooperpharma.com,https://www.linkedin.com/company/cooper-pharma,Engineering
COPENHAGEN UNIV SCHOOL OF PHARMACY,Copenhagen,,International,,http://www.pharmacy.ku.dk,,Scientific
CORDEN PHARMA GMBH,Munich,Bavaria,International,+49 89 899 30 0,https://www.cordenpharma.com,https://www.linkedin.com/company/corden-pharma,Both
CORVUS PHARMACEUTICALS,Burlingame,CA,West,650-800-3600,http://www.corvuspharma.com,https://www.linkedin.com/company/corvus-pharmaceuticals,Both
COSMAX NBT USA,Ridgefield,NJ,Northeast,201-488-0600,https://www.cosmax.com,https://www.linkedin.com/company/cosmax-nbt-usa,Both
COSMETICA LABORATORIES INC.,Lyndhurst,NJ,Northeast,201-933-3000,http://www.cosmeticainc.com,https://www.linkedin.com/company/cosmetica-laboratories-inc,Both
COSUNTER,San Francisco,CA,West,555-222-2222,http://www.cosunter.com,https://www.linkedin.com/company/cosunter,Both
COSWELL PRODUCTS INC.,Harrison,NY,Northeast,800-555-0199,http://www.coswell.com,https://www.linkedin.com/company/coswell-products-inc,Both
COVAR PHARMACEUTICALS,Harrison,NY,Northeast,800-555-0199,http://www.covarpharma.com,https://www.linkedin.com/company/covar-pharmaceuticals,Both
CP PHARMACEUTICALS,Wilmington,DE,Northeast,345-678-9012,http://www.cppharmaceuticals.com,https://www.linkedin.com/company/cp-pharmaceuticals,Engineering
"CREATIVE SUPPLEMENTS, INC.",Miami,FL,Southeast,444-555-6666,http://www.creativesupplements.com,https://www.linkedin.com/company/creative-supplements,Scientific
CREIGHTON UNIVERSITY,Omaha,NE,Midwest,402-280-2700,https://www.creighton.edu,https://www.linkedin.com/school/creighton-university/,Scientific
CRESCENT PHARMA,Hawthorne,NY,Northeast,xxx-xxx-xxxx,https://www.crescentpharma.com,https://www.linkedin.com/company/crescent-pharma-ltd/,Both
CRISTALIA PROD QUIM FARM LTDA,Itapira,SP,International,xxx-xxx-xxxx,http://www.cristalia.com.br,https://www.linkedin.com/company/cristalia-prod-quim-farm-ltda/,Both
"CROPHARM, INC.",City,XX,International,xxx-xxx-xxxx,http://www.cropharm.com,url,Both
CSB NUTRITION CORPORATION,Henderson,NV,West,800-555-0199,http://www.csbnutrition.com,https://www.linkedin.com/company/csb-nutrition,Both
CSIR,Pretoria,GP,International,xxx-xxx-xxxx,https://www.csir.co.za,https://www.linkedin.com/company/csir/,Scientific
