Company Name,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Company Phone,Annual Revenue,SIC Codes,NAICS Codes,Founded Year,Subsidiary of
Implats,40000,mining & metals,http://www.implats.co.za,http://www.linkedin.com/company/impala-platinum,https://facebook.com/implats,https://twitter.com/implats,2 Fricker Rd,Sandton,Gauteng,South Africa,2196,"2 Fricker Rd, Sandton, Gauteng, South Africa, 2196",'+27 11 731 9000,4796586000,1041,21229,1966,
Impala Platinum B.V.,40000,mining & metals,,http://www.linkedin.com/company/impala-platinum-b.v.,https://facebook.com/implats,https://twitter.com/implats,,Sandton,Gauteng,South Africa,2196,"Sandton, Gauteng, South Africa, 2196",'+27 11 731 9000,4796586000,1000,21229,1966,
Royal Bafokeng Platinum Ltd,12000,mining & metals,http://www.bafokengplatinum.co.za,http://www.linkedin.com/company/royal-bafokeng-platinum-ltd,https://facebook.com/rbpmroyal/,https://twitter.com/rbplatarebueng,Montecasino Blvd,,Gauteng,South Africa,2191,"Montecasino Blvd, Gauteng, South Africa, 2191",'+27 10 590 4510,934699000,1021,21229,2009,Impala Platinum B.V.
Anglo Platinum,32000,mining & metals,http://www.angloamerica.com,http://www.linkedin.com/company/anglo-platinum,,,,,,South Africa,,South Africa,,,1021,21229,,
Kanooz Contracting Est,670,information technology & services,http://www.kanooz.com,http://www.linkedin.com/company/kanooz,,,Express Way 1 Road,Al Jubail,Eastern Province,Saudi Arabia,35514,"Express Way 1 Road, Al Jubail, Eastern Province, Saudi Arabia, 35514",'+966 92000043,50000000,1389,23829,1982,
Al-Suwaidi Services Company,750,hospitality,http://www.suwaidi.com,http://www.linkedin.com/company/al-suwaidi-services-company,,,,Dammam,Eastern Province,Saudi Arabia,32244,"Dammam, Eastern Province, Saudi Arabia, 32244",'+966 13 851 9777,,1731,21311,1960,
Almuzain Gulf Saudi Contracting Co.,1300,oil & energy,http://www.almuzain.com,http://www.linkedin.com/company/almuzain,https://www.facebook.com/almuzainofficial,,4451 طريق 114,Al Jubail,Eastern Province,Saudi Arabia,35729,"4451 طريق 114, Al Jubail, Eastern Province, Saudi Arabia, 35729",'+966 13 340 4200,100000000,1389,23829,1996,
Rezayat Group,20000,construction,http://www.rezayat.com,http://www.linkedin.com/company/rezayat-group,https://facebook.com/rezayatgroup,https://twitter.com/rezayatgroup,شارع صلاح الدين الايوبي,Al Khobar,Eastern Province,Saudi Arabia,34434,"شارع صلاح الدين الايوبي, Al Khobar, Eastern Province, Saudi Arabia, 34434",,1000000000,3531,23713,1949,
Prince Sattam bin Abdulaziz University,3100,higher education,http://www.psau.edu.sa,http://www.linkedin.com/school/psau,https://www.facebook.com/PSAUuniversity,,شارع عبدالله بن خميس,Al-Kharj,Riyadh Province,Saudi Arabia,16272,"شارع عبدالله بن خميس, Al-Kharj, Riyadh Province, Saudi Arabia, 16272",'+966 11 588 8888,,8222,61131,2009,
Arabian Pipeline & Services Co. Ltd. (ANABEEB),1900,oil & energy,http://www.anabeeb.com,http://www.linkedin.com/company/anabeeb,https://www.facebook.com/ANABEEBaps,https://twitter.com/ANABEEB_Company,,Dammam,Eastern Province,Saudi Arabia,,"Dammam, Eastern Province, Saudi Arabia",'+966 13 362 0556,559000000,1381,21311,1983,
Plant Tech Arabia Co. Ltd.,530,oil & energy,http://www.planttecharabia.com,http://www.linkedin.com/company/plant-tech-arabia-co-ltd-,,,,Al Jubail,Eastern Province,Saudi Arabia,,"Al Jubail, Eastern Province, Saudi Arabia",'+966 13 340 7455,,1389,81131,2007,
Al Suwaidi Industrial Services Company,1100,oil & energy,,http://www.linkedin.com/company/suwaidi,,,King Saud Bin Abdulaziz Road,Al Khobar,Eastern Province,Saudi Arabia,34225,"King Saud Bin Abdulaziz Road, Al Khobar, Eastern Province, Saudi Arabia, 34225",'+966 13 851 9777,200000000,1731,21311,1960,
"SM Prime Holdings, Inc.",11000,real estate,http://www.smprime.com,http://www.linkedin.com/company/smphi,https://facebook.com/SMPrimeHoldingsOFFICIAL/?ref=py_c,,Seashell Ln,Pasay,Metro Manila,Philippines,1308,"Seashell Ln, Pasay, Metro Manila, Philippines, 1308",'+63 2883 11000,2419385000,6512,53112,1994,SM Investments (sminvestments.com)
Yara International,17000,farming,http://www.yara.com,http://www.linkedin.com/company/yara,https://www.facebook.com/yarainternational,https://twitter.com/yara,131 Drammensveien,,Oslo,Norway,277,"131 Drammensveien, Oslo, Norway, 0277",'+47 24 15 70 00,13807000000,2873,11141,1905,Yara Growth Ventures (yaragrowthventures.com)
Nigerian Content Development and Monitoring Board,560,oil & energy,http://www.ncdmb.gov.ng,http://www.linkedin.com/company/officialncdmb,https://web.facebook.com/officialncdmb,https://twitter.com/officialncdmb,,,Ondo,Nigeria,,"Ondo, Nigeria",'+1 859-254-6589,,9199,92411,2010,
Mourik,630,civil engineering,http://www.mourik.nl,http://www.linkedin.com/company/mourik,https://www.facebook.com/Mourikgroep,https://twitter.com/MourikHolding,67 Voorstraat,Groot-Ammers,Zuid-Holland,Netherlands,2964 AJ,"67 Voorstraat, Groot-Ammers, Zuid-Holland, Netherlands, 2964 AJ",'+31 18 466 7200,870000000,1731,33312,1933,
Nouryon,4500,chemicals,http://www.nouryon.com,http://www.linkedin.com/company/nouryon,https://facebook.com/Nouryon/,https://twitter.com/Nouryon,88 Haaksbergweg,Amsterdam,North Holland,Netherlands,1101 BZ,"88 Haaksbergweg, Amsterdam, North Holland, Netherlands, 1101 BZ",'+31 88 984 1000,5130000000,2869,32599,2018,
Dialog Group Berhad,1900,oil & energy,http://www.dialogasia.com,http://www.linkedin.com/company/dialog-group-berhad,,,16 Jalan PJU 7/5,Petaling Jaya,Selangor,Malaysia,47810,"16 Jalan PJU 7/5, Petaling Jaya, Selangor, Malaysia, 47810",'+1 403-294-1770,593853000,1381,21311,1984,
CAF,610,food & beverages,http://www.cafcafe.com,http://www.linkedin.com/company/cafcafe,,,Khalid Ibn Al-Waleed Street,Kuwait City,Al Asimah Governate,Kuwait,,"Khalid Ibn Al-Waleed Street, Kuwait City, Al Asimah Governate, Kuwait",'+965 2221 6908,4388000000,5812,72251,2015,
Rominserv Kazakhstan,760,oil & energy,http://www.rominserv.com,http://www.linkedin.com/company/rominserv-kazakhstan,,,,Nur-Sultan,Akmola Province,Kazakhstan,10000,"Nur-Sultan, Akmola Province, Kazakhstan, 010000",'+40 21 272 3660,60000000,3531,54133,,
JGC,8900,oil & energy,http://www.jgc.com,http://www.linkedin.com/company/jgc,,,,Yokohama,Kanagawa,Japan,220-6001,"Yokohama, Kanagawa, Japan, 220-6001",'+81 456-82-1111,5756803000,8711,54133,1928,
Takasago International Corporation,4100,chemicals,,http://www.linkedin.com/company/takasago,,,,Ota City,Tokyo,Japan,144-0052,"Ota City, Tokyo, Japan, 144-0052",'+81 357-44-0511,1537731000,2844,32561,1920,
Polynt Group,3000,chemicals,http://www.polynt.com,http://www.linkedin.com/company/polynt-group,https://www.facebook.com/polyntgroup,,51 Via E. Fermi,Scanzorosciate,Lombardia,Italy,24020,"51 Via E. Fermi, Scanzorosciate, Lombardia, Italy, 24020",'+39 035 652111,560000000,2891,32599,1955,
Saras,1600,oil & energy,,http://www.linkedin.com/company/saras,,,2 Galleria Passarella,Milan,Lombardy,Italy,20122,"2 Galleria Passarella, Milan, Lombardy, Italy, 20122",'+39 070 90911,12554030000,2911,32411,1962,
Università degli Studi della Basilicata,860,research,http://www.unibas.it,http://www.linkedin.com/school/unibas-official,,https://twitter.com/UniBasilicata,10 Via dell'Ateneo Lucano,Potenza,Basilicata,Italy,85100,"10 Via dell'Ateneo Lucano, Potenza, Basilicata, Italy, 85100",,,8221,61131,1982,
Behdash Chemical Company,840,chemicals,http://www.behdashco.com,http://www.linkedin.com/company/behdash-chemical-co.,,,,Tehran,Tehran Province,Iran,,"Tehran, Tehran Province, Iran",,,,,1961,
PT Archi Indonesia Tbk,660,mining & metals,http://www.archiindonesia.com,http://www.linkedin.com/company/archiindonesia,,,23 Jalan Dr Ide Anak Agung Gde Agung,Jakarta,Special Capital Region of Jakarta,Indonesia,12950,"23 Jalan Dr Ide Anak Agung Gde Agung, Jakarta, Special Capital Region of Jakarta, Indonesia, 12950",'+62 21 5761719,287618000,1041,21222,2009,
PT Tracon Industri,600,mechanical or industrial engineering,http://www.tracon.co.id,http://www.linkedin.com/company/pt--tracon-industri,,,12 Jalan Raya Pasar Minggu,South Jakarta,Jakarta,Indonesia,12740,"12 Jalan Raya Pasar Minggu, South Jakarta, Jakarta, Indonesia, 12740",'+62 21 7974367,100000000,3531,54133,2001,
Tatva Chintan Pharma Chem Limited,690,chemicals,http://www.tatvachintan.com,http://www.linkedin.com/company/tatva-chintan-pharma-chem-ltd,https://facebook.com/tatvachintan,,Vadsar Road,Vadodara,Gujarat,India,390010,"Vadsar Road, Vadodara, Gujarat, India, 390010",'+91 75748 48533,44800000,2899,32599,1996,
Hindustan Platinum,510,chemicals,http://www.hindustanplatinum.com,http://www.linkedin.com/company/hindustan-platinum,https://www.facebook.com/people/Hindustan-Platinum-Pvt-Ltd/100057058165498/,https://twitter.com/platinumpvt/,,Mumbai,Maharashtra,India,400037,"Mumbai, Maharashtra, India, 400037",'+91 22692 25000,4926000000,3399,33141,1961,
Applied Materials India,1100,semiconductors,,http://www.linkedin.com/company/applied-materials-india,https://www.facebook.com/AppliedMaterialsInc,https://twitter.com/Applied4Tech,Whitefield Road,Bengaluru,Karnataka,India,560066,"Whitefield Road, Bengaluru, Karnataka, India, 560066",'+1 408-235-6390,15275000,,3332,,
Rubamin,920,renewables & environment,http://www.rubamin.com,http://www.linkedin.com/company/rubamin-limited,https://www.facebook.com/RubaminGroup/,https://twitter.com/RubaminGroup,Jetaipura Lane,Vadodara,Gujarat,India,390007,"Jetaipura Lane, Vadodara, Gujarat, India, 390007",'+91 26 5228 2078,299000000,1499,33141,1987,
Clean Harbors India LLP,23000,information technology & services,,http://www.linkedin.com/company/cleanhabors,https://www.facebook.com/CleanHarborsEnvironmental,https://twitter.com/cleanharbors,,Hyderabad,Telangana,India,500081,"Hyderabad, Telangana, India, 500081",'+91 83392 34400,5942342000,4953,56221,1980,
Excel Industries Limited,1100,environmental services,,http://www.linkedin.com/company/excel-industries-limited,,https://twitter.com/excelindltd,102 S V Road,Mumbai,Maharashtra,India,400064,"102 S V Road, Mumbai, Maharashtra, India, 400064",'+91 22 6646 4200,120200000,2869,32599,1941,
Catalyst Corporate Services Pvt. Ltd.,530,outsourcing/offshoring,http://www.catserv.in,http://www.linkedin.com/company/catalyst-corporate-services-pvt.-ltd.,,,,Mumbai,Maharashtra,India,400059,"Mumbai, Maharashtra, India, 400059",,50000000,,,1992,
FICCI,1300,nonprofit organization management,http://www.ficci.in,http://www.linkedin.com/company/ficci,https://www.facebook.com/ficciindia,https://twitter.com/ficci_india,,New Delhi,Delhi,India,110001,"New Delhi, Delhi, India, 110001",'+91 11 237 3876 070,3412000,7389,81391,1927,
Excel Industries Ltd.,1100,chemicals,http://www.excelind.co.in,http://www.linkedin.com/company/excel-industries-ltd.,,https://twitter.com/excelindltd,174 S V Road,Mumbai,Maharashtra,India,400102,"174 S V Road, Mumbai, Maharashtra, India, 400102",'+91 22 6646 4200,114492000,2869,32599,1941,
Alkyl Amines Chemicals Limited,700,chemicals,http://www.alkylamines.com,http://www.linkedin.com/company/alky,https://facebook.com/pages/category/Chemical-Company/ALKYL-Amines-Chemical-Limited-917440255110272/,,401,Navi Mumbai,Maharashtra,India,400703,"401, Navi Mumbai, Maharashtra, India, 400703",'+91 22679 46600,183996000,2869,32519,1979,
CATALYST Service Solutions (formerly known as CSS - Comprehensive Support Services),3500,hospitality,http://www.catalystsolutions.eco,http://www.linkedin.com/company/catalyst-service-solutions-partners-pvt-ltd,,,D P Road,Pune,Maharashtra,India,411007,"D P Road, Pune, Maharashtra, India, 411007",'+91 20485 04000,137700000,8741,56121,2013,
Dishman Carbogen Amcis Ltd,1200,pharmaceuticals,http://www.dishmangroup.com,http://www.linkedin.com/company/imdcal,,,Swastik Cross Road,Ahmedabad,Gujarat,India,380009,"Swastik Cross Road, Ahmedabad, Gujarat, India, 380009",'+91 77252 02294,340438000,2834,32541,1983,
Indian Oil Corporation Limited (Iocl),31000,utilities,,http://www.linkedin.com/company/indian-oil-corporation-limited-iocl-,,,,New Delhi,Delhi,India,,"New Delhi, Delhi, India",,88873006000,2911,32411,,
Dorf Ketal,1100,oil & energy,http://www.dorfketal.com,http://www.linkedin.com/company/dorf-ketal-chemicals-i-pvt--ltd,https://facebook.com/dorfketal/,https://twitter.com/dorfketal,,Mumbai,Maharashtra,India,400064,"Mumbai, Maharashtra, India, 400064",'+91 22429 74777,62000000,2865,32599,1992,
Indian Oil Corp Limited,31000,oil & energy,http://www.iocl.com,http://www.linkedin.com/company/indian-oil-corp-limited,https://facebook.com/IndianOilCorpLimited,https://twitter.com/indianOilcl,3079/3,New Delhi,Delhi,India,110049,"3079/3, New Delhi, Delhi, India, 110049",'+91 1800 233 3555,88873006000,2911,32411,1959,
Zone By The Park,800,hospitality,http://www.zonebythepark.com,http://www.linkedin.com/company/zone-by-the-park,https://www.facebook.com/ZonebyThePark,https://twitter.com/ZonebyThePark,Shankar Market Road,New Delhi,Delhi,India,110001,"Shankar Market Road, New Delhi, Delhi, India, 110001",'+91 1800 123 9663,,7011,72111,2011,
Galaxy Surfactants Limited,1800,chemicals,http://www.galaxysurfactants.com,http://www.linkedin.com/company/galaxysurfactantslimited,,,C-48-3,Navi Mumbai,Maharashtra,India,400705,"C-48-3, Navi Mumbai, Maharashtra, India, 400705",'+91 22 6513 4444,494421000,2841,32561,1980,
Innovassynth,650,chemicals,http://www.innovassynth.com,http://www.linkedin.com/company/innovassynth-technologies-i-ltd-,,,Hinjewadi Phase 2 Road,Mulshi,Maharashtra,India,411057,"Hinjewadi Phase 2 Road, Mulshi, Maharashtra, India, 411057",'+91 21922 60100,,2834,32541,1964,
Zimplats,4000,mining & metals,http://www.zimplats.com,http://www.linkedin.com/company/zimplats-mining,https://facebook.com/Zimplats/,,Elizabeth House,Saint Peter Port,Saint Peter Port,Guernsey,GY1 2,"Elizabeth House, Saint Peter Port, Saint Peter Port, Guernsey, GY1 2",'+44 14 8170 0300,540392000,1021,21229,1998,
EKATO GROUP,900,machinery,http://www.ekato.com,http://www.linkedin.com/company/ekato-corporation_2,https://facebook.com/ekatogroup,,37 Hohe-Flum-Strasse,Schopfheim,Baden-Wuerttemberg,Germany,79650,"37 Hohe-Flum-Strasse, Schopfheim, Baden-Wuerttemberg, Germany, 79650",'+49 7622 290,351000000,5531,33361,1933,
BASF,112000,chemicals,http://www.basf.com,http://www.linkedin.com/company/basf,https://www.facebook.com/basf,https://twitter.com/BASF,38 Carl-Bosch-Strasse,Ludwigshafen am Rhein,Rheinland-Pfalz,Germany,67063,"38 Carl-Bosch-Strasse, Ludwigshafen am Rhein, Rheinland-Pfalz, Germany, 67063",'+49 621 600,67990285000,2869,32519,1865,
allnex,4000,chemicals,http://www.allnex.com,http://www.linkedin.com/company/allnex,https://facebook.com/pages/Allnex/473722846065010,https://twitter.com/allnexresins,The Squaire,Frankfurt,Hesse,Germany,60549,"The Squaire, Frankfurt, Hesse, Germany, 60549",'+49 69 643571020,2400000000,2821,32551,2013,GC (pttgcgroup.com)
Heraeus,17000,chemicals,http://www.heraeus-group.com,http://www.linkedin.com/company/heraeus,,,12 Heraeusstrasse,Hanau,Hessen,Germany,63450,"12 Heraeusstrasse, Hanau, Hessen, Germany, 63450",,22920000000,3399,33141,1851,
WeylChem Group of Companies,2200,chemicals,,http://www.linkedin.com/company/weylchem-group,https://facebook.com/Weylchem-416074155152494/,https://twitter.com/weylchem,32 Alt-Fechenheim,Frankfurt,Hesse,Germany,60386,"32 Alt-Fechenheim, Frankfurt, Hesse, Germany, 60386",'+49 69 5068202223,498000000,2899,32519,2005,
Forschungszentrum Jülich,2200,research,http://www.fz-juelich.de,http://www.linkedin.com/company/forschungszentrum-julich,,https://twitter.com/fz_juelich,Wilhelm-Johnen-Strasse,Juelich,North Rhine-Westphalia,Germany,52428,"Wilhelm-Johnen-Strasse, Juelich, North Rhine-Westphalia, Germany, 52428",'+49 246 1619005,1101000000,8731,54171,1956,
Heraeus Precious Metals,3000,chemicals,http://www.heraeus-precious-metals.com,http://www.linkedin.com/company/heraeus-precious-metals,,,,Hanau,Hesse,Germany,,"Hanau, Hesse, Germany",'+49 618 1355390,29734000000,3399,33141,,
Merck Life Science,62000,research,http://www.sigmaaldrich.com,http://www.linkedin.com/company/merck-life-science,https://facebook.com/Merck.lifescience,https://twitter.com/Merck_lifesci,250 Frankfurter Strasse,Darmstadt,Hesse,Germany,64293,"250 Frankfurter Strasse, Darmstadt, Hesse, Germany, 64293",'+49 6151 720,2785000000,8731,32541,1975,Merck Group (merckgroup.com)
EVONIK INDIA PVT LTD.,34000,chemicals,http://www.evonik.com,http://www.linkedin.com/company/evonik,https://www.facebook.com/Evonik,https://twitter.com/evonik,1-11 Rellinghauser Strasse,Essen,Nordrhein-Westfalen,Germany,45128,"1-11 Rellinghauser Strasse, Essen, Nordrhein-Westfalen, Germany, 45128",'+49 201 17701,15791124000,2899,32599,2007,
SODI Maintenance et Services Industriels,1500,machinery,http://www.sodi.fr,http://www.linkedin.com/company/sodi-maintenance-industrielle,,,,Chateauneuf-les-Martigues,Provence-Alpes-Cote d'Azur,France,13220,"Chateauneuf-les-Martigues, Provence-Alpes-Cote d'Azur, France, 13220",,257000000,1799,56121,,
Axens,2200,oil & energy,http://www.axens.net,http://www.linkedin.com/company/axens,,https://twitter.com/AxensGroup,89 Boulevard Franklin Roosevelt,Rueil-Malmaison,Ile-de-France,France,92500,"89 Boulevard Franklin Roosevelt, Rueil-Malmaison, Ile-de-France, France, 92500",,175000000,3531,32411,2001,
IFP Energies nouvelles,1600,research,http://www.ifpenergiesnouvelles.fr,http://www.linkedin.com/company/ifpen,https://facebook.com/wildcattechno,,4 Avenue du Bois Preau,Rueil-Malmaison,Ile-de-France,France,92500,"4 Avenue du Bois Preau, Rueil-Malmaison, Ile-de-France, France, 92500",'+33 1 47 52 60 00,,8731,54171,1944,IFP Energies nouvelles (ifpenergiesnouvelles.com)
Imerys,13000,mining & metals,http://www.imerys.com,http://www.linkedin.com/company/imerys,https://facebook.com/imerysgroup/,https://twitter.com/imerys,43 Quai de Grenelle,Paris,Ile-de-France,France,75015,"43 Quai de Grenelle, Paris, Ile-de-France, France, 75015",'+33 1 49 55 63 00,3755718000,1499,21239,1880,
SEPPIC,550,chemicals,http://www.seppic.com,http://www.linkedin.com/company/seppic,https://facebook.com/pages/Seppic/189899974361509,https://twitter.com/SEPPIC,50 Boulevard National,La Garenne-Colombes,Ile-de-France,France,92250,"50 Boulevard National, La Garenne-Colombes, Ile-de-France, France, 92250",'+33 1 42 91 40 00,350000000,2899,32599,1943,
De Dietrich,1400,machinery,http://www.dedietrich.com,http://www.linkedin.com/company/dedietrichgroup,,,Route de Reichshoffen,Niederbronn-les-Bains,Grand Est,France,67110,"Route de Reichshoffen, Niederbronn-les-Bains, Grand Est, France, 67110",'+1 908-317-2585,,,33324,1684,
Erasteel,510,mechanical or industrial engineering,http://www.erasteel.com,http://www.linkedin.com/company/erasteel,,https://twitter.com/Erasteel,100 Avenue de Suffren,Paris,Ile-de-France,France,75015,"100 Avenue de Suffren, Paris, Ile-de-France, France, 75015",'+1 973-335-8400,299000000,3399,33122,1992,Syntagma Capital (syntagmacapital.com)
Metropolia University of Applied Sciences,1200,higher education,http://www.metropolia.fi,http://www.linkedin.com/school/metropolia-university-of-applied-sciences,https://facebook.com/metropoliaamk,https://twitter.com/metropolia,1 Myllypurontie,Helsinki,Uusimaa,Finland,920,"1 Myllypurontie, Helsinki, Uusimaa, Finland, 00920",'+358 97 4245000,140000000,8222,61131,2008,
The Egyptian Ethylene & Derivatives Company - ETHYDCO,570,oil & energy,http://www.ethydco-eg.com,http://www.linkedin.com/company/the-egyptian-ethylene-&-derivatives-company---ethydco,,,Cairo - Alexandria Desert Road,,Alexandria Governorate,Egypt,,"Cairo - Alexandria Desert Road, Alexandria Governorate, Egypt",'+20 3 4631200,214000000,2869,32521,2011,
"UAS LABS, LLC.",10000,research,http://www.novonesis.com,http://www.linkedin.com/company/novonesis,,,36 Krogshojvej,Bagsvaerd,Capital Region of Denmark,Denmark,2880,"36 Krogshojvej, Bagsvaerd, Capital Region of Denmark, Denmark, 2880",,,2834,32519,,
HALDOR TOPSOE A/S,2900,chemicals,http://www.topsoe.com,http://www.linkedin.com/company/topsoe,https://www.facebook.com/TopsoeOfficial,https://twitter.com/Topsoe_official,1 Haldor Topsoes Alle,Lyngby,Capital Region of Denmark,Denmark,2800,"1 Haldor Topsoes Alle, Lyngby, Capital Region of Denmark, Denmark, 2800",'+45 45 27 20 00,1218000000,3531,32512,1940,
Novozymes,11000,research,http://www.novozymes.com,http://www.linkedin.com/company/novozymes,https://facebook.com/Novozymes,https://twitter.com/Novozymes,36 Krogshojvej,Bagsvaerd,Capital Region of Denmark,Denmark,2880,"36 Krogshojvej, Bagsvaerd, Capital Region of Denmark, Denmark, 2880",'+45 44 46 00 00,535528000,2834,32519,2000,
Dinex Group,510,automotive,http://www.dinex.eu,http://www.linkedin.com/company/dinex-as,,,39 Fynsvej,Middelfart,Region Syddanmark,Denmark,5500,"39 Fynsvej, Middelfart, Region Syddanmark, Denmark, 5500",'+45 63 41 25 00,15000000,3711,33639,1982,
Tharisa,2500,mining & metals,http://www.tharisa.com,http://www.linkedin.com/company/tharisa-limited,https://facebook.com/TharisaOfficial/,https://twitter.com/tharisa_sa?ref_src=twsrc%5Etfw,7 Οδός Κιλκίς,Paphos,Paphos,Cyprus,8011,"7 Οδός Κιλκίς, Paphos, Paphos, Cyprus, 8011",'+27 11 996 3500,721394000,1099,21229,2008,
"Beijing Jingyuntong Technology Co., Ltd.",2300,transportation/trucking/railroad,http://www.jingyuntong.com,http://www.linkedin.com/company/beijing-jingyuntong-technology-co-ltd-,,,Jing Hai Lu,,Beijing Shi,China,,"Jing Hai Lu, Beijing Shi, China",'+86 10 8080 3016,450427000,3531,33361,,
Sunresin,1600,chemicals,http://www.seplite.com,http://www.linkedin.com/company/sunresin,https://www.facebook.com/Sunresin/,https://twitter.com/sunresin,62 Keji 2nd Road,Xian Shi,Shaanxi Sheng,China,,"62 Keji 2nd Road, Xian Shi, Shaanxi Sheng, China",'+86 29 8918 2091,349900000,2899,32599,2001,
"Tongxing Environmental Protection Technology Co., Ltd.",650,environmental services,http://www.tonexus.com,http://www.linkedin.com/company/tonexus1,https://www.facebook.com/people/Tongxing-Environmental-Protection-Technology-Co-Ltd/61576956015654/,,,Hefei,Anhui,China,,"Hefei, Anhui, China",'+86 400 116 9158,99229000,,33361,2006,
"Hualu Engineering&Technology Co., Ltd.",3000,oil & energy,http://www.chinahualueng.com,http://www.linkedin.com/company/%e5%8d%8e%e9%99%86%e5%b7%a5%e7%a8%8b%e7%a7%91%e6%8a%80%e6%9c%89%e9%99%90%e8%b4%a3%e4%bb%bb%e5%85%ac%e5%8f%b8,,,,Xi'an,Shaanxi,China,,"Xi'an, Shaanxi, China",'+86 29 8798 8000,,3531,23713,1965,
"Anhui Yuanchen Environmental Protection  Science & Technology Co.,LTD",510,environmental services,http://www.shychb.com,http://www.linkedin.com/company/anhui-yuanchen-environmental-protection-science-technology-co-ltd,,,,Hefei,,China,231500,"Hefei, China, 231500",'+86 400 833 2880,86263000,3829,33399,2005,
Lopal_China,4200,chemicals,http://www.lopal.cn,http://www.linkedin.com/company/lopaltech,,,,Nanjing,Jiangsu,China,,"Nanjing, Jiangsu, China",,1076848000,3699,32599,2003,
Tongxing Environmental Protection Technology Co Ltd,650,,http://www.ahtxhb.com,,,,,Hefei,Anhui,China,,"Hefei, Anhui, China",'+86 400 116 9158,114454000,3829,,2006,
"Brother Enterprises Holding Co., Ltd.",3100,chemicals,http://www.brother.com.cn,http://www.linkedin.com/company/brother-enterprises-holding-co-ltd-,,,Xue Lin Jie,Jiaxing Shi,Zhejiang Sheng,China,,"Xue Lin Jie, Jiaxing Shi, Zhejiang Sheng, China",'+86 573 8701 5331,471470000,2899,32599,1991,
"Liaoning Kelong Fine Chemical Co.,Ltd.",580,chemicals,http://www.kelongchem.com,http://www.linkedin.com/company/liaoning-kelong-fine-chemical-co-ltd,,,Wan He Qi Lu,Liao Yang Shi,Liao Ning Sheng,China,111003,"Wan He Qi Lu, Liao Yang Shi, Liao Ning Sheng, China, 111003",'+86 400 155 5678,86610000,2899,32599,1988,
"Fujian Yuanli Active Carbon Co., Ltd.",1800,chemicals,http://www.yuanlicarbonyl.com,http://www.linkedin.com/company/fujian-yuanli-active-carbon-co-ltd-,,,,,,China,353000,"China, 353000",'+86 187 0607 1617,255898000,2899,33149,1999,
Hebei University,1100,higher education,http://www.hbu.edu.cn,http://www.linkedin.com/school/%e6%b2%b3%e5%8c%97%e5%a4%a7%e5%ad%a6,,,180 五四东路,Bao Ding Shi,He Bei Sheng,China,71051,"180 五四东路, Bao Ding Shi, He Bei Sheng, China, 071051",,,8221,61131,1921,
Nexxo S.A.,1500,construction,http://www.nexxo.cl,http://www.linkedin.com/company/nexxo-s-a-,,,3 Camino Internacional,,Region de Valparaiso,Chile,,"3 Camino Internacional, Region de Valparaiso, Chile",'+56 32 213 3200,,1389,81131,1980,
KEPCO E&C,2100,machinery,http://www.kepco-enc.com,http://www.linkedin.com/company/kepco-e&c,https://facebook.com/kepcoenc,,201 Elgin Street,Saugeen Shores,Ontario,Canada,N0H 0A0,"201 Elgin Street, Saugeen Shores, Ontario, Canada, N0H 0A0",054-421-3114,375083000,4911,22111,1975,
Catalyst Paper,650,paper & forest products,http://www.catalystpaper.com,http://www.linkedin.com/company/catalyst-paper,https://facebook.com/catalystpaper/,https://twitter.com/catalystpaper,3600 Lysander Ln,Richmond,British Columbia,Canada,V7B 1C3,"3600 Lysander Ln, Richmond, British Columbia, Canada, V7B 1C3",'+1 604-247-4400,1500986000,2621,32212,1946,Papercon Canada Holding Corp (paperexcellence.com)
Neo Performance Materials,1800,chemicals,http://www.neomaterials.com,http://www.linkedin.com/company/neo-performance-materials,https://facebook.com/neoperformancematerials,https://twitter.com/neo_materials,121 King St W,Toronto,Ontario,Canada,M5H 3T9,"121 King St W, Toronto, Ontario, Canada, M5H 3T9",'+1 416-367-8588,475828000,3691,33141,2018,Luxfer (luxfer.com)
Tuper S.A.,1800,mining & metals,http://www.tuper.com.br,http://www.linkedin.com/company/arcelormittaltuper,https://facebook.com/grupotuper,https://twitter.com/grupotuper,1441 Avenida Prefeito Ornith Bollmann,Sao Bento do Sul,Santa Catarina,Brazil,89290-000,"1441 Avenida Prefeito Ornith Bollmann, Sao Bento do Sul, Santa Catarina, Brazil, 89290-000",'+55 800 704 5655,616000000,3312,33122,1971,
Hertz,1200,pharmaceuticals,http://www.hertzfoundation.org,http://www.linkedin.com/company/hertzfarma,https://facebook.com/pages/The-Fannie-John-Hertz-Foundation/345993548787387,https://twitter.com/hertzfoundation,224 Rua Comendador Azevedo,Porto Alegre,State of Rio Grande do Sul,Brazil,90220-150,"224 Rua Comendador Azevedo, Porto Alegre, State of Rio Grande do Sul, Brazil, 90220-150",'+55 92 5373-1642,5055000,8731,81321,1947,
IDEXX,11000,research,http://www.idexx.com.br,http://www.linkedin.com/company/idexx-la,https://www.facebook.com/IDEXX,,4300 Avenida Brigadeiro Faria Lima,,Sao Paulo,Brazil,04545-042,"4300 Avenida Brigadeiro Faria Lima, Sao Paulo, Brazil, 04545-042",'+55 87 7433-9948,4037715000,3824,33911,1983,IDEXX (idexx.com)
