Company,City,State,Phone,Contact,Website,LinkedIn,Natoli Fit,Reason
CAPCIUM INC.,,,,,,,No Fit,Insufficient public manufacturing signal
"CAPPLUS TECHNOLOGIES, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"CAPPSEALS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"CAPRICORN PHARMA, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CAPSUGEL - CHEMICAL R&D DIVISION,,,,,,,No Fit,Insufficient public manufacturing signal
CAPSUTAB LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
"CAPWORK LABORATORY, INC",,,,,,,No Fit,Insufficient public manufacturing signal
CARACO PHARMACEUTICAL,,,,,,,No Fit,Insufficient public manufacturing signal
CARAVAN INGREDIENTS,,,,,,,No Fit,Insufficient public manufacturing signal
CARBERRY LLC,,,,,,,No Fit,Insufficient public manufacturing signal
CARBERRY LLC,,,,,,,No Fit,Insufficient public manufacturing signal
CARBIDE CORP.OF AMERICA,,,,,,,No Fit,Insufficient public manufacturing signal
CARBIDE TECHNOLOGIES,,,,,,,No Fit,Insufficient public manufacturing signal
"CARBON PRODUCTS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CARDINAL HEALTH,,,,,,,No Fit,Insufficient public manufacturing signal
"CARDINAL HEALTH 405, INC. - NC",,,,,,,No Fit,Insufficient public manufacturing signal
"CARDINAL HEALTH PTS, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
CARDIOME PHARMA CORP.,,,,,,,No Fit,Insufficient public manufacturing signal
"CARDIOTECH PHARMACEUTICAL, SRL",,,,,,,No Fit,Insufficient public manufacturing signal
CAREFIRST SPECIALTY PHARMACY,,,,,,,No Fit,Insufficient public manufacturing signal
CARESTREAM HEALTH,,,,,,,No Fit,Insufficient public manufacturing signal
CARGILL SALT,,,,,,,No Fit,Insufficient public manufacturing signal
CARGILLE HEALTH AND FOOD TECHNOLOGY,,,,,,,No Fit,Insufficient public manufacturing signal
CARIBBEAN CANADIAN CHEMICAL CO.,,,,,,,No Fit,Insufficient public manufacturing signal
CARIBBEAN CANADIAN USA INC.,,,,,,,No Fit,Insufficient public manufacturing signal
"CARIBBEAN NUTRACEUTICAL, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CARIBE AMERICA TRADING,,,,,,,No Fit,Insufficient public manufacturing signal
CARIBE BIOCHEMICALS,,,,,,,No Fit,Insufficient public manufacturing signal
"CARIBE GE INT. OF PUERTO RICO, INC. ***DO NOT USE",,,,,,,No Fit,Insufficient public manufacturing signal
CARLISLE CUSTOMERS,,,,,,,No Fit,Insufficient public manufacturing signal
CARLISLE LABORATORIES LTD,,,,,,,No Fit,Insufficient public manufacturing signal
CARLISLE PRECISION MACHINING,,,,,,,No Fit,Insufficient public manufacturing signal
CARLOS ANDRES SANCHEZ,,,,,,,No Fit,Insufficient public manufacturing signal
CARLOS NORVIK,,,,,,,No Fit,Insufficient public manufacturing signal
CARLS-BERG PHARMA AB,,,,,,,No Fit,Insufficient public manufacturing signal
CARNRICK LABORATORIES ***,,,,,,,No Fit,Insufficient public manufacturing signal
CAROUSEL CONFECTIONERY LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
CARRINGTON LABORATORIES,,,,,,,No Fit,Insufficient public manufacturing signal
CARROLL INDUSTRIES,,,,,,,No Fit,Insufficient public manufacturing signal
"CARTER PHARMACEUTICAL CONSULTING, INC. - DO NOT US",,,,,,,No Fit,Insufficient public manufacturing signal
"CARTPAC, INC",,,,,,,No Fit,Insufficient public manufacturing signal
CARVAGU/NATURES GARDEN,,,,,,,No Fit,Insufficient public manufacturing signal
CARVAL DE COLOMBIA,,,,,,,No Fit,Insufficient public manufacturing signal
CARWIN PHARMACIES CANADA,,,,,,,No Fit,Insufficient public manufacturing signal
CASBURT EUROPE**DO NOT USE THIS ACCT!!,,,,,,,No Fit,Insufficient public manufacturing signal
CASBURT LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
CASBURT TMS LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
CASBURT TMS LIMITED **DO NOT USE!!,,,,,,,No Fit,Insufficient public manufacturing signal
CASCADE SPECIALTY PHARMACY,,,,,,,No Fit,Insufficient public manufacturing signal
CASSAVA SCIENCES,,,,,,,No Fit,Insufficient public manufacturing signal
CASUAL MINTS,,,,,,,No Fit,Insufficient public manufacturing signal
CATALENT,,,,,,,No Fit,Insufficient public manufacturing signal
CATALENT NOTTINGHAM LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
CATALYST NUTRACEUTICALS,,,,,,,No Fit,Insufficient public manufacturing signal
CATALYST PHARMACEUTICALS INC.,,,,,,,No Fit,Insufficient public manufacturing signal
CATALYSTS & CHEMICALS,,,,,,,No Fit,Insufficient public manufacturing signal
CATAPULT MANAGEMENT,,,,,,,No Fit,Insufficient public manufacturing signal
CATINAT PHARMACY,,,,,,,No Fit,Insufficient public manufacturing signal
CATO RESEARCH,,,,,,,No Fit,Insufficient public manufacturing signal
"CATOM PHARMACEUTICAL ADVISORS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CATTIS LLC,,,,,,,No Fit,Insufficient public manufacturing signal
CAYWON PHARMACEUTICAL LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
CB1 BRANDS,,,,,,,No Fit,Insufficient public manufacturing signal
CBD ADVANCED,,,,,,,No Fit,Insufficient public manufacturing signal
CBD UNIVERSE,,,,,,,No Fit,Insufficient public manufacturing signal
CBP-SPRINGFIELD LABORATORY,,,,,,,No Fit,Insufficient public manufacturing signal
CBRE GWS LLC,,,,,,,No Fit,Insufficient public manufacturing signal
CC LABS,,,,,,,No Fit,Insufficient public manufacturing signal
CCA INDUSTRIES,,,,,,,No Fit,Insufficient public manufacturing signal
CCI/SPEER OPERATION,,,,,,,No Fit,Insufficient public manufacturing signal
CCL PHARMA,,,,,,,No Fit,Insufficient public manufacturing signal
CCM UPHA PHARMACEUTICALS DIVISION,,,,,,,No Fit,Insufficient public manufacturing signal
"CD ASESORIA, DESARROLLO Y FABRICACION SAC",,,,,,,No Fit,Insufficient public manufacturing signal
"CDA&S, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
CDYMAX (INDIA) PHARMA PRIVATE LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
"CE DE CANDY, INC. DO NOT USE!!! USE 1005001",,,,,,,No Fit,Insufficient public manufacturing signal
CEDARLANE LABORATORIES USA INC,,,,,,,No Fit,Insufficient public manufacturing signal
CEDERROTH INTERNATIONAL,,,,,,,No Fit,Insufficient public manufacturing signal
CEDIPROF,,,,,,,No Fit,Insufficient public manufacturing signal
CEETEK CHEMICALS LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
CEFENISA,,,,,,,No Fit,Insufficient public manufacturing signal
CEGEP GERALD GODIN,,,,,,,No Fit,Insufficient public manufacturing signal
CEGEP JOHN ABBOTT COLLEGE,,,,,,,No Fit,Insufficient public manufacturing signal
CEIS SRL,,,,,,,No Fit,Insufficient public manufacturing signal
CELESTIAL SEASONINGS INC.,,,,,,,No Fit,Insufficient public manufacturing signal
CELGENE,,,,,,,No Fit,Insufficient public manufacturing signal
CELGENE CORP,,,,,,,No Fit,Insufficient public manufacturing signal
CELL TECH/NEW EARTH,,,,,,,No Fit,Insufficient public manufacturing signal
CELLERA FARMA BRAZIL,,,,,,,No Fit,Insufficient public manufacturing signal
CELLLIFE UK,,,,,,,No Fit,Insufficient public manufacturing signal
"CELLOXESS, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
"CELLTECH PHARMACEUTICALS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CELLTRION,,,,,,,No Fit,Insufficient public manufacturing signal
"CELLULAR LONGEVITY, INC. DBA LOYAL FOR DOGS",,,,,,,No Fit,Insufficient public manufacturing signal
CELON PHARMA S.A.,,,,,,,No Fit,Insufficient public manufacturing signal
CELSIUS,,,,,,,No Fit,Insufficient public manufacturing signal
CENEXI,,,,,,,No Fit,Insufficient public manufacturing signal
CENTAUR PHARMACEUTICALS PVT. LTD,,,,,,,No Fit,Insufficient public manufacturing signal
CENTERA BIOSCIENCE,,,,,,,No Fit,Insufficient public manufacturing signal
CENTRAL AMERICAN MERCH. CORP.,,,,,,,No Fit,Insufficient public manufacturing signal
CENTRAL AMERICAN MERCHANDISING CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
CENTRAL APOTEKET,,,,,,,No Fit,Insufficient public manufacturing signal
CENTRAL LIFE SCIENCES,,,,,,,No Fit,Insufficient public manufacturing signal
CENTRAL SOYA COMPANY,,,,,,,No Fit,Insufficient public manufacturing signal
CENTRALAPOTEKET,,,,,,,No Fit,Insufficient public manufacturing signal
CENTROVET VIRBAC,,,,,,,No Fit,Insufficient public manufacturing signal
CENTURY FOODS INTERNATIONAL,,,,,,,No Fit,Insufficient public manufacturing signal
CENTURY PHARMACEUTICALS,,,,,,,No Fit,Insufficient public manufacturing signal
CEPH INTERNATIONAL CORP.,,,,,,,No Fit,Insufficient public manufacturing signal
"CERAMATEC, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CERAMIC TECHNOLOGIES CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
CERAMTEC,,,,,,,No Fit,Insufficient public manufacturing signal
CERCO INC.,,,,,,,No Fit,Insufficient public manufacturing signal
"CERENESIS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CEREVEL THERAPEUTICS,,,,,,,No Fit,Insufficient public manufacturing signal
CERNELLE AB,,,,,,,No Fit,Insufficient public manufacturing signal
"CERNO PHARMACEUTICALS, LLC.",,,,,,,No Fit,Insufficient public manufacturing signal
CEVA SANTE ANIMALE,,,,,,,No Fit,Insufficient public manufacturing signal
CF PHARMA IRELAND LTD,,,,,,,No Fit,Insufficient public manufacturing signal
CFH LABORATORIES,,,,,,,No Fit,Insufficient public manufacturing signal
"CGMP, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CH/AMINT'L,,,,,,,No Fit,Insufficient public manufacturing signal
"CHALLENGER MANUFACTURING, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CHAMPION TRADING CO.,,,,,,,No Fit,Insufficient public manufacturing signal
CHAMPION-PTAC,,,,,,,No Fit,Insufficient public manufacturing signal
CHANELLE PHARMACEUTICAL GROUP LTD,,,,,,,No Fit,Insufficient public manufacturing signal
CHANGSUNG SOFTGEL SYSTEM LTD,,,,,,,No Fit,Insufficient public manufacturing signal
CHANTEL CHEMICAL &,,,,,,,No Fit,Insufficient public manufacturing signal
CHANTILLY BIOPHARMA LLC,,,,,,,No Fit,Insufficient public manufacturing signal
CHARLES LAPIERRE - CANADA,,,,,,,No Fit,Insufficient public manufacturing signal
CHARLES LAPIERRE - NJ,,,,,,,No Fit,Insufficient public manufacturing signal
CHARLOTTE PHARM.,,,,,,,No Fit,Insufficient public manufacturing signal
CHARMS CO.,,,,,,,No Fit,Insufficient public manufacturing signal
"CHAROEN BHAESAJ LAB CO., LTD.",,,,,,,No Fit,Insufficient public manufacturing signal
CHASE CHEMICAL,,,,,,,No Fit,Insufficient public manufacturing signal
CHATFIELD LABORATORIES ***,,,,,,,No Fit,Insufficient public manufacturing signal
CHATHAM TOWN MIRAMICHI INC.,,,,,,,No Fit,Insufficient public manufacturing signal
CHATTEM CONSUMER PRODUCTS,,,,,,,No Fit,Insufficient public manufacturing signal
CHEFARO BV,,,,,,,No Fit,Insufficient public manufacturing signal
CHEFTECH FOOD LLC,,,,,,,No Fit,Insufficient public manufacturing signal
CHELSEA DEPT OF PHARM.,,,,,,,No Fit,Insufficient public manufacturing signal
"CHELSEA LAB. CARIBE, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CHELSEA LABORATORIES - NY,,,,,,,No Fit,Insufficient public manufacturing signal
CHELSEA LABORATORIES - NY,,,,,,,No Fit,Insufficient public manufacturing signal
CHEM LAB,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMAY PTY. LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
"CHEMFINITY TECHNOLOGIES, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CHEMICAL AND PHARM. INDUSTRY,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMICAL COMMODITIES,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMICAL PROCUREMENT CO,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMICALS LABORATORIES PHARM.,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMICATOR PRODUCTS,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMILCO,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMINOV,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMISCHE FABRIK BUDENHEIM KG,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMO CENTROAMERICANA S.A.,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMO INDIA FORMULATION PVT LTD,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMOLEE LAB CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMOPHARMA S.A.,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMRING DEFENCE UK LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMROY CANADA,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMSICO,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMTEC,,,,,,,No Fit,Insufficient public manufacturing signal
CHEMTECH,,,,,,,No Fit,Insufficient public manufacturing signal
CHERITH PHARMA LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
CHEVRON CHEMICAL CORP.,,,,,,,No Fit,Insufficient public manufacturing signal
"CHEW CPG, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CHEX CANDY,,,,,,,No Fit,Insufficient public manufacturing signal
CHICAGO SINTERED METALS,,,,,,,No Fit,Insufficient public manufacturing signal
"CHICKERING ENGINEERING & CONSULTING, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
CHILDRENS HOSPITAL CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
CHINA,,,,,,,No Fit,Insufficient public manufacturing signal
CHINA CHEMICAL & PHARM.,,,,,,,No Fit,Insufficient public manufacturing signal
"CHINOIN (PRODUCTOS FARMACEUTICOS, S.A. DE C.V.)",,,,,,,No Fit,Insufficient public manufacturing signal
"CHINOIN WORKS CO., LTD",,,,,,,No Fit,Insufficient public manufacturing signal
CHINOIN ZRT,,,,,,,No Fit,Insufficient public manufacturing signal
CHINOIN ZRT,,,,,,,No Fit,Insufficient public manufacturing signal
CHIRON COMPOUNDING PHARMACY,,,,,,,No Fit,Insufficient public manufacturing signal
CHIRON CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
CHIRON VISION CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
"CHLORELLA INDUSTRY CO., LTD",,,,,,,No Fit,Insufficient public manufacturing signal
CHOCOLATE INC,,,,,,,No Fit,Insufficient public manufacturing signal
CHOICE LABS,,,,,,,No Fit,Insufficient public manufacturing signal
"CHOMP, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CHR. HANSEN A/S,,,,,,,No Fit,Insufficient public manufacturing signal
"CHR. HANSEN, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CHRIS HILLSETH ENTERPRISES,,,,,,,No Fit,Insufficient public manufacturing signal
CHRISTOFFEL APOTHEKE AG,,,,,,,No Fit,Insufficient public manufacturing signal
CHRYSALIS HEALTH & BEAUTY,,,,,,,No Fit,Insufficient public manufacturing signal
"CHTC, INC",,,,,,,No Fit,Insufficient public manufacturing signal
CHULAFARTECH COMPANY LTD,,,,,,,No Fit,Insufficient public manufacturing signal
CHUPA CHUPS,,,,,,,No Fit,Insufficient public manufacturing signal
"CHURCH & DWIGHT COMPANY, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"CIBA PHARMACEUTICAL, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CIBA PHARMACEUTICALS,,,,,,,No Fit,Insufficient public manufacturing signal
CIBA PHARMACEUTICALS - NC,,,,,,,No Fit,Insufficient public manufacturing signal
"CIBA SELF-MEDICATION, INC. ***",,,,,,,No Fit,Insufficient public manufacturing signal
CIBA-GEIGY CANADA LTD-ONTARIO,,,,,,,No Fit,Insufficient public manufacturing signal
CIBA-GIEGY CANADA LTD - QUEBEC,,,,,,,No Fit,Insufficient public manufacturing signal
"CIBUS PHARMACEUTICAL, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CID PHARMACEUTICAL,,,,,,,No Fit,Insufficient public manufacturing signal
CIELO MANUFACTURING,,,,,,,No Fit,Insufficient public manufacturing signal
CIENFAR - FACULTAD DE QUIMICA - UDELAR,,,,,,,No Fit,Insufficient public manufacturing signal
CIFARMA CIENTIFICA FARMACEUTICA LTDA,,,,,,,No Fit,Insufficient public manufacturing signal
CIFARMA S.A. ***DUPLICATE: USE 1005634,,,,,,,No Fit,Insufficient public manufacturing signal
CIMA HEALTHCARE PRODUCTS CORP.,,,,,,,No Fit,Insufficient public manufacturing signal
"CIMA INDUSTRIES, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"CIMA INDUSTRIES, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CIMA LABS C/O TEVA PHARM.  USA,,,,,,,No Fit,Insufficient public manufacturing signal
CINFA INNOVA,,,,,,,No Fit,Insufficient public manufacturing signal
CINGULATE THERAPEUTICS,,,,,,,No Fit,Insufficient public manufacturing signal
CIP MACHINERIES PVT. LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
CIPLA LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
CIPLA LTD,,,,,,,No Fit,Insufficient public manufacturing signal
CIPLA LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
CIPLA LTD. EXPORT ORIENTED UNIT,,,,,,,No Fit,Insufficient public manufacturing signal
CIPLA MEDPRO,,,,,,,No Fit,Insufficient public manufacturing signal
CIPLA MIRREN,,,,,,,No Fit,Insufficient public manufacturing signal
"CIPLA, LTD.",,,,,,,No Fit,Insufficient public manufacturing signal
"CIPLA, LTD.",,,,,,,No Fit,Insufficient public manufacturing signal
"CIPLA, LTD.",,,,,,,No Fit,Insufficient public manufacturing signal
"CIPLA, LTD.",,,,,,,No Fit,Insufficient public manufacturing signal
CIPLA. LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
"CIRCA PHARMACEUTICALS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CIRO PHARMA-HYDERABAD,,,,,,,No Fit,Insufficient public manufacturing signal
"CISPHARMA, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CITATION CHEMICAL,,,,,,,No Fit,Insufficient public manufacturing signal
CITI PHARMA LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
"CITICORP LEASING, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"CITRAGEN PHARMACEUTICALS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CITRON PHARMA,,,,,,,No Fit,Insufficient public manufacturing signal
CIVIC CENTER PHARMACY,,,,,,,No Fit,Insufficient public manufacturing signal
CJSC WERTEX,,,,,,,No Fit,Insufficient public manufacturing signal
CLAISSE,,,,,,,No Fit,Insufficient public manufacturing signal
CLARIPACK S.A.,,,,,,,No Fit,Insufficient public manufacturing signal
CLARITY SCIENCES INC,,,,,,,No Fit,Insufficient public manufacturing signal
CLARK LABS.,,,,,,,No Fit,Insufficient public manufacturing signal
CLARO PRODUCTS GMBH,,,,,,,No Fit,Insufficient public manufacturing signal
CLASSIC PHARMACETUICALS,,,,,,,No Fit,Insufficient public manufacturing signal
CLASSIC SIGNATURE COMPANY INC.,,,,,,,No Fit,Insufficient public manufacturing signal
"CLEARMIND, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
CLEARWATER CONCEPTS PTY LTD,,,,,,,No Fit,Insufficient public manufacturing signal
CLEXIO BIOSCIENCE LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
CLIMAX MOLYBDENUM COMPANY,,,,,,,No Fit,Insufficient public manufacturing signal
CLINIQA CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
CLONMEL CHEMICALS CO.,,,,,,,No Fit,Insufficient public manufacturing signal
CLOROX SERVICES COMPANY,,,,,,,No Fit,Insufficient public manufacturing signal
CLOROX SERVICES COMPANY,,,,,,,No Fit,Insufficient public manufacturing signal
CMC HOLDING GROUP,,,,,,,No Fit,Insufficient public manufacturing signal
CMC MACHINERY LLC.,,,,,,,No Fit,Insufficient public manufacturing signal
CMG PARTNERS INC.,,,,,,,No Fit,Insufficient public manufacturing signal
CMS TECHNOLOGIES,,,,,,,No Fit,Insufficient public manufacturing signal
"CNS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"CO-DIAGNOSTICS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"COATING PLACE, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
COBALT PHARMACEUTICALS INC.,,,,,,,No Fit,Insufficient public manufacturing signal
COBALT PHARMACEUTICALS INC.-do not use,,,,,,,No Fit,Insufficient public manufacturing signal
COCENSYS INC.,,,,,,,No Fit,Insufficient public manufacturing signal
COD BECK BLENDERS,,,,,,,No Fit,Insufficient public manufacturing signal
CODILAB,,,,,,,No Fit,Insufficient public manufacturing signal
"CODY KRAMER IMPORTS, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
COFASA,,,,,,,No Fit,Insufficient public manufacturing signal
"COFFEE STOP, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
COGNIS NUTRITION & HEALTH,,,,,,,No Fit,Insufficient public manufacturing signal
"COHORT MEDICAL, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"COILCRAFT, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"COLDSTREAM LABS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
COLFARM,,,,,,,No Fit,Insufficient public manufacturing signal
COLGATE HOYT LABS.,,,,,,,No Fit,Insufficient public manufacturing signal
COLGATE ORAL PHARMACEUTICALS,,,,,,,No Fit,Insufficient public manufacturing signal
COLGATE PALMOLIVE COMPANY,,,,,,,No Fit,Insufficient public manufacturing signal
COLHAVEN PTY LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
COLLEGE OF PHARMACY,,,,,,,No Fit,Insufficient public manufacturing signal
COLLEGE PHARMACY,,,,,,,No Fit,Insufficient public manufacturing signal
COLLEGIUM PHARMACEUTICAL,,,,,,,No Fit,Insufficient public manufacturing signal
COLLOID ENVIRONMENTAL TECHNOLOGIES COMPANY LLC,,,,,,,No Fit,Insufficient public manufacturing signal
COLOMPACK S.A.,,,,,,,No Fit,Insufficient public manufacturing signal
"COLONIAL METALS, INC",,,,,,,No Fit,Insufficient public manufacturing signal
COLONIAL SEAL COMPANY,,,,,,,No Fit,Insufficient public manufacturing signal
COLOPLAST A/S,,,,,,,No Fit,Insufficient public manufacturing signal
COLOR TECHNICS,,,,,,,No Fit,Insufficient public manufacturing signal
COLOR-CON DE MEXICO S. DE R.L. DE C.V.,,,,,,,No Fit,Insufficient public manufacturing signal
COLORADO CONSCIOUS FOODS LLC,,,,,,,No Fit,Insufficient public manufacturing signal
COLORADO GREEN BUILDING LLC,,,,,,,No Fit,Insufficient public manufacturing signal
COLORCON SUCURSAL DE COLOMBIA,,,,,,,No Fit,Insufficient public manufacturing signal
COLORIGHT,,,,,,,No Fit,Insufficient public manufacturing signal
"COLTS ENTERPRISES, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"COLUMBIA CARE, LLC",,,,,,,No Fit,Insufficient public manufacturing signal
COLUMBIA DEFENSE IND.,,,,,,,No Fit,Insufficient public manufacturing signal
"COLUMBIA LABORATORIES, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
COLUSA INTERNATIONAL,,,,,,,No Fit,Insufficient public manufacturing signal
"COMBINATORX, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"COMBINED SYSTEMS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
COMBINO PHARM,,,,,,,No Fit,Insufficient public manufacturing signal
COMBINO PHARM. S.L.,,,,,,,No Fit,Insufficient public manufacturing signal
COMBISA LABORATORIOS,,,,,,,No Fit,Insufficient public manufacturing signal
COMBUSTION TECHNOLOGIES,,,,,,,No Fit,Insufficient public manufacturing signal
"COMENTIS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
"COMERCIALIZADORA AGROTECNOLOGICA, S.A. (COLTEC)",,,,,,,No Fit,Insufficient public manufacturing signal
COMERCIALIZADORA AZAZ S.A. DE C.V.,,,,,,,No Fit,Insufficient public manufacturing signal
COMERCIALIZADORA OBI S.A. DE C.V.,,,,,,,No Fit,Insufficient public manufacturing signal
COMESTIBLES DEL PACIFICO,,,,,,,No Fit,Insufficient public manufacturing signal
COMESTIPAC,,,,,,,No Fit,Insufficient public manufacturing signal
COMFAR S.A.E.C.A,,,,,,,No Fit,Insufficient public manufacturing signal
COMIT LTD.,,,,,,,No Fit,Insufficient public manufacturing signal
COMMANDE FOURNISSEUR,,,,,,,No Fit,Insufficient public manufacturing signal
"COMMERCIAL EMANA, S.A. DE C.V.",,,,,,,No Fit,Insufficient public manufacturing signal
COMMUNITY PHARMACY PUBLIC COMPANY LIMITED,,,,,,,No Fit,Insufficient public manufacturing signal
COMPANIA FARMACCUTICA MC,,,,,,,No Fit,Insufficient public manufacturing signal
COMPANIA FARMACEUTICA,,,,,,,No Fit,Insufficient public manufacturing signal
"COMPANIA FARMACEUTICA UPJOHN,",,,,,,,No Fit,Insufficient public manufacturing signal
"COMPARE GENERIKS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
COMPETITION LABORATORIES***,,,,,,,No Fit,Insufficient public manufacturing signal
COMPETITION NUTRITION,,,,,,,No Fit,Insufficient public manufacturing signal
COMPLETE PHARMACY & MEDICAL SOL.,,,,,,,No Fit,Insufficient public manufacturing signal
"COMPLEX CHEMICALS, CORP.",,,,,,,No Fit,Insufficient public manufacturing signal
COMPOUNDING CONCEPTS,,,,,,,No Fit,Insufficient public manufacturing signal
"COMPRESSED SOLIDS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
COMPRESSION PRODUCTS - MA ***,,,,,,,No Fit,Insufficient public manufacturing signal
COMPRESSION TOOLING SUPPORT SERVICE,,,,,,,No Fit,Insufficient public manufacturing signal
COMSTAR INTERNATIONAL INC.,,,,,,,No Fit,Insufficient public manufacturing signal
COMUNDIAL INC.,,,,,,,No Fit,Insufficient public manufacturing signal
CONCEPTION MECANIQUE,,,,,,,No Fit,Insufficient public manufacturing signal
"CONCERT PHARMACEUTICALS, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CONCORDIA UNIVERSITY WISCONSIN SCHOOL OF PHARMACY,,,,,,,No Fit,Insufficient public manufacturing signal
CONFITECA,,,,,,,No Fit,Insufficient public manufacturing signal
CONFORMA CLAD  INC.,,,,,,,No Fit,Insufficient public manufacturing signal
CONNOLLY'S RED MILLS,,,,,,,No Fit,Insufficient public manufacturing signal
CONSAC IND,,,,,,,No Fit,Insufficient public manufacturing signal
CONSOLIDATED MIDLAND CORPORATION,,,,,,,No Fit,Insufficient public manufacturing signal
CONSOLIDATED PHARMACEUTICAL,,,,,,,No Fit,Insufficient public manufacturing signal
CONSTELLIUM AUTOMOTIVE,,,,,,,No Fit,Insufficient public manufacturing signal
CONTACT U.S. TRADING INC.,,,,,,,No Fit,Insufficient public manufacturing signal
CONTINENTAL PET TECHNOLOGIES,,,,,,,No Fit,Insufficient public manufacturing signal
"CONTINENTAL SCIENCE, INC.",,,,,,,No Fit,Insufficient public manufacturing signal
CONTINENTAL SURPLUS,,,,,,,No Fit,Insufficient public manufacturing signal
